key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
node_kwe_pailune_daily_0000_enemy_00_00002,node,Node,Quest Scene,Node Scene,Node Scene,0000,Node Scene 0000,node_kwe_pailune_daily_0000,kwe_pailune_daily_0000,node_kwe_pailune_daily_0000_enemy_00,kwe_pailune_daily_0000_enemy_00,kwe_pailune_daily_0000,kwe,pailune_daily_0000,2,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,Weakling... Can't even stand with venom in your veins.,Weakling... Can't even stand with venom in your veins.,gamedata/localizationstring_eng.paloc
node_calphadenorthdepot_counterattack_0100_enemy_00_00101,node,Node,Quest Scene,Node Scene,Node Scene,0100,Node Scene 0100,node_calphadenorthdepot_counterattack_0100,calphadenorthdepot_counterattack_0100,node_calphadenorthdepot_counterattack_0100_enemy_00,calphadenorthdepot_counterattack_0100_enemy_00,calphadenorthdepot_counterattack_0100,calphadenorthdepot,counterattack_0100,101,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,What fucking wagon?,What fucking wagon?,gamedata/localizationstring_eng.paloc
node_calphadenorthdepot_counterattack_0100_enemy_00_00102,node,Node,Quest Scene,Node Scene,Node Scene,0100,Node Scene 0100,node_calphadenorthdepot_counterattack_0100,calphadenorthdepot_counterattack_0100,node_calphadenorthdepot_counterattack_0100_enemy_00,calphadenorthdepot_counterattack_0100_enemy_00,calphadenorthdepot_counterattack_0100,calphadenorthdepot,counterattack_0100,102,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,Alright! The wagon takes that route... happy now?,Alright! The wagon takes that route... happy now?,gamedata/localizationstring_eng.paloc
node_calphadenorthdepot_counterattack_0100_enemy_00_00103,node,Node,Quest Scene,Node Scene,Node Scene,0100,Node Scene 0100,node_calphadenorthdepot_counterattack_0100,calphadenorthdepot_counterattack_0100,node_calphadenorthdepot_counterattack_0100_enemy_00,calphadenorthdepot_counterattack_0100_enemy_00,calphadenorthdepot_counterattack_0100,calphadenorthdepot,counterattack_0100,103,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,,,gamedata/localizationstring_eng.paloc
node_calphadenorthdepot_counterattack_0100_globalgametrack_00076,node,Node,Quest Scene,Node Scene,Node Scene,0100,Node Scene 0100,node_calphadenorthdepot_counterattack_0100,calphadenorthdepot_counterattack_0100,node_calphadenorthdepot_counterattack_0100_globalgametrack,calphadenorthdepot_counterattack_0100_globalgametrack,calphadenorthdepot_counterattack_0100,calphadenorthdepot,counterattack_0100,76,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,This way.,This way.,gamedata/localizationstring_eng.paloc
node_calphadenorthdepot_counterattack_0100_globalgametrack_00077,node,Node,Quest Scene,Node Scene,Node Scene,0100,Node Scene 0100,node_calphadenorthdepot_counterattack_0100,calphadenorthdepot_counterattack_0100,node_calphadenorthdepot_counterattack_0100_globalgametrack,calphadenorthdepot_counterattack_0100_globalgametrack,calphadenorthdepot_counterattack_0100,calphadenorthdepot,counterattack_0100,77,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,Wait! I wasn't done!,Wait! I wasn't done!,gamedata/localizationstring_eng.paloc
node_calphadenorthdepot_counterattack_0100_globalgametrack_00079,node,Node,Quest Scene,Node Scene,Node Scene,0100,Node Scene 0100,node_calphadenorthdepot_counterattack_0100,calphadenorthdepot_counterattack_0100,node_calphadenorthdepot_counterattack_0100_globalgametrack,calphadenorthdepot_counterattack_0100_globalgametrack,calphadenorthdepot_counterattack_0100,calphadenorthdepot,counterattack_0100,79,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,The enemy's supply wagon has been spotted taking a set route across the river.,The enemy's supply wagon has been spotted taking a set route across the river.,gamedata/localizationstring_eng.paloc
node_calphadenorthdepot_counterattack_0100_globalgametrack_00080,node,Node,Quest Scene,Node Scene,Node Scene,0100,Node Scene 0100,node_calphadenorthdepot_counterattack_0100,calphadenorthdepot_counterattack_0100,node_calphadenorthdepot_counterattack_0100_globalgametrack,calphadenorthdepot_counterattack_0100_globalgametrack,calphadenorthdepot_counterattack_0100,calphadenorthdepot,counterattack_0100,80,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,"Keep yourself hidden from the enemies, and wait for the wagon to show up.","Keep yourself hidden from the enemies, and wait for the wagon to show up.",gamedata/localizationstring_eng.paloc
node_calphadenorthdepot_counterattack_0100_globalgametrack_00082,node,Node,Quest Scene,Node Scene,Node Scene,0100,Node Scene 0100,node_calphadenorthdepot_counterattack_0100,calphadenorthdepot_counterattack_0100,node_calphadenorthdepot_counterattack_0100_globalgametrack,calphadenorthdepot_counterattack_0100_globalgametrack,calphadenorthdepot_counterattack_0100,calphadenorthdepot,counterattack_0100,82,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,And head straight to the depot once you've got it.,And head straight to the depot once you've got it.,gamedata/localizationstring_eng.paloc
node_calphadenorthdepot_counterattack_0100_globalgametrack_00090,node,Node,Quest Scene,Node Scene,Node Scene,0100,Node Scene 0100,node_calphadenorthdepot_counterattack_0100,calphadenorthdepot_counterattack_0100,node_calphadenorthdepot_counterattack_0100_globalgametrack,calphadenorthdepot_counterattack_0100_globalgametrack,calphadenorthdepot_counterattack_0100,calphadenorthdepot,counterattack_0100,90,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,I wish you the best.,I wish you the best.,gamedata/localizationstring_eng.paloc
