conversation_key,conversation_label,story_group,chapter_code,chapter_label,family,family_display,category,subcategory,line_count,non_empty_line_count,scene_count,speaker_keys,speaker_labels
epilogue_0100,0100,Epilogue,0100,Epilogue 0100,epilogue,Epilogue,Cutscene,Epilogue,30,27,4,Global Game Track; NPC 00; Player; Subtitle Group,Global Game Track; NPC 00; Player; Subtitle Group
intro_0100,0100,Intro,0100,Intro 0100,intro,Intro,Cutscene,Intro,43,28,6,Boss 00; Enemy 00; Global Game Track; NPC 00; Narration; Player,Boss 00; Enemy 00; Global Game Track; NPC 00; Narration; Player
intro_0100_01,0100_01,Intro,0100,Intro 0100,intro,Intro,Cutscene,Intro,10,4,3,Enemy 01; NPC 00; Player,Enemy 01; NPC 00; Player
intro_0100_02,0100_02,Intro,0100,Intro 0100,intro,Intro,Cutscene,Intro,12,6,3,Enemy 00; NPC 00; Player,Enemy 00; NPC 00; Player
intro_0100_03,0100_03,Intro,0100,Intro 0100,intro,Intro,Cutscene,Intro,6,4,2,NPC 00; Player,NPC 00; Player
intro_0300,0300,Intro,0300,Intro 0300,intro,Intro,Cutscene,Intro,1,0,1,Player,Player
intro_0310,0310,Intro,0310,Intro 0310,intro,Intro,Cutscene,Intro,26,18,3,NPC 00; NPC 01; Player,NPC 00; NPC 01; Player
intro_0320,0320,Intro,0320,Intro 0320,intro,Intro,Cutscene,Intro,30,28,3,NPC 00; NPC 01; Player,NPC 00; NPC 01; Player
intro_0400,0400,Intro,0400,Intro 0400,intro,Intro,Cutscene,Intro,37,28,3,Enemy 00; NPC 00; Player,Enemy 00; NPC 00; Player
intro_0450,0450,Intro,0450,Intro 0450,intro,Intro,Cutscene,Intro,28,28,2,Global Game Track; NPC 00,Global Game Track; NPC 00
intro_0500,0500,Intro,0500,Intro 0500,intro,Intro,Cutscene,Intro,55,44,3,Enemy 00; NPC 00; Player,Enemy 00; NPC 00; Player
intro_1300,1300,Intro,1300,Intro 1300,intro,Intro,Cutscene,Intro,37,37,2,NPC; Player,NPC; Player
node_kwe_pailune_daily_0000,kwe_pailune_daily_0000,Node Scene,0000,Node Scene 0000,node,Node,Quest Scene,Node Scene,1,1,1,Enemy 00,Enemy 00
node_calphadenorthdepot_counterattack_0100,calphadenorthdepot_counterattack_0100,Node Scene,0100,Node Scene 0100,node,Node,Quest Scene,Node Scene,25,24,4,Enemy 00; Global Game Track; NPC 00; NPC 02,Enemy 00; Global Game Track; NPC 00; NPC 02
node_crim_helmaravillage_explosionfactory_0100,crim_helmaravillage_explosionfactory_0100,Node Scene,0100,Node Scene 0100,node,Node,Quest Scene,Node Scene,7,7,1,NPC 00,NPC 00
node_crim_muiquunvillage_carriage_0100,crim_muiquunvillage_carriage_0100,Node Scene,0100,Node Scene 0100,node,Node,Quest Scene,Node Scene,13,13,2,NPC 00; NPC 01,NPC 00; NPC 01
node_crim_rockvillage_0100,crim_rockvillage_0100,Node Scene,0100,Node Scene 0100,node,Node,Quest Scene,Node Scene,17,16,3,NPC 00; NPC 01; NPC 02,NPC 00; NPC 01; NPC 02
node_crim_varnia_daily_0100,crim_varnia_daily_0100,Node Scene,0100,Node Scene 0100,node,Node,Quest Scene,Node Scene,2,2,1,Enemy 00,Enemy 00
node_del_cornfieldfarm_0100,del_cornfieldfarm_0100,Node Scene,0100,Node Scene 0100,node,Node,Quest Scene,Node Scene,36,36,3,Global Game Track; NPC 00; NPC 01,Global Game Track; NPC 00; NPC 01
node_del_marnilab_0100,del_marnilab_0100,Node Scene,0100,Node Scene 0100,node,Node,Quest Scene,Node Scene,7,7,2,NPC 00; NPC 01,NPC 00; NPC 01
node_del_marnipark_0100,del_marnipark_0100,Node Scene,0100,Node Scene 0100,node,Node,Quest Scene,Node Scene,8,8,1,NPC 00,NPC 00
node_del_portdelesyia_0100,del_portdelesyia_0100,Node Scene,0100,Node Scene 0100,node,Node,Quest Scene,Node Scene,5,5,1,NPC 00,NPC 00
node_del_redfoxtradepost_questioning_0100,del_redfoxtradepost_questioning_0100,Node Scene,0100,Node Scene 0100,node,Node,Quest Scene,Node Scene,14,13,2,NPC 00; Player,NPC 00; Player
node_del_rustfieldscrapyard_0100,del_rustfieldscrapyard_0100,Node Scene,0100,Node Scene 0100,node,Node,Quest Scene,Node Scene,9,9,1,NPC 00,NPC 00
node_dem_azerianmanor_0100,dem_azerianmanor_0100,Node Scene,0100,Node Scene 0100,node,Node,Quest Scene,Node Scene,10,10,1,NPC 00,NPC 00
node_dem_brookfieldmanor_elemore_0100,dem_brookfieldmanor_elemore_0100,Node Scene,0100,Node Scene 0100,node,Node,Quest Scene,Node Scene,5,5,1,NPC 00,NPC 00
node_dem_demenisscastle_daily_0100,dem_demenisscastle_daily_0100,Node Scene,0100,Node Scene 0100,node,Node,Quest Scene,Node Scene,13,13,3,Enemy 01; Global Game Track; NPC 00,Enemy 01; Global Game Track; NPC 00
node_dem_eyeofice_0100,dem_eyeofice_0100,Node Scene,0100,Node Scene 0100,node,Node,Quest Scene,Node Scene,33,27,3,NPC 00; NPC 01; Player,NPC 00; NPC 01; Player
node_dem_hayrooffarm_0100,dem_hayrooffarm_0100,Node Scene,0100,Node Scene 0100,node,Node,Quest Scene,Node Scene,6,6,1,NPC 00,NPC 00
node_dem_lacusfarm_0100,dem_lacusfarm_0100,Node Scene,0100,Node Scene 0100,node,Node,Quest Scene,Node Scene,8,8,1,NPC 00,NPC 00
node_dem_royaltomb_0100,dem_royaltomb_0100,Node Scene,0100,Node Scene 0100,node,Node,Quest Scene,Node Scene,9,9,1,NPC 00,NPC 00
node_dewhavencastle_disappeared_0100,dewhavencastle_disappeared_0100,Node Scene,0100,Node Scene 0100,node,Node,Quest Scene,Node Scene,14,14,2,NPC 00; NPC 01,NPC 00; NPC 01
node_fullharvestfarm_0100,fullharvestfarm_0100,Node Scene,0100,Node Scene 0100,node,Node,Quest Scene,Node Scene,12,11,2,NPC 00; NPC 01,NPC 00; NPC 01
node_her_helmaravillageconstruction_0100,her_helmaravillageconstruction_0100,Node Scene,0100,Node Scene 0100,node,Node,Quest Scene,Node Scene,6,6,1,NPC 00,NPC 00
node_her_hernandcastle_daily_0100,her_hernandcastle_daily_0100,Node Scene,0100,Node Scene 0100,node,Node,Quest Scene,Node Scene,15,15,1,NPC 00,NPC 00
node_her_ruinedchapelconstruction_0100,her_ruinedchapelconstruction_0100,Node Scene,0100,Node Scene 0100,node,Node,Quest Scene,Node Scene,8,8,1,NPC 00,NPC 00
node_her_saddlewindranch_0100,her_saddlewindranch_0100,Node Scene,0100,Node Scene 0100,node,Node,Quest Scene,Node Scene,1,1,1,Player,Player
node_her_streamsidepier_0100,her_streamsidepier_0100,Node Scene,0100,Node Scene 0100,node,Node,Quest Scene,Node Scene,10,10,1,NPC 00,NPC 00
node_her_velluavillageconstruction_0100,her_velluavillageconstruction_0100,Node Scene,0100,Node Scene 0100,node,Node,Quest Scene,Node Scene,11,11,1,NPC 00,NPC 00
node_kwe_lonelyjackal_0100,kwe_lonelyjackal_0100,Node Scene,0100,Node Scene 0100,node,Node,Quest Scene,Node Scene,3,3,1,NPC 00,NPC 00
node_kwe_pailune_daily_0100,kwe_pailune_daily_0100,Node Scene,0100,Node Scene 0100,node,Node,Quest Scene,Node Scene,13,13,1,NPC 00,NPC 00
node_her_silvermoonhqconstruction_0110,her_silvermoonhqconstruction_0110,Node Scene,0110,Node Scene 0110,node,Node,Quest Scene,Node Scene,10,10,1,NPC 00,NPC 00
node_del_cornfieldfarm_0120,del_cornfieldfarm_0120,Node Scene,0120,Node Scene 0120,node,Node,Quest Scene,Node Scene,2,2,1,Enemy 00,Enemy 00
node_her_silvermoonhqconstruction_0120,her_silvermoonhqconstruction_0120,Node Scene,0120,Node Scene 0120,node,Node,Quest Scene,Node Scene,8,8,1,NPC 00,NPC 00
node_kwe_skoghornvillage_0150,kwe_skoghornvillage_0150,Node Scene,0150,Node Scene 0150,node,Node,Quest Scene,Node Scene,27,20,2,NPC 00; NPC 01,NPC 00; NPC 01
node_crim_muiquunvillage_carriage_0200,crim_muiquunvillage_carriage_0200,Node Scene,0200,Node Scene 0200,node,Node,Quest Scene,Node Scene,5,5,1,NPC 00,NPC 00
node_crim_varnia_daily_0200,crim_varnia_daily_0200,Node Scene,0200,Node Scene 0200,node,Node,Quest Scene,Node Scene,5,5,1,NPC 00,NPC 00
node_del_delesyiacastle_daily_0200,del_delesyiacastle_daily_0200,Node Scene,0200,Node Scene 0200,node,Node,Quest Scene,Node Scene,14,14,3,Enemy 01; NPC 00; Player,Enemy 01; NPC 00; Player
node_del_marnilab_0200,del_marnilab_0200,Node Scene,0200,Node Scene 0200,node,Node,Quest Scene,Node Scene,10,10,2,NPC 00; NPC 01,NPC 00; NPC 01
node_del_marnipark_0200,del_marnipark_0200,Node Scene,0200,Node Scene 0200,node,Node,Quest Scene,Node Scene,5,5,1,NPC 00,NPC 00
node_del_portdelesyia_0200,del_portdelesyia_0200,Node Scene,0200,Node Scene 0200,node,Node,Quest Scene,Node Scene,5,5,1,NPC 00,NPC 00
node_del_redfoxtradepost_questioning_0200,del_redfoxtradepost_questioning_0200,Node Scene,0200,Node Scene 0200,node,Node,Quest Scene,Node Scene,11,11,2,NPC 00; Player,NPC 00; Player
node_del_rustfieldscrapyard_0200,del_rustfieldscrapyard_0200,Node Scene,0200,Node Scene 0200,node,Node,Quest Scene,Node Scene,9,9,1,NPC 00,NPC 00
node_dem_azerianmanor_0200,dem_azerianmanor_0200,Node Scene,0200,Node Scene 0200,node,Node,Quest Scene,Node Scene,7,7,1,NPC 00,NPC 00
node_dem_brookfieldmanor_elemore_0200,dem_brookfieldmanor_elemore_0200,Node Scene,0200,Node Scene 0200,node,Node,Quest Scene,Node Scene,7,7,1,NPC 00,NPC 00
node_dem_demenisscastle_daily_0200,dem_demenisscastle_daily_0200,Node Scene,0200,Node Scene 0200,node,Node,Quest Scene,Node Scene,13,13,3,Enemy 00; Global Game Track; NPC 00,Enemy 00; Global Game Track; NPC 00
node_dem_hayrooffarm_0200,dem_hayrooffarm_0200,Node Scene,0200,Node Scene 0200,node,Node,Quest Scene,Node Scene,5,5,1,NPC 00,NPC 00
node_dem_lacusfarm_0200,dem_lacusfarm_0200,Node Scene,0200,Node Scene 0200,node,Node,Quest Scene,Node Scene,9,9,1,NPC 00,NPC 00
node_dem_royaltomb_0200,dem_royaltomb_0200,Node Scene,0200,Node Scene 0200,node,Node,Quest Scene,Node Scene,5,5,1,NPC 00,NPC 00
node_dem_windmeremanor_horserace_0200,dem_windmeremanor_horserace_0200,Node Scene,0200,Node Scene 0200,node,Node,Quest Scene,Node Scene,26,26,2,NPC 00; Player,NPC 00; Player
node_fullharvestfarm_0200,fullharvestfarm_0200,Node Scene,0200,Node Scene 0200,node,Node,Quest Scene,Node Scene,4,4,1,NPC 00,NPC 00
node_her_helmaravillageconstruction_0200,her_helmaravillageconstruction_0200,Node Scene,0200,Node Scene 0200,node,Node,Quest Scene,Node Scene,7,7,1,NPC 00,NPC 00
node_her_hernandcastle_daily_0200,her_hernandcastle_daily_0200,Node Scene,0200,Node Scene 0200,node,Node,Quest Scene,Node Scene,17,17,2,Global Game Track; NPC 00,Global Game Track; NPC 00
node_her_lioncrestmanorcontact_0200,her_lioncrestmanorcontact_0200,Node Scene,0200,Node Scene 0200,node,Node,Quest Scene,Node Scene,3,3,1,NPC 00,NPC 00
node_her_ruinedchapelconstruction_0200,her_ruinedchapelconstruction_0200,Node Scene,0200,Node Scene 0200,node,Node,Quest Scene,Node Scene,5,5,1,NPC 00,NPC 00
node_her_saddlecap_0200,her_saddlecap_0200,Node Scene,0200,Node Scene 0200,node,Node,Quest Scene,Node Scene,18,18,2,NPC 00; NPC 01,NPC 00; NPC 01
node_her_streamsidepier_0200,her_streamsidepier_0200,Node Scene,0200,Node Scene 0200,node,Node,Quest Scene,Node Scene,12,12,1,NPC 00,NPC 00
node_kwe_lonelyjackal_0200,kwe_lonelyjackal_0200,Node Scene,0200,Node Scene 0200,node,Node,Quest Scene,Node Scene,5,5,1,NPC 00,NPC 00
node_kwe_longbranchvillage_0200,kwe_longbranchvillage_0200,Node Scene,0200,Node Scene 0200,node,Node,Quest Scene,Node Scene,10,9,1,NPC 00,NPC 00
node_kwe_longleaftreevillage_0200,kwe_longleaftreevillage_0200,Node Scene,0200,Node Scene 0200,node,Node,Quest Scene,Node Scene,3,3,1,NPC 00,NPC 00
node_crim_muiquunvillage_owlsofthemist_0300,crim_muiquunvillage_owlsofthemist_0300,Node Scene,0300,Node Scene 0300,node,Node,Quest Scene,Node Scene,16,16,2,NPC 00; NPC 01,NPC 00; NPC 01
node_del_delesyiacastle_daily_0300,del_delesyiacastle_daily_0300,Node Scene,0300,Node Scene 0300,node,Node,Quest Scene,Node Scene,13,13,2,Enemy 00; NPC 00,Enemy 00; NPC 00
node_del_redfoxtradepost_questioning_0300,del_redfoxtradepost_questioning_0300,Node Scene,0300,Node Scene 0300,node,Node,Quest Scene,Node Scene,13,13,2,NPC 00; Player,NPC 00; Player
node_dem_demenisscastle_daily_0300,dem_demenisscastle_daily_0300,Node Scene,0300,Node Scene 0300,node,Node,Quest Scene,Node Scene,4,4,1,NPC 00,NPC 00
node_her_bluemontmanor_0300,her_bluemontmanor_0300,Node Scene,0300,Node Scene 0300,node,Node,Quest Scene,Node Scene,15,13,2,NPC 00; Player,NPC 00; Player
node_her_hernandcastle_daily_0300,her_hernandcastle_daily_0300,Node Scene,0300,Node Scene 0300,node,Node,Quest Scene,Node Scene,10,10,1,NPC 00,NPC 00
node_her_lioncrestmanorcontact_0300,her_lioncrestmanorcontact_0300,Node Scene,0300,Node Scene 0300,node,Node,Quest Scene,Node Scene,18,15,2,NPC 00; Player,NPC 00; Player
node_her_saddlecap_0300,her_saddlecap_0300,Node Scene,0300,Node Scene 0300,node,Node,Quest Scene,Node Scene,11,11,2,NPC 01; NPC 02,NPC 01; NPC 02
node_kwe_longleaftreevillage_0300,kwe_longleaftreevillage_0300,Node Scene,0300,Node Scene 0300,node,Node,Quest Scene,Node Scene,6,6,1,NPC 00,NPC 00
node_kwe_pailune_daily_0300,kwe_pailune_daily_0300,Node Scene,0300,Node Scene 0300,node,Node,Quest Scene,Node Scene,1,1,1,Enemy 00,Enemy 00
node_crim_helmaravillage_explosionfactory_0400,crim_helmaravillage_explosionfactory_0400,Node Scene,0400,Node Scene 0400,node,Node,Quest Scene,Node Scene,4,4,1,NPC 00,NPC 00
node_crim_varnia_daily_0400,crim_varnia_daily_0400,Node Scene,0400,Node Scene 0400,node,Node,Quest Scene,Node Scene,2,2,1,Enemy 00,Enemy 00
node_del_delesyiacastle_daily_0400,del_delesyiacastle_daily_0400,Node Scene,0400,Node Scene 0400,node,Node,Quest Scene,Node Scene,12,12,2,Enemy 00; NPC 00,Enemy 00; NPC 00
node_del_redfoxtradepost_questioning_0400,del_redfoxtradepost_questioning_0400,Node Scene,0400,Node Scene 0400,node,Node,Quest Scene,Node Scene,12,12,2,NPC 00; Player,NPC 00; Player
node_dem_demenisscastle_daily_0400,dem_demenisscastle_daily_0400,Node Scene,0400,Node Scene 0400,node,Node,Quest Scene,Node Scene,14,14,2,Enemy 00; NPC 00,Enemy 00; NPC 00
node_dem_thornrosefort_wellsbrigade_0400,dem_thornrosefort_wellsbrigade_0400,Node Scene,0400,Node Scene 0400,node,Node,Quest Scene,Node Scene,19,19,3,NPC 00; NPC 01; Player,NPC 00; NPC 01; Player
node_her_bluemontmanor_0400,her_bluemontmanor_0400,Node Scene,0400,Node Scene 0400,node,Node,Quest Scene,Node Scene,11,9,1,NPC 00,NPC 00
node_her_glenbrightmanor_grace_0400,her_glenbrightmanor_grace_0400,Node Scene,0400,Node Scene 0400,node,Node,Quest Scene,Node Scene,11,11,2,NPC 00; Player,NPC 00; Player
node_her_hernandcastle_daily_0400,her_hernandcastle_daily_0400,Node Scene,0400,Node Scene 0400,node,Node,Quest Scene,Node Scene,3,3,1,NPC 00,NPC 00
node_her_sweetbloomplantationconstruction_0400,her_sweetbloomplantationconstruction_0400,Node Scene,0400,Node Scene 0400,node,Node,Quest Scene,Node Scene,4,4,1,NPC 00,NPC 00
node_kwe_pailune_daily_0400,kwe_pailune_daily_0400,Node Scene,0400,Node Scene 0400,node,Node,Quest Scene,Node Scene,5,5,1,NPC 00,NPC 00
node_crim_tashkalp_0500,crim_tashkalp_0500,Node Scene,0500,Node Scene 0500,node,Node,Quest Scene,Node Scene,20,20,2,NPC 00; NPC 01,NPC 00; NPC 01
node_crim_varnia_daily_0500,crim_varnia_daily_0500,Node Scene,0500,Node Scene 0500,node,Node,Quest Scene,Node Scene,14,14,1,NPC 00,NPC 00
node_del_delesyiacastle_daily_0500,del_delesyiacastle_daily_0500,Node Scene,0500,Node Scene 0500,node,Node,Quest Scene,Node Scene,5,5,1,NPC 00,NPC 00
node_del_redfoxtradepost_questioning_0500,del_redfoxtradepost_questioning_0500,Node Scene,0500,Node Scene 0500,node,Node,Quest Scene,Node Scene,11,11,2,NPC 00; Player,NPC 00; Player
node_dem_demenisscastle_daily_0500,dem_demenisscastle_daily_0500,Node Scene,0500,Node Scene 0500,node,Node,Quest Scene,Node Scene,13,13,2,Enemy 01; NPC 00,Enemy 01; NPC 00
node_her_bluemontmanor_0500,her_bluemontmanor_0500,Node Scene,0500,Node Scene 0500,node,Node,Quest Scene,Node Scene,15,14,2,NPC 00; NPC 01,NPC 00; NPC 01
node_her_crane_0500,her_crane_0500,Node Scene,0500,Node Scene 0500,node,Node,Quest Scene,Node Scene,7,7,2,NPC 00; Player,NPC 00; Player
node_her_glenbrightmanor_grace_0500,her_glenbrightmanor_grace_0500,Node Scene,0500,Node Scene 0500,node,Node,Quest Scene,Node Scene,33,31,3,NPC 00; NPC 01; Player,NPC 00; NPC 01; Player
node_her_hernandcastle_0500,her_hernandcastle_0500,Node Scene,0500,Node Scene 0500,node,Node,Quest Scene,Node Scene,14,14,2,Global Game Track; NPC 00,Global Game Track; NPC 00
node_her_lioncrestmanorcontact_0500,her_lioncrestmanorcontact_0500,Node Scene,0500,Node Scene 0500,node,Node,Quest Scene,Node Scene,6,6,1,NPC 00,NPC 00
node_kwe_longleaftreevillage_0500,kwe_longleaftreevillage_0500,Node Scene,0500,Node Scene 0500,node,Node,Quest Scene,Node Scene,5,5,2,NPC 00; NPC 01,NPC 00; NPC 01
node_kwe_longleaftreevillage_0500_01,kwe_longleaftreevillage_0500_01,Node Scene,0500,Node Scene 0500,node,Node,Quest Scene,Node Scene,5,5,2,NPC 00; NPC 01,NPC 00; NPC 01
node_kwe_longleaftreevillage_0500_02,kwe_longleaftreevillage_0500_02,Node Scene,0500,Node Scene 0500,node,Node,Quest Scene,Node Scene,5,5,2,NPC 00; NPC 01,NPC 00; NPC 01
node_her_glenbrightmanor_grace_0510,her_glenbrightmanor_grace_0510,Node Scene,0510,Node Scene 0510,node,Node,Quest Scene,Node Scene,12,12,2,NPC 00; Player,NPC 00; Player
node_crim_varnia_daily_0600,crim_varnia_daily_0600,Node Scene,0600,Node Scene 0600,node,Node,Quest Scene,Node Scene,14,14,2,Enemy 01; NPC 00,Enemy 01; NPC 00
node_del_delesyiacastle_daily_0600,del_delesyiacastle_daily_0600,Node Scene,0600,Node Scene 0600,node,Node,Quest Scene,Node Scene,8,8,1,NPC 00,NPC 00
node_del_redfoxtradepost_questioning_0600,del_redfoxtradepost_questioning_0600,Node Scene,0600,Node Scene 0600,node,Node,Quest Scene,Node Scene,11,11,2,NPC 00; Player,NPC 00; Player
node_dem_demenisscastle_daily_0600,dem_demenisscastle_daily_0600,Node Scene,0600,Node Scene 0600,node,Node,Quest Scene,Node Scene,14,14,2,Global Game Track; NPC 00,Global Game Track; NPC 00
node_dem_demenisscastle_daily_0600_day2,dem_demenisscastle_daily_0600_day2,Node Scene,0600,Node Scene 0600,node,Node,Quest Scene,Node Scene,3,3,1,Global Game Track,Global Game Track
node_her_bluemontmanor_0600,her_bluemontmanor_0600,Node Scene,0600,Node Scene 0600,node,Node,Quest Scene,Node Scene,14,13,1,NPC 00,NPC 00
node_her_crane_0600,her_crane_0600,Node Scene,0600,Node Scene 0600,node,Node,Quest Scene,Node Scene,4,4,1,NPC 00,NPC 00
node_her_hernandcastle_0600,her_hernandcastle_0600,Node Scene,0600,Node Scene 0600,node,Node,Quest Scene,Node Scene,8,8,1,NPC 00,NPC 00
node_her_hernandcastle_daily_0600,her_hernandcastle_daily_0600,Node Scene,0600,Node Scene 0600,node,Node,Quest Scene,Node Scene,15,15,2,NPC 00; Player,NPC 00; Player
node_her_hernandcastle_daily_0600_day2,her_hernandcastle_daily_0600_day2,Node Scene,0600,Node Scene 0600,node,Node,Quest Scene,Node Scene,3,3,1,Global Game Track,Global Game Track
node_her_lioncrestmanorcontact_0600,her_lioncrestmanorcontact_0600,Node Scene,0600,Node Scene 0600,node,Node,Quest Scene,Node Scene,10,8,2,NPC 00; Player,NPC 00; Player
node_her_sweetbloomplantationconstruction_0600,her_sweetbloomplantationconstruction_0600,Node Scene,0600,Node Scene 0600,node,Node,Quest Scene,Node Scene,4,4,1,NPC 00,NPC 00
node_del_redfoxtradepost_questioning_0700,del_redfoxtradepost_questioning_0700,Node Scene,0700,Node Scene 0700,node,Node,Quest Scene,Node Scene,12,12,2,NPC 00; Player,NPC 00; Player
node_dem_demenisscastle_daily_0700,dem_demenisscastle_daily_0700,Node Scene,0700,Node Scene 0700,node,Node,Quest Scene,Node Scene,9,9,1,NPC 00,NPC 00
