key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
aidialogstringinfo_battleing_graymane_42949,aidialogstringinfo,Aidialogstringinfo,AI Dialogue,AI Ambient Dialogue,AI Dialogue,,Ambient Dialogue,aidialogstringinfo_battleing_graymane,battleing_graymane,aidialogstringinfo_battleing_graymane,battleing_graymane,battleing_graymane,battleing,graymane,42949,battleing_graymane,,ai_npc,AI NPC,AI NPC,AI NPC,,family,,Northern scum!,Northern scum!,gamedata/localizationstring_eng.paloc
aidialogstringinfo_battleing_graymane_42950,aidialogstringinfo,Aidialogstringinfo,AI Dialogue,AI Ambient Dialogue,AI Dialogue,,Ambient Dialogue,aidialogstringinfo_battleing_graymane,battleing_graymane,aidialogstringinfo_battleing_graymane,battleing_graymane,battleing_graymane,battleing,graymane,42950,battleing_graymane,,ai_npc,AI NPC,AI NPC,AI NPC,,family,,Greymane!,Greymane!,gamedata/localizationstring_eng.paloc
aidialogstringinfo_battleing_graymane_42951,aidialogstringinfo,Aidialogstringinfo,AI Dialogue,AI Ambient Dialogue,AI Dialogue,,Ambient Dialogue,aidialogstringinfo_battleing_graymane,battleing_graymane,aidialogstringinfo_battleing_graymane,battleing_graymane,battleing_graymane,battleing,graymane,42951,battleing_graymane,,ai_npc,AI NPC,AI NPC,AI NPC,,family,,Northern barbarians!,Northern barbarians!,gamedata/localizationstring_eng.paloc
aidialogstringinfo_battleing_graymane_42952,aidialogstringinfo,Aidialogstringinfo,AI Dialogue,AI Ambient Dialogue,AI Dialogue,,Ambient Dialogue,aidialogstringinfo_battleing_graymane,battleing_graymane,aidialogstringinfo_battleing_graymane,battleing_graymane,battleing_graymane,battleing,graymane,42952,battleing_graymane,,ai_npc,AI NPC,AI NPC,AI NPC,,family,,Scurry off to where you came from!,Scurry off to where you came from!,gamedata/localizationstring_eng.paloc
aidialogstringinfo_battleing_graymane_42953,aidialogstringinfo,Aidialogstringinfo,AI Dialogue,AI Ambient Dialogue,AI Dialogue,,Ambient Dialogue,aidialogstringinfo_battleing_graymane,battleing_graymane,aidialogstringinfo_battleing_graymane,battleing_graymane,battleing_graymane,battleing,graymane,42953,battleing_graymane,,ai_npc,AI NPC,AI NPC,AI NPC,,family,,Northern filth!,Northern filth!,gamedata/localizationstring_eng.paloc
aidialogstringinfo_battleing_graymane_42954,aidialogstringinfo,Aidialogstringinfo,AI Dialogue,AI Ambient Dialogue,AI Dialogue,,Ambient Dialogue,aidialogstringinfo_battleing_graymane,battleing_graymane,aidialogstringinfo_battleing_graymane,battleing_graymane,battleing_graymane,battleing,graymane,42954,battleing_graymane,,ai_npc,AI NPC,AI NPC,AI NPC,,family,,You grave-worshipping savages!,You grave-worshipping savages!,gamedata/localizationstring_eng.paloc
aidialogstringinfo_battleing_graymane_42955,aidialogstringinfo,Aidialogstringinfo,AI Dialogue,AI Ambient Dialogue,AI Dialogue,,Ambient Dialogue,aidialogstringinfo_battleing_graymane,battleing_graymane,aidialogstringinfo_battleing_graymane,battleing_graymane,battleing_graymane,battleing,graymane,42955,battleing_graymane,,ai_npc,AI NPC,AI NPC,AI NPC,,family,,Greymane cur!,Greymane cur!,gamedata/localizationstring_eng.paloc
aidialogstringinfo_battleing_graymane_42956,aidialogstringinfo,Aidialogstringinfo,AI Dialogue,AI Ambient Dialogue,AI Dialogue,,Ambient Dialogue,aidialogstringinfo_battleing_graymane,battleing_graymane,aidialogstringinfo_battleing_graymane,battleing_graymane,battleing_graymane,battleing,graymane,42956,battleing_graymane,,ai_npc,AI NPC,AI NPC,AI NPC,,family,,"This is your end, Greymane!","This is your end, Greymane!",gamedata/localizationstring_eng.paloc
aidialogstringinfo_battleing_graymane_42957,aidialogstringinfo,Aidialogstringinfo,AI Dialogue,AI Ambient Dialogue,AI Dialogue,,Ambient Dialogue,aidialogstringinfo_battleing_graymane,battleing_graymane,aidialogstringinfo_battleing_graymane,battleing_graymane,battleing_graymane,battleing,graymane,42957,battleing_graymane,,ai_npc,AI NPC,AI NPC,AI NPC,,family,,"Die, Greymane!","Die, Greymane!",gamedata/localizationstring_eng.paloc
aidialogstringinfo_battleing_graymane_42958,aidialogstringinfo,Aidialogstringinfo,AI Dialogue,AI Ambient Dialogue,AI Dialogue,,Ambient Dialogue,aidialogstringinfo_battleing_graymane,battleing_graymane,aidialogstringinfo_battleing_graymane,battleing_graymane,battleing_graymane,battleing,graymane,42958,battleing_graymane,,ai_npc,AI NPC,AI NPC,AI NPC,,family,,"You've come too far, northern curs!","You've come too far, northern curs!",gamedata/localizationstring_eng.paloc
aidialogstringinfo_battleing_graymane_42959,aidialogstringinfo,Aidialogstringinfo,AI Dialogue,AI Ambient Dialogue,AI Dialogue,,Ambient Dialogue,aidialogstringinfo_battleing_graymane,battleing_graymane,aidialogstringinfo_battleing_graymane,battleing_graymane,battleing_graymane,battleing,graymane,42959,battleing_graymane,,ai_npc,AI NPC,AI NPC,AI NPC,,family,,Fleeing cowards!,Fleeing cowards!,gamedata/localizationstring_eng.paloc
aidialogstringinfo_battleing_graymane_42960,aidialogstringinfo,Aidialogstringinfo,AI Dialogue,AI Ambient Dialogue,AI Dialogue,,Ambient Dialogue,aidialogstringinfo_battleing_graymane,battleing_graymane,aidialogstringinfo_battleing_graymane,battleing_graymane,battleing_graymane,battleing,graymane,42960,battleing_graymane,,ai_npc,AI NPC,AI NPC,AI NPC,,family,,I'll slaughter all you beaten curs!,I'll slaughter all you beaten curs!,gamedata/localizationstring_eng.paloc
aidialogstringinfo_battleing_graymane_42961,aidialogstringinfo,Aidialogstringinfo,AI Dialogue,AI Ambient Dialogue,AI Dialogue,,Ambient Dialogue,aidialogstringinfo_battleing_graymane,battleing_graymane,aidialogstringinfo_battleing_graymane,battleing_graymane,battleing_graymane,battleing,graymane,42961,battleing_graymane,,ai_npc,AI NPC,AI NPC,AI NPC,,family,,Northern scum!,Northern scum!,gamedata/localizationstring_eng.paloc
aidialogstringinfo_battleing_graymane_42962,aidialogstringinfo,Aidialogstringinfo,AI Dialogue,AI Ambient Dialogue,AI Dialogue,,Ambient Dialogue,aidialogstringinfo_battleing_graymane,battleing_graymane,aidialogstringinfo_battleing_graymane,battleing_graymane,battleing_graymane,battleing,graymane,42962,battleing_graymane,,ai_npc,AI NPC,AI NPC,AI NPC,,family,,You pathetic mutts!,You pathetic mutts!,gamedata/localizationstring_eng.paloc
aidialogstringinfo_battleing_graymane_42963,aidialogstringinfo,Aidialogstringinfo,AI Dialogue,AI Ambient Dialogue,AI Dialogue,,Ambient Dialogue,aidialogstringinfo_battleing_graymane,battleing_graymane,aidialogstringinfo_battleing_graymane,battleing_graymane,battleing_graymane,battleing,graymane,42963,battleing_graymane,,ai_npc,AI NPC,AI NPC,AI NPC,,family,,Die you bastards!,Die you bastards!,gamedata/localizationstring_eng.paloc
aidialogstringinfo_battleing_graymane_42964,aidialogstringinfo,Aidialogstringinfo,AI Dialogue,AI Ambient Dialogue,AI Dialogue,,Ambient Dialogue,aidialogstringinfo_battleing_graymane,battleing_graymane,aidialogstringinfo_battleing_graymane,battleing_graymane,battleing_graymane,battleing,graymane,42964,battleing_graymane,,ai_npc,AI NPC,AI NPC,AI NPC,,family,,I'll kill all you savages!,I'll kill all you savages!,gamedata/localizationstring_eng.paloc
aidialogstringinfo_battleing_graymane_42965,aidialogstringinfo,Aidialogstringinfo,AI Dialogue,AI Ambient Dialogue,AI Dialogue,,Ambient Dialogue,aidialogstringinfo_battleing_graymane,battleing_graymane,aidialogstringinfo_battleing_graymane,battleing_graymane,battleing_graymane,battleing,graymane,42965,battleing_graymane,,ai_npc,AI NPC,AI NPC,AI NPC,,family,,Broken and beaten—die where you stand!,Broken and beaten—die where you stand!,gamedata/localizationstring_eng.paloc
aidialogstringinfo_battleing_graymane_42966,aidialogstringinfo,Aidialogstringinfo,AI Dialogue,AI Ambient Dialogue,AI Dialogue,,Ambient Dialogue,aidialogstringinfo_battleing_graymane,battleing_graymane,aidialogstringinfo_battleing_graymane,battleing_graymane,battleing_graymane,battleing,graymane,42966,battleing_graymane,,ai_npc,AI NPC,AI NPC,AI NPC,,family,,Filthy scum—meet your end!,Filthy scum—meet your end!,gamedata/localizationstring_eng.paloc
aidialogstringinfo_battleing_graymane_42967,aidialogstringinfo,Aidialogstringinfo,AI Dialogue,AI Ambient Dialogue,AI Dialogue,,Ambient Dialogue,aidialogstringinfo_battleing_graymane,battleing_graymane,aidialogstringinfo_battleing_graymane,battleing_graymane,battleing_graymane,battleing,graymane,42967,battleing_graymane,,ai_npc,AI NPC,AI NPC,AI NPC,,family,,"Back to the shithole you crawled from, cowards!","Back to the shithole you crawled from, cowards!",gamedata/localizationstring_eng.paloc
aidialogstringinfo_battleing_graymane_42968,aidialogstringinfo,Aidialogstringinfo,AI Dialogue,AI Ambient Dialogue,AI Dialogue,,Ambient Dialogue,aidialogstringinfo_battleing_graymane,battleing_graymane,aidialogstringinfo_battleing_graymane,battleing_graymane,battleing_graymane,battleing,graymane,42968,battleing_graymane,,ai_npc,AI NPC,AI NPC,AI NPC,,family,,Still breathing? I'll fix that!,Still breathing? I'll fix that!,gamedata/localizationstring_eng.paloc
