key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
ancientpeople_9000_boss_00_00001,ancientpeople,Ancientpeople,Scene Dialogue,Ancientpeople,Ancientpeople,9000,Ancientpeople 9000,ancientpeople_9000,9000,ancientpeople_9000_boss_00,9000_boss_00,9000,9000,,1,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Those who bar my path...,Those who bar my path...,gamedata/localizationstring_eng.paloc
ancientpeople_9000_boss_00_00002,ancientpeople,Ancientpeople,Scene Dialogue,Ancientpeople,Ancientpeople,9000,Ancientpeople 9000,ancientpeople_9000,9000,ancientpeople_9000_boss_00,9000_boss_00,9000,9000,,2,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,shall answer with their lives!,shall answer with their lives!,gamedata/localizationstring_eng.paloc
ancientpeople_9000_boss_00_00003,ancientpeople,Ancientpeople,Scene Dialogue,Ancientpeople,Ancientpeople,9000,Ancientpeople 9000,ancientpeople_9000,9000,ancientpeople_9000_boss_00,9000_boss_00,9000,9000,,3,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,It's not over yet!,It's not over yet!,gamedata/localizationstring_eng.paloc
ancientpeople_9000_boss_00_00004,ancientpeople,Ancientpeople,Scene Dialogue,Ancientpeople,Ancientpeople,9000,Ancientpeople 9000,ancientpeople_9000,9000,ancientpeople_9000_boss_00,9000_boss_00,9000,9000,,4,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Ugh...!,Ugh...!,gamedata/localizationstring_eng.paloc
ancientpeople_9000_boss_00_00005,ancientpeople,Ancientpeople,Scene Dialogue,Ancientpeople,Ancientpeople,9000,Ancientpeople 9000,ancientpeople_9000,9000,ancientpeople_9000_boss_00,9000_boss_00,9000,9000,,5,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Ugh...,Ugh...,gamedata/localizationstring_eng.paloc
ancientpeople_9000_boss_00_00006,ancientpeople,Ancientpeople,Scene Dialogue,Ancientpeople,Ancientpeople,9000,Ancientpeople 9000,ancientpeople_9000,9000,ancientpeople_9000_boss_00,9000_boss_00,9000,9000,,6,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,I... still have deeds unfinished...,I... still have deeds unfinished...,gamedata/localizationstring_eng.paloc
ancientpeople_9000_globalgametrack_00007,ancientpeople,Ancientpeople,Scene Dialogue,Ancientpeople,Ancientpeople,9000,Ancientpeople 9000,ancientpeople_9000,9000,ancientpeople_9000_globalgametrack,9000_globalgametrack,9000,9000,,7,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,You're squandering your pitiful life!,You're squandering your pitiful life!,gamedata/localizationstring_eng.paloc
ancientpeople_9000_globalgametrack_00008,ancientpeople,Ancientpeople,Scene Dialogue,Ancientpeople,Ancientpeople,9000,Ancientpeople 9000,ancientpeople_9000,9000,ancientpeople_9000_globalgametrack,9000_globalgametrack,9000,9000,,8,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,A pathetic creature like you could never stop me!,A pathetic creature like you could never stop me!,gamedata/localizationstring_eng.paloc
ancientpeople_9000_globalgametrack_00009,ancientpeople,Ancientpeople,Scene Dialogue,Ancientpeople,Ancientpeople,9000,Ancientpeople 9000,ancientpeople_9000,9000,ancientpeople_9000_globalgametrack,9000_globalgametrack,9000,9000,,9,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,You'll never comprehend the scope of my great work.,You'll never comprehend the scope of my great work.,gamedata/localizationstring_eng.paloc
ancientpeople_9000_globalgametrack_00010,ancientpeople,Ancientpeople,Scene Dialogue,Ancientpeople,Ancientpeople,9000,Ancientpeople 9000,ancientpeople_9000,9000,ancientpeople_9000_globalgametrack,9000_globalgametrack,9000,9000,,10,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,I'll make you pay dearly for daring to meddle in my affairs.,I'll make you pay dearly for daring to meddle in my affairs.,gamedata/localizationstring_eng.paloc
ancientpeople_9000_globalgametrack_00011,ancientpeople,Ancientpeople,Scene Dialogue,Ancientpeople,Ancientpeople,9000,Ancientpeople 9000,ancientpeople_9000,9000,ancientpeople_9000_globalgametrack,9000_globalgametrack,9000,9000,,11,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,Your doom was written the moment you set foot here.,Your doom was written the moment you set foot here.,gamedata/localizationstring_eng.paloc
ancientpeople_9000_globalgametrack_00012,ancientpeople,Ancientpeople,Scene Dialogue,Ancientpeople,Ancientpeople,9000,Ancientpeople 9000,ancientpeople_9000,9000,ancientpeople_9000_globalgametrack,9000_globalgametrack,9000,9000,,12,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,"Persistent little rat, aren't you?","Persistent little rat, aren't you?",gamedata/localizationstring_eng.paloc
ancientpeople_9000_narration_00000,ancientpeople,Ancientpeople,Scene Dialogue,Ancientpeople,Ancientpeople,9000,Ancientpeople 9000,ancientpeople_9000,9000,ancientpeople_9000_narration,9000_narration,9000,9000,,0,narration,,narration,Narration,Narration,Narration,,role,,Let the world witness how feeble you truly are!,Let the world witness how feeble you truly are!,gamedata/localizationstring_eng.paloc
