key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
balthazar_bossencounter_ambush_boss_00_00033,balthazar,Balthazar,Scene Dialogue,Balthazar,Balthazar,,Balthazar,balthazar_bossencounter_ambush,bossencounter_ambush,balthazar_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,33,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Impossible...,Impossible...,gamedata/localizationstring_eng.paloc
balthazar_bossencounter_ambush_boss_00_00034,balthazar,Balthazar,Scene Dialogue,Balthazar,Balthazar,,Balthazar,balthazar_bossencounter_ambush,bossencounter_ambush,balthazar_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,34,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,You'll never outrun an airborne hunter.,You'll never outrun an airborne hunter.,gamedata/localizationstring_eng.paloc
balthazar_bossencounter_ambush_boss_00_00035,balthazar,Balthazar,Scene Dialogue,Balthazar,Balthazar,,Balthazar,balthazar_bossencounter_ambush,bossencounter_ambush,balthazar_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,35,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,I'll toss you to the wyverns.,I'll toss you to the wyverns.,gamedata/localizationstring_eng.paloc
balthazar_bossencounter_ambush_boss_00_00036,balthazar,Balthazar,Scene Dialogue,Balthazar,Balthazar,,Balthazar,balthazar_bossencounter_ambush,bossencounter_ambush,balthazar_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,36,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Looking to get a hole blown in your gut?,Looking to get a hole blown in your gut?,gamedata/localizationstring_eng.paloc
balthazar_bossencounter_ambush_boss_00_00037,balthazar,Balthazar,Scene Dialogue,Balthazar,Balthazar,,Balthazar,balthazar_bossencounter_ambush,bossencounter_ambush,balthazar_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,37,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,It's just one fool after another.,It's just one fool after another.,gamedata/localizationstring_eng.paloc
balthazar_bossencounter_ambush_boss_00_00038,balthazar,Balthazar,Scene Dialogue,Balthazar,Balthazar,,Balthazar,balthazar_bossencounter_ambush,bossencounter_ambush,balthazar_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,38,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,We rule the skies!,We rule the skies!,gamedata/localizationstring_eng.paloc
balthazar_bossencounter_ambush_boss_00_00039,balthazar,Balthazar,Scene Dialogue,Balthazar,Balthazar,,Balthazar,balthazar_bossencounter_ambush,bossencounter_ambush,balthazar_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,39,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Tell me... what are you after?,Tell me... what are you after?,gamedata/localizationstring_eng.paloc
balthazar_bossencounter_ambush_boss_00_00040,balthazar,Balthazar,Scene Dialogue,Balthazar,Balthazar,,Balthazar,balthazar_bossencounter_ambush,bossencounter_ambush,balthazar_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,40,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,So you came here to die.,So you came here to die.,gamedata/localizationstring_eng.paloc
balthazar_bossencounter_stand_boss_00_00021,balthazar,Balthazar,Scene Dialogue,Balthazar,Balthazar,,Balthazar,balthazar_bossencounter_stand,bossencounter_stand,balthazar_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,21,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Another intruder.,Another intruder.,gamedata/localizationstring_eng.paloc
balthazar_bossencounter_stand_boss_00_00022,balthazar,Balthazar,Scene Dialogue,Balthazar,Balthazar,,Balthazar,balthazar_bossencounter_stand,bossencounter_stand,balthazar_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,22,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Impossible...,Impossible...,gamedata/localizationstring_eng.paloc
balthazar_bossencounter_stand_boss_00_00023,balthazar,Balthazar,Scene Dialogue,Balthazar,Balthazar,,Balthazar,balthazar_bossencounter_stand,bossencounter_stand,balthazar_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,23,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,You'll never outrun an airborne hunter.,You'll never outrun an airborne hunter.,gamedata/localizationstring_eng.paloc
balthazar_bossencounter_stand_boss_00_00024,balthazar,Balthazar,Scene Dialogue,Balthazar,Balthazar,,Balthazar,balthazar_bossencounter_stand,bossencounter_stand,balthazar_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,24,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,You've got skill... but that won't keep you alive.,You've got skill... but that won't keep you alive.,gamedata/localizationstring_eng.paloc
balthazar_bossencounter_stand_boss_00_00025,balthazar,Balthazar,Scene Dialogue,Balthazar,Balthazar,,Balthazar,balthazar_bossencounter_stand,bossencounter_stand,balthazar_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,25,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,You think the wyvern's all we've got?,You think the wyvern's all we've got?,gamedata/localizationstring_eng.paloc
balthazar_bossencounter_stand_boss_00_00026,balthazar,Balthazar,Scene Dialogue,Balthazar,Balthazar,,Balthazar,balthazar_bossencounter_stand,bossencounter_stand,balthazar_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,26,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Ever felt cannon fire punch through steel?,Ever felt cannon fire punch through steel?,gamedata/localizationstring_eng.paloc
balthazar_bossencounter_stand_boss_00_00027,balthazar,Balthazar,Scene Dialogue,Balthazar,Balthazar,,Balthazar,balthazar_bossencounter_stand,bossencounter_stand,balthazar_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,27,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,I'll blast you clear out of the skies!,I'll blast you clear out of the skies!,gamedata/localizationstring_eng.paloc
