key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
basecamp_greywolf_beforescout_group_0010_npc_00_00053,basecamp,Basecamp,Scene Dialogue,Basecamp,Basecamp,0010,Basecamp 0010,basecamp_greywolf_beforescout_group_0010,greywolf_beforescout_group_0010,basecamp_greywolf_beforescout_group_0010_npc_00,greywolf_beforescout_group_0010_npc_00,greywolf_beforescout_group_0010,greywolf,beforescout_group_0010,53,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
basecamp_greywolf_beforescout_group_0010_npc_01_00033,basecamp,Basecamp,Scene Dialogue,Basecamp,Basecamp,0010,Basecamp 0010,basecamp_greywolf_beforescout_group_0010,greywolf_beforescout_group_0010,basecamp_greywolf_beforescout_group_0010_npc_01,greywolf_beforescout_group_0010_npc_01,greywolf_beforescout_group_0010,greywolf,beforescout_group_0010,33,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,"A Greymane, living off day wages... who'd have thought.","A Greymane, living off day wages... who'd have thought.",gamedata/localizationstring_eng.paloc
basecamp_greywolf_beforescout_group_0010_npc_01_00034,basecamp,Basecamp,Scene Dialogue,Basecamp,Basecamp,0010,Basecamp 0010,basecamp_greywolf_beforescout_group_0010,greywolf_beforescout_group_0010,basecamp_greywolf_beforescout_group_0010_npc_01,greywolf_beforescout_group_0010_npc_01,greywolf_beforescout_group_0010,greywolf,beforescout_group_0010,34,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,Kliff!,Kliff!,gamedata/localizationstring_eng.paloc
basecamp_greywolf_beforescout_group_0010_npc_01_00035,basecamp,Basecamp,Scene Dialogue,Basecamp,Basecamp,0010,Basecamp 0010,basecamp_greywolf_beforescout_group_0010,greywolf_beforescout_group_0010,basecamp_greywolf_beforescout_group_0010_npc_01,greywolf_beforescout_group_0010_npc_01,greywolf_beforescout_group_0010,greywolf,beforescout_group_0010,35,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,I knew they couldn't kill you!,I knew they couldn't kill you!,gamedata/localizationstring_eng.paloc
basecamp_greywolf_beforescout_group_0010_npc_01_00036,basecamp,Basecamp,Scene Dialogue,Basecamp,Basecamp,0010,Basecamp 0010,basecamp_greywolf_beforescout_group_0010,greywolf_beforescout_group_0010,basecamp_greywolf_beforescout_group_0010_npc_01,greywolf_beforescout_group_0010_npc_01,greywolf_beforescout_group_0010,greywolf,beforescout_group_0010,36,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,We've been chasing rumors of you since that day.,We've been chasing rumors of you since that day.,gamedata/localizationstring_eng.paloc
basecamp_greywolf_beforescout_group_0010_npc_01_00037,basecamp,Basecamp,Scene Dialogue,Basecamp,Basecamp,0010,Basecamp 0010,basecamp_greywolf_beforescout_group_0010,greywolf_beforescout_group_0010,basecamp_greywolf_beforescout_group_0010_npc_01,greywolf_beforescout_group_0010_npc_01,greywolf_beforescout_group_0010,greywolf,beforescout_group_0010,37,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,Truth be told I... I nearly gave up more than once.,Truth be told I... I nearly gave up more than once.,gamedata/localizationstring_eng.paloc
basecamp_greywolf_beforescout_group_0010_npc_01_00038,basecamp,Basecamp,Scene Dialogue,Basecamp,Basecamp,0010,Basecamp 0010,basecamp_greywolf_beforescout_group_0010,greywolf_beforescout_group_0010,basecamp_greywolf_beforescout_group_0010_npc_01,greywolf_beforescout_group_0010_npc_01,greywolf_beforescout_group_0010,greywolf,beforescout_group_0010,38,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,"Aye, now it's a proper Greymane revival.","Aye, now it's a proper Greymane revival.",gamedata/localizationstring_eng.paloc
basecamp_greywolf_beforescout_group_0010_npc_01_00039,basecamp,Basecamp,Scene Dialogue,Basecamp,Basecamp,0010,Basecamp 0010,basecamp_greywolf_beforescout_group_0010,greywolf_beforescout_group_0010,basecamp_greywolf_beforescout_group_0010_npc_01,greywolf_beforescout_group_0010_npc_01,greywolf_beforescout_group_0010,greywolf,beforescout_group_0010,39,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,"Tell you what, we'll head over.","Tell you what, we'll head over.",gamedata/localizationstring_eng.paloc
basecamp_greywolf_beforescout_group_0010_npc_01_00043,basecamp,Basecamp,Scene Dialogue,Basecamp,Basecamp,0010,Basecamp 0010,basecamp_greywolf_beforescout_group_0010,greywolf_beforescout_group_0010,basecamp_greywolf_beforescout_group_0010_npc_01,greywolf_beforescout_group_0010_npc_01,greywolf_beforescout_group_0010,greywolf,beforescout_group_0010,43,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,Even after those Black Bear bastards swore up and down you were dead!,Even after those Black Bear bastards swore up and down you were dead!,gamedata/localizationstring_eng.paloc
basecamp_greywolf_beforescout_group_0010_npc_01_00044,basecamp,Basecamp,Scene Dialogue,Basecamp,Basecamp,0010,Basecamp 0010,basecamp_greywolf_beforescout_group_0010,greywolf_beforescout_group_0010,basecamp_greywolf_beforescout_group_0010_npc_01,greywolf_beforescout_group_0010_npc_01,greywolf_beforescout_group_0010,greywolf,beforescout_group_0010,44,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,"I didn't let him though, heh!","I didn't let him though, heh!",gamedata/localizationstring_eng.paloc
