key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
beforewar_00_npc_00_00007,beforewar,Beforewar,Scene Dialogue,Beforewar,Beforewar,00,Beforewar 00,beforewar_00,00,beforewar_00_npc_00,00_npc_00,00,00,,7,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Finally, you've arrived!","Finally, you've arrived!",gamedata/localizationstring_eng.paloc
beforewar_00_npc_00_00008,beforewar,Beforewar,Scene Dialogue,Beforewar,Beforewar,00,Beforewar 00,beforewar_00,00,beforewar_00_npc_00,00_npc_00,00,00,,8,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Myurdin is holed up in the fortress atop the mountain.,Myurdin is holed up in the fortress atop the mountain.,gamedata/localizationstring_eng.paloc
beforewar_00_npc_00_00009,beforewar,Beforewar,Scene Dialogue,Beforewar,Beforewar,00,Beforewar 00,beforewar_00,00,beforewar_00_npc_00,00_npc_00,00,00,,9,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,At last!,At last!,gamedata/localizationstring_eng.paloc
beforewar_00_npc_00_00010,beforewar,Beforewar,Scene Dialogue,Beforewar,Beforewar,00,Beforewar 00,beforewar_00,00,beforewar_00_npc_00,00_npc_00,00,00,,10,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,The day has finally come.,The day has finally come.,gamedata/localizationstring_eng.paloc
beforewar_00_npc_00_00011,beforewar,Beforewar,Scene Dialogue,Beforewar,Beforewar,00,Beforewar 00,beforewar_00,00,beforewar_00_npc_00,00_npc_00,00,00,,11,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,For us to unleash our long overdue fury.,For us to unleash our long overdue fury.,gamedata/localizationstring_eng.paloc
beforewar_00_npc_00_00012,beforewar,Beforewar,Scene Dialogue,Beforewar,Beforewar,00,Beforewar 00,beforewar_00,00,beforewar_00_npc_00,00_npc_00,00,00,,12,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,What say we strike them once night falls?,What say we strike them once night falls?,gamedata/localizationstring_eng.paloc
beforewar_00_npc_00_00013,beforewar,Beforewar,Scene Dialogue,Beforewar,Beforewar,00,Beforewar 00,beforewar_00,00,beforewar_00_npc_00,00_npc_00,00,00,,13,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Torches and battle cries will make up for our meager numbers.,Torches and battle cries will make up for our meager numbers.,gamedata/localizationstring_eng.paloc
beforewar_00_npc_00_00014,beforewar,Beforewar,Scene Dialogue,Beforewar,Beforewar,00,Beforewar 00,beforewar_00,00,beforewar_00_npc_00,00_npc_00,00,00,,14,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Once their lines break, chaos will ensue.","Once their lines break, chaos will ensue.",gamedata/localizationstring_eng.paloc
beforewar_00_npc_00_00015,beforewar,Beforewar,Scene Dialogue,Beforewar,Beforewar,00,Beforewar 00,beforewar_00,00,beforewar_00_npc_00,00_npc_00,00,00,,15,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,That's when you Greymanes go for Myurdin.,That's when you Greymanes go for Myurdin.,gamedata/localizationstring_eng.paloc
beforewar_00_npc_00_00016,beforewar,Beforewar,Scene Dialogue,Beforewar,Beforewar,00,Beforewar 00,beforewar_00,00,beforewar_00_npc_00,00_npc_00,00,00,,16,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Leave the rest to us.,Leave the rest to us.,gamedata/localizationstring_eng.paloc
