key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
black_wall_0600_13_npc_00000,black,Black,Scene Dialogue,Black,Black,0600,Black 0600,black_wall_0600_13,wall_0600_13,black_wall_0600_13_npc,wall_0600_13_npc,wall_0600_13,wall,0600_13,0,npc,,npc,NPC,NPC,NPC,,role,,Blimey.. Look at that mountain over there!,Blimey.. Look at that mountain over there!,gamedata/localizationstring_eng.paloc
black_wall_0600_13_npc_00001,black,Black,Scene Dialogue,Black,Black,0600,Black 0600,black_wall_0600_13,wall_0600_13,black_wall_0600_13_npc,wall_0600_13_npc,wall_0600_13,wall,0600_13,1,npc,,npc,NPC,NPC,NPC,,role,,"I'm not seeing things, am I?","I'm not seeing things, am I?",gamedata/localizationstring_eng.paloc
black_wall_0600_13_npc_00002,black,Black,Scene Dialogue,Black,Black,0600,Black 0600,black_wall_0600_13,wall_0600_13,black_wall_0600_13_npc,wall_0600_13_npc,wall_0600_13,wall,0600_13,2,npc,,npc,NPC,NPC,NPC,,role,,I've never seen lightning so terrifying in my whole life.,I've never seen lightning so terrifying in my whole life.,gamedata/localizationstring_eng.paloc
black_wall_0600_13_npc_00003,black,Black,Scene Dialogue,Black,Black,0600,Black 0600,black_wall_0600_13,wall_0600_13,black_wall_0600_13_npc,wall_0600_13_npc,wall_0600_13,wall,0600_13,3,npc,,npc,NPC,NPC,NPC,,role,,"No matter how rare, herbs aren't worth dying for.","No matter how rare, herbs aren't worth dying for.",gamedata/localizationstring_eng.paloc
black_wall_0600_13_npc_00004,black,Black,Scene Dialogue,Black,Black,0600,Black 0600,black_wall_0600_13,wall_0600_13,black_wall_0600_13_npc,wall_0600_13_npc,wall_0600_13,wall,0600_13,4,npc,,npc,NPC,NPC,NPC,,role,,One mustn't overlook the ancestors' wrath.,One mustn't overlook the ancestors' wrath.,gamedata/localizationstring_eng.paloc
black_wall_0600_13_npc_00005,black,Black,Scene Dialogue,Black,Black,0600,Black 0600,black_wall_0600_13,wall_0600_13,black_wall_0600_13_npc,wall_0600_13_npc,wall_0600_13,wall,0600_13,5,npc,,npc,NPC,NPC,NPC,,role,,Have you not heard the tale about that mountain?,Have you not heard the tale about that mountain?,gamedata/localizationstring_eng.paloc
black_wall_0600_13_npc_00006,black,Black,Scene Dialogue,Black,Black,0600,Black 0600,black_wall_0600_13,wall_0600_13,black_wall_0600_13_npc,wall_0600_13_npc,wall_0600_13,wall,0600_13,6,npc,,npc,NPC,NPC,NPC,,role,,We ought to leave before we get ourselves hurt.,We ought to leave before we get ourselves hurt.,gamedata/localizationstring_eng.paloc
black_wall_0600_13_npc_00007,black,Black,Scene Dialogue,Black,Black,0600,Black 0600,black_wall_0600_13,wall_0600_13,black_wall_0600_13_npc,wall_0600_13_npc,wall_0600_13,wall,0600_13,7,npc,,npc,NPC,NPC,NPC,,role,,Don't tell me you're afraid?,Don't tell me you're afraid?,gamedata/localizationstring_eng.paloc
black_wall_0600_13_npc_00008,black,Black,Scene Dialogue,Black,Black,0600,Black 0600,black_wall_0600_13,wall_0600_13,black_wall_0600_13_npc,wall_0600_13_npc,wall_0600_13,wall,0600_13,8,npc,,npc,NPC,NPC,NPC,,role,,This is the perfect chance to get our hands on the rarest of herbs!,This is the perfect chance to get our hands on the rarest of herbs!,gamedata/localizationstring_eng.paloc
black_wall_0600_13_npc_00009,black,Black,Scene Dialogue,Black,Black,0600,Black 0600,black_wall_0600_13,wall_0600_13,black_wall_0600_13_npc,wall_0600_13_npc,wall_0600_13,wall,0600_13,9,npc,,npc,NPC,NPC,NPC,,role,,"Alright then, fine!","Alright then, fine!",gamedata/localizationstring_eng.paloc
