key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
blissredknight_9000_boss_00_00002,blissredknight,Blissredknight,Scene Dialogue,Blissredknight,Blissredknight,9000,Blissredknight 9000,blissredknight_9000,9000,blissredknight_9000_boss_00,9000_boss_00,9000,9000,,2,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Thought I heard a rat scurrying about.,Thought I heard a rat scurrying about.,gamedata/localizationstring_eng.paloc
blissredknight_9000_boss_00_00003,blissredknight,Blissredknight,Scene Dialogue,Blissredknight,Blissredknight,9000,Blissredknight 9000,blissredknight_9000,9000,blissredknight_9000_boss_00,9000_boss_00,9000,9000,,3,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,"So, you've come here to meet your end?","So, you've come here to meet your end?",gamedata/localizationstring_eng.paloc
blissredknight_9000_boss_00_00005,blissredknight,Blissredknight,Scene Dialogue,Blissredknight,Blissredknight,9000,Blissredknight 9000,blissredknight_9000,9000,blissredknight_9000_boss_00,9000_boss_00,9000,9000,,5,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,I'll be happy to oblige!,I'll be happy to oblige!,gamedata/localizationstring_eng.paloc
blissredknight_9000_boss_00_00007,blissredknight,Blissredknight,Scene Dialogue,Blissredknight,Blissredknight,9000,Blissredknight 9000,blissredknight_9000,9000,blissredknight_9000_boss_00,9000_boss_00,9000,9000,,7,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,This isn't over yet!,This isn't over yet!,gamedata/localizationstring_eng.paloc
blissredknight_9000_boss_00_00008,blissredknight,Blissredknight,Scene Dialogue,Blissredknight,Blissredknight,9000,Blissredknight 9000,blissredknight_9000,9000,blissredknight_9000_boss_00,9000_boss_00,9000,9000,,8,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Bastier!,Bastier!,gamedata/localizationstring_eng.paloc
blissredknight_9000_boss_00_00009,blissredknight,Blissredknight,Scene Dialogue,Blissredknight,Blissredknight,9000,Blissredknight 9000,blissredknight_9000,9000,blissredknight_9000_boss_00,9000_boss_00,9000,9000,,9,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,,,gamedata/localizationstring_eng.paloc
blissredknight_9000_boss_00_00017,blissredknight,Blissredknight,Scene Dialogue,Blissredknight,Blissredknight,9000,Blissredknight 9000,blissredknight_9000,9000,blissredknight_9000_boss_00,9000_boss_00,9000,9000,,17,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Now bear witness to its power!,Now bear witness to its power!,gamedata/localizationstring_eng.paloc
blissredknight_9000_boss_00_00018,blissredknight,Blissredknight,Scene Dialogue,Blissredknight,Blissredknight,9000,Blissredknight 9000,blissredknight_9000,9000,blissredknight_9000_boss_00,9000_boss_00,9000,9000,,18,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,And none are stronger than Grand General Bastier!,And none are stronger than Grand General Bastier!,gamedata/localizationstring_eng.paloc
blissredknight_9000_boss_00_00019,blissredknight,Blissredknight,Scene Dialogue,Blissredknight,Blissredknight,9000,Blissredknight 9000,blissredknight_9000,9000,blissredknight_9000_boss_00,9000_boss_00,9000,9000,,19,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,"By his order, I was granted the Black Witch's blessing.","By his order, I was granted the Black Witch's blessing.",gamedata/localizationstring_eng.paloc
blissredknight_9000_boss_00_00020,blissredknight,Blissredknight,Scene Dialogue,Blissredknight,Blissredknight,9000,Blissredknight 9000,blissredknight_9000,9000,blissredknight_9000_boss_00,9000_boss_00,9000,9000,,20,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,A power granted solely to fulfil his will!,A power granted solely to fulfil his will!,gamedata/localizationstring_eng.paloc
blissredknight_9000_enemy_00_00010,blissredknight,Blissredknight,Scene Dialogue,Blissredknight,Blissredknight,9000,Blissredknight 9000,blissredknight_9000,9000,blissredknight_9000_enemy_00,9000_enemy_00,9000,9000,,10,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,,,gamedata/localizationstring_eng.paloc
blissredknight_9000_globalgametrack_00011,blissredknight,Blissredknight,Scene Dialogue,Blissredknight,Blissredknight,9000,Blissredknight 9000,blissredknight_9000,9000,blissredknight_9000_globalgametrack,9000_globalgametrack,9000,9000,,11,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,There is no future for weaklings like Wells!,There is no future for weaklings like Wells!,gamedata/localizationstring_eng.paloc
blissredknight_9000_globalgametrack_00012,blissredknight,Blissredknight,Scene Dialogue,Blissredknight,Blissredknight,9000,Blissredknight 9000,blissredknight_9000,9000,blissredknight_9000_globalgametrack,9000_globalgametrack,9000,9000,,12,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,This is a righteous revolution!,This is a righteous revolution!,gamedata/localizationstring_eng.paloc
blissredknight_9000_globalgametrack_00013,blissredknight,Blissredknight,Scene Dialogue,Blissredknight,Blissredknight,9000,Blissredknight 9000,blissredknight_9000,9000,blissredknight_9000_globalgametrack,9000_globalgametrack,9000,9000,,13,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,Order is forged only by the strong!,Order is forged only by the strong!,gamedata/localizationstring_eng.paloc
