key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
blissredsentinel_9000_boss_00_00002,blissredsentinel,Blissredsentinel,Scene Dialogue,Blissredsentinel,Blissredsentinel,9000,Blissredsentinel 9000,blissredsentinel_9000,9000,blissredsentinel_9000_boss_00,9000_boss_00,9000,9000,,2,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Welcome...,Welcome...,gamedata/localizationstring_eng.paloc
blissredsentinel_9000_boss_00_00003,blissredsentinel,Blissredsentinel,Scene Dialogue,Blissredsentinel,Blissredsentinel,9000,Blissredsentinel 9000,blissredsentinel_9000,9000,blissredsentinel_9000_boss_00,9000_boss_00,9000,9000,,3,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,to the honored guests of today's hunt.,to the honored guests of today's hunt.,gamedata/localizationstring_eng.paloc
blissredsentinel_9000_boss_00_00004,blissredsentinel,Blissredsentinel,Scene Dialogue,Blissredsentinel,Blissredsentinel,9000,Blissredsentinel 9000,blissredsentinel_9000,9000,blissredsentinel_9000_boss_00,9000_boss_00,9000,9000,,4,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Kakh...,Kakh...,gamedata/localizationstring_eng.paloc
blissredsentinel_9000_boss_00_00005,blissredsentinel,Blissredsentinel,Scene Dialogue,Blissredsentinel,Blissredsentinel,9000,Blissredsentinel 9000,blissredsentinel_9000,9000,blissredsentinel_9000_boss_00,9000_boss_00,9000,9000,,5,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,I see... a most special guest has arrived.,I see... a most special guest has arrived.,gamedata/localizationstring_eng.paloc
blissredsentinel_9000_boss_00_00006,blissredsentinel,Blissredsentinel,Scene Dialogue,Blissredsentinel,Blissredsentinel,9000,Blissredsentinel 9000,blissredsentinel_9000,9000,blissredsentinel_9000_boss_00,9000_boss_00,9000,9000,,6,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,"A noble soul, driven by your mission.","A noble soul, driven by your mission.",gamedata/localizationstring_eng.paloc
blissredsentinel_9000_boss_00_00007,blissredsentinel,Blissredsentinel,Scene Dialogue,Blissredsentinel,Blissredsentinel,9000,Blissredsentinel 9000,blissredsentinel_9000,9000,blissredsentinel_9000_boss_00,9000_boss_00,9000,9000,,7,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,"Yet here, we stand as equals.","Yet here, we stand as equals.",gamedata/localizationstring_eng.paloc
blissredsentinel_9000_boss_00_00008,blissredsentinel,Blissredsentinel,Scene Dialogue,Blissredsentinel,Blissredsentinel,9000,Blissredsentinel 9000,blissredsentinel_9000,9000,blissredsentinel_9000_boss_00,9000_boss_00,9000,9000,,8,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Clawing for survival.,Clawing for survival.,gamedata/localizationstring_eng.paloc
blissredsentinel_9000_boss_00_00009,blissredsentinel,Blissredsentinel,Scene Dialogue,Blissredsentinel,Blissredsentinel,9000,Blissredsentinel 9000,blissredsentinel_9000,9000,blissredsentinel_9000_boss_00,9000_boss_00,9000,9000,,9,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,And dying like a beast.,And dying like a beast.,gamedata/localizationstring_eng.paloc
blissredsentinel_9000_boss_00_00010,blissredsentinel,Blissredsentinel,Scene Dialogue,Blissredsentinel,Blissredsentinel,9000,Blissredsentinel 9000,blissredsentinel_9000,9000,blissredsentinel_9000_boss_00,9000_boss_00,9000,9000,,10,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,I draw my bow as righteousness demands.,I draw my bow as righteousness demands.,gamedata/localizationstring_eng.paloc
blissredsentinel_9000_boss_00_00011,blissredsentinel,Blissredsentinel,Scene Dialogue,Blissredsentinel,Blissredsentinel,9000,Blissredsentinel 9000,blissredsentinel_9000,9000,blissredsentinel_9000_boss_00,9000_boss_00,9000,9000,,11,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,You know full well why you must die.,You know full well why you must die.,gamedata/localizationstring_eng.paloc
