key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
blood_golem_9000_new_boss_00_00003,blood,Blood,Scene Dialogue,Blood,Blood,9000,Blood 9000,blood_golem_9000_new,golem_9000_new,blood_golem_9000_new_boss_00,golem_9000_new_boss_00,golem_9000_new,golem,9000_new,3,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Die...,Die...,gamedata/localizationstring_eng.paloc
blood_golem_9000_new_boss_00_00004,blood,Blood,Scene Dialogue,Blood,Blood,9000,Blood 9000,blood_golem_9000_new,golem_9000_new,blood_golem_9000_new_boss_00,golem_9000_new_boss_00,golem_9000_new,golem,9000_new,4,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Despair...,Despair...,gamedata/localizationstring_eng.paloc
blood_golem_9000_new_boss_00_00005,blood,Blood,Scene Dialogue,Blood,Blood,9000,Blood 9000,blood_golem_9000_new,golem_9000_new,blood_golem_9000_new_boss_00,golem_9000_new_boss_00,golem_9000_new,golem,9000_new,5,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,I will devour all...,I will devour all...,gamedata/localizationstring_eng.paloc
blood_golem_9000_new_boss_00_00006,blood,Blood,Scene Dialogue,Blood,Blood,9000,Blood 9000,blood_golem_9000_new,golem_9000_new,blood_golem_9000_new_boss_00,golem_9000_new_boss_00,golem_9000_new,golem,9000_new,6,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Bathe it in blood...,Bathe it in blood...,gamedata/localizationstring_eng.paloc
blood_golem_9000_new_boss_00_00007,blood,Blood,Scene Dialogue,Blood,Blood,9000,Blood 9000,blood_golem_9000_new,golem_9000_new,blood_golem_9000_new_boss_00,golem_9000_new_boss_00,golem_9000_new,golem,9000_new,7,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,I will devour all that you are...,I will devour all that you are...,gamedata/localizationstring_eng.paloc
blood_golem_9000_new_boss_00_00008,blood,Blood,Scene Dialogue,Blood,Blood,9000,Blood 9000,blood_golem_9000_new,golem_9000_new,blood_golem_9000_new_boss_00,golem_9000_new_boss_00,golem_9000_new,golem,9000_new,8,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Come to me...,Come to me...,gamedata/localizationstring_eng.paloc
blood_golem_9000_new_boss_00_00009,blood,Blood,Scene Dialogue,Blood,Blood,9000,Blood 9000,blood_golem_9000_new,golem_9000_new,blood_golem_9000_new_boss_00,golem_9000_new_boss_00,golem_9000_new,golem,9000_new,9,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,An equal death for you all...,An equal death for you all...,gamedata/localizationstring_eng.paloc
blood_golem_9000_new_boss_00_00010,blood,Blood,Scene Dialogue,Blood,Blood,9000,Blood 9000,blood_golem_9000_new,golem_9000_new,blood_golem_9000_new_boss_00,golem_9000_new_boss_00,golem_9000_new,golem,9000_new,10,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,All shall die the same...,All shall die the same...,gamedata/localizationstring_eng.paloc
blood_golem_9000_new_boss_00_00011,blood,Blood,Scene Dialogue,Blood,Blood,9000,Blood 9000,blood_golem_9000_new,golem_9000_new,blood_golem_9000_new_boss_00,golem_9000_new_boss_00,golem_9000_new,golem,9000_new,11,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Within a blood-red world...,Within a blood-red world...,gamedata/localizationstring_eng.paloc
blood_golem_9000_new_boss_00_00012,blood,Blood,Scene Dialogue,Blood,Blood,9000,Blood 9000,blood_golem_9000_new,golem_9000_new,blood_golem_9000_new_boss_00,golem_9000_new_boss_00,golem_9000_new,golem,9000_new,12,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,All will behold the same sight.,All will behold the same sight.,gamedata/localizationstring_eng.paloc
blood_golem_9000_new_boss_00_00013,blood,Blood,Scene Dialogue,Blood,Blood,9000,Blood 9000,blood_golem_9000_new,golem_9000_new,blood_golem_9000_new_boss_00,golem_9000_new_boss_00,golem_9000_new,golem,9000_new,13,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Come... now...,Come... now...,gamedata/localizationstring_eng.paloc
blood_golem_9000_new_boss_00_00014,blood,Blood,Scene Dialogue,Blood,Blood,9000,Blood 9000,blood_golem_9000_new,golem_9000_new,blood_golem_9000_new_boss_00,golem_9000_new_boss_00,golem_9000_new,golem,9000_new,14,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Into the world of crimson light...,Into the world of crimson light...,gamedata/localizationstring_eng.paloc
blood_golem_9000_new_boss_00_00015,blood,Blood,Scene Dialogue,Blood,Blood,9000,Blood 9000,blood_golem_9000_new,golem_9000_new,blood_golem_9000_new_boss_00,golem_9000_new_boss_00,golem_9000_new,golem,9000_new,15,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Let us all become one...,Let us all become one...,gamedata/localizationstring_eng.paloc
blood_golem_9000_new_boss_00_00016,blood,Blood,Scene Dialogue,Blood,Blood,9000,Blood 9000,blood_golem_9000_new,golem_9000_new,blood_golem_9000_new_boss_00,golem_9000_new_boss_00,golem_9000_new,golem,9000_new,16,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Where nothing separates us...,Where nothing separates us...,gamedata/localizationstring_eng.paloc
blood_golem_9000_new_boss_00_00017,blood,Blood,Scene Dialogue,Blood,Blood,9000,Blood 9000,blood_golem_9000_new,golem_9000_new,blood_golem_9000_new_boss_00,golem_9000_new_boss_00,golem_9000_new,golem,9000_new,17,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Let everything become one...,Let everything become one...,gamedata/localizationstring_eng.paloc
blood_golem_9000_new_boss_00_00018,blood,Blood,Scene Dialogue,Blood,Blood,9000,Blood 9000,blood_golem_9000_new,golem_9000_new,blood_golem_9000_new_boss_00,golem_9000_new_boss_00,golem_9000_new,golem,9000_new,18,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Do not flee...,Do not flee...,gamedata/localizationstring_eng.paloc
