key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
bloodcoronation_0150_globalgametrack_00074,bloodcoronation,Bloodcoronation,Scene Dialogue,Bloodcoronation,Bloodcoronation,0150,Bloodcoronation 0150,bloodcoronation_0150,0150,bloodcoronation_0150_globalgametrack,0150_globalgametrack,0150,0150,,74,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,It's time to finish this bear hunt.,It's time to finish this bear hunt.,gamedata/localizationstring_eng.paloc
bloodcoronation_0150_npc_00_00047,bloodcoronation,Bloodcoronation,Scene Dialogue,Bloodcoronation,Bloodcoronation,0150,Bloodcoronation 0150,bloodcoronation_0150,0150,bloodcoronation_0150_npc_00,0150_npc_00,0150,0150,,47,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,You holding up?,You holding up?,gamedata/localizationstring_eng.paloc
bloodcoronation_0150_npc_00_00048,bloodcoronation,Bloodcoronation,Scene Dialogue,Bloodcoronation,Bloodcoronation,0150,Bloodcoronation 0150,bloodcoronation_0150,0150,bloodcoronation_0150_npc_00,0150_npc_00,0150,0150,,48,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Come. Walk with me.,Come. Walk with me.,gamedata/localizationstring_eng.paloc
bloodcoronation_0150_npc_00_00049,bloodcoronation,Bloodcoronation,Scene Dialogue,Bloodcoronation,Bloodcoronation,0150,Bloodcoronation 0150,bloodcoronation_0150,0150,bloodcoronation_0150_npc_00,0150_npc_00,0150,0150,,49,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,It seems Myurdin's fled to Demeniss.,It seems Myurdin's fled to Demeniss.,gamedata/localizationstring_eng.paloc
bloodcoronation_0150_npc_00_00050,bloodcoronation,Bloodcoronation,Scene Dialogue,Bloodcoronation,Bloodcoronation,0150,Bloodcoronation 0150,bloodcoronation_0150,0150,bloodcoronation_0150_npc_00,0150_npc_00,0150,0150,,50,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,We found signs the Black Bears are moving that way as well.,We found signs the Black Bears are moving that way as well.,gamedata/localizationstring_eng.paloc
bloodcoronation_0150_npc_00_00051,bloodcoronation,Bloodcoronation,Scene Dialogue,Bloodcoronation,Bloodcoronation,0150,Bloodcoronation 0150,bloodcoronation_0150,0150,bloodcoronation_0150_npc_00,0150_npc_00,0150,0150,,51,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Naira and Andrew are looking into it, so we should know more soon.","Naira and Andrew are looking into it, so we should know more soon.",gamedata/localizationstring_eng.paloc
bloodcoronation_0150_npc_00_00052,bloodcoronation,Bloodcoronation,Scene Dialogue,Bloodcoronation,Bloodcoronation,0150,Bloodcoronation 0150,bloodcoronation_0150,0150,bloodcoronation_0150_npc_00,0150_npc_00,0150,0150,,52,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,I've got something to give you.,I've got something to give you.,gamedata/localizationstring_eng.paloc
bloodcoronation_0150_npc_00_00054,bloodcoronation,Bloodcoronation,Scene Dialogue,Bloodcoronation,Bloodcoronation,0150,Bloodcoronation 0150,bloodcoronation_0150,0150,bloodcoronation_0150_npc_00,0150_npc_00,0150,0150,,54,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"It took far too long, to reclaim our land.","It took far too long, to reclaim our land.",gamedata/localizationstring_eng.paloc
bloodcoronation_0150_npc_00_00055,bloodcoronation,Bloodcoronation,Scene Dialogue,Bloodcoronation,Bloodcoronation,0150,Bloodcoronation 0150,bloodcoronation_0150,0150,bloodcoronation_0150_npc_00,0150_npc_00,0150,0150,,55,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,I just wish Jian was alive to see it.,I just wish Jian was alive to see it.,gamedata/localizationstring_eng.paloc
bloodcoronation_0150_npc_00_00056,bloodcoronation,Bloodcoronation,Scene Dialogue,Bloodcoronation,Bloodcoronation,0150,Bloodcoronation 0150,bloodcoronation_0150,0150,bloodcoronation_0150_npc_00,0150_npc_00,0150,0150,,56,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"I don't know if Duane's told you this,","I don't know if Duane's told you this,",gamedata/localizationstring_eng.paloc
