key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
calphadecastle_darkking_0100_npc_00_00001,calphadecastle,Calphadecastle,Scene Dialogue,Calphadecastle,Calphadecastle,0100,Calphadecastle 0100,calphadecastle_darkking_0100,darkking_0100,calphadecastle_darkking_0100_npc_00,darkking_0100_npc_00,darkking_0100,darkking,0100,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Damn it...,Damn it...,gamedata/localizationstring_eng.paloc
calphadecastle_darkking_0100_npc_00_00002,calphadecastle,Calphadecastle,Scene Dialogue,Calphadecastle,Calphadecastle,0100,Calphadecastle 0100,calphadecastle_darkking_0100,darkking_0100,calphadecastle_darkking_0100_npc_00,darkking_0100_npc_00,darkking_0100,darkking,0100,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
calphadecastle_darkking_0100_npc_00_00003,calphadecastle,Calphadecastle,Scene Dialogue,Calphadecastle,Calphadecastle,0100,Calphadecastle 0100,calphadecastle_darkking_0100,darkking_0100,calphadecastle_darkking_0100_npc_00,darkking_0100_npc_00,darkking_0100,darkking,0100,3,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Greymane.,Greymane.,gamedata/localizationstring_eng.paloc
calphadecastle_darkking_0100_npc_00_00004,calphadecastle,Calphadecastle,Scene Dialogue,Calphadecastle,Calphadecastle,0100,Calphadecastle 0100,calphadecastle_darkking_0100,darkking_0100,calphadecastle_darkking_0100_npc_00,darkking_0100_npc_00,darkking_0100,darkking,0100,4,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Listen, it's dangerous to go any further up.","Listen, it's dangerous to go any further up.",gamedata/localizationstring_eng.paloc
calphadecastle_darkking_0100_npc_00_00005,calphadecastle,Calphadecastle,Scene Dialogue,Calphadecastle,Calphadecastle,0100,Calphadecastle 0100,calphadecastle_darkking_0100,darkking_0100,calphadecastle_darkking_0100_npc_00,darkking_0100_npc_00,darkking_0100,darkking,0100,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Leave this to us and hurry on down.,Leave this to us and hurry on down.,gamedata/localizationstring_eng.paloc
calphadecastle_darkking_0100_npc_00_00006,calphadecastle,Calphadecastle,Scene Dialogue,Calphadecastle,Calphadecastle,0100,Calphadecastle 0100,calphadecastle_darkking_0100,darkking_0100,calphadecastle_darkking_0100_npc_00,darkking_0100_npc_00,darkking_0100,darkking,0100,6,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,They say those who climb too far end up cursed.,They say those who climb too far end up cursed.,gamedata/localizationstring_eng.paloc
calphadecastle_darkking_0100_npc_01_00007,calphadecastle,Calphadecastle,Scene Dialogue,Calphadecastle,Calphadecastle,0100,Calphadecastle 0100,calphadecastle_darkking_0100,darkking_0100,calphadecastle_darkking_0100_npc_01,darkking_0100_npc_01,darkking_0100,darkking,0100,7,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,"No, you mustn't! Strange wraiths have taken hold of the mountain.","No, you mustn't! Strange wraiths have taken hold of the mountain.",gamedata/localizationstring_eng.paloc
calphadecastle_darkking_0100_npc_01_00008,calphadecastle,Calphadecastle,Scene Dialogue,Calphadecastle,Calphadecastle,0100,Calphadecastle 0100,calphadecastle_darkking_0100,darkking_0100,calphadecastle_darkking_0100_npc_01,darkking_0100_npc_01,darkking_0100,darkking,0100,8,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,Their numbers grow with each passing day.,Their numbers grow with each passing day.,gamedata/localizationstring_eng.paloc
calphadecastle_darkking_0100_npc_01_00009,calphadecastle,Calphadecastle,Scene Dialogue,Calphadecastle,Calphadecastle,0100,Calphadecastle 0100,calphadecastle_darkking_0100,darkking_0100,calphadecastle_darkking_0100_npc_01,darkking_0100_npc_01,darkking_0100,darkking,0100,9,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,They're angry... and violent!,They're angry... and violent!,gamedata/localizationstring_eng.paloc
calphadecastle_darkking_0100_player_00000,calphadecastle,Calphadecastle,Scene Dialogue,Calphadecastle,Calphadecastle,0100,Calphadecastle 0100,calphadecastle_darkking_0100,darkking_0100,calphadecastle_darkking_0100_player,darkking_0100_player,darkking_0100,darkking,0100,0,player,,player,Player,Player,Player,,role,,Your wound looks serious.,Your wound looks serious.,gamedata/localizationstring_eng.paloc
