key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
carriagefence_seizure_0100_globalgametrack_00134,carriagefence,Carriagefence,Scene Dialogue,Carriagefence,Carriagefence,0100,Carriagefence 0100,carriagefence_seizure_0100,seizure_0100,carriagefence_seizure_0100_globalgametrack,seizure_0100_globalgametrack,seizure_0100,seizure,0100,134,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,"Last time I went to fetch a wagon myself, I nearly got killed.","Last time I went to fetch a wagon myself, I nearly got killed.",gamedata/localizationstring_eng.paloc
carriagefence_seizure_0100_globalgametrack_00135,carriagefence,Carriagefence,Scene Dialogue,Carriagefence,Carriagefence,0100,Carriagefence 0100,carriagefence_seizure_0100,seizure_0100,carriagefence_seizure_0100_globalgametrack,seizure_0100_globalgametrack,seizure_0100,seizure,0100,135,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,"Working the field's not enough to keep everyone fed,","Working the field's not enough to keep everyone fed,",gamedata/localizationstring_eng.paloc
carriagefence_seizure_0100_globalgametrack_00136,carriagefence,Carriagefence,Scene Dialogue,Carriagefence,Carriagefence,0100,Carriagefence 0100,carriagefence_seizure_0100,seizure_0100,carriagefence_seizure_0100_globalgametrack,seizure_0100_globalgametrack,seizure_0100,seizure,0100,136,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,but at least I know a bit of carpentry so it's helping put food on the table.,but at least I know a bit of carpentry so it's helping put food on the table.,gamedata/localizationstring_eng.paloc
carriagefence_seizure_0100_npc_00_00119,carriagefence,Carriagefence,Scene Dialogue,Carriagefence,Carriagefence,0100,Carriagefence 0100,carriagefence_seizure_0100,seizure_0100,carriagefence_seizure_0100_npc_00,seizure_0100_npc_00,seizure_0100,seizure,0100,119,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Greymane, excellent timing...!","Greymane, excellent timing...!",gamedata/localizationstring_eng.paloc
carriagefence_seizure_0100_npc_00_00120,carriagefence,Carriagefence,Scene Dialogue,Carriagefence,Carriagefence,0100,Carriagefence 0100,carriagefence_seizure_0100,seizure_0100,carriagefence_seizure_0100_npc_00,seizure_0100_npc_00,seizure_0100,seizure,0100,120,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"There are a number of abandoned wagons about here,","There are a number of abandoned wagons about here,",gamedata/localizationstring_eng.paloc
carriagefence_seizure_0100_npc_00_00121,carriagefence,Carriagefence,Scene Dialogue,Carriagefence,Carriagefence,0100,Carriagefence 0100,carriagefence_seizure_0100,seizure_0100,carriagefence_seizure_0100_npc_00,seizure_0100_npc_00,seizure_0100,seizure,0100,121,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,and I'd like to salvage any we can before those bloody bandits swoop in and claim them!,and I'd like to salvage any we can before those bloody bandits swoop in and claim them!,gamedata/localizationstring_eng.paloc
carriagefence_seizure_0100_npc_00_00122,carriagefence,Carriagefence,Scene Dialogue,Carriagefence,Carriagefence,0100,Carriagefence 0100,carriagefence_seizure_0100,seizure_0100,carriagefence_seizure_0100_npc_00,seizure_0100_npc_00,seizure_0100,seizure,0100,122,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"I'd go myself, but the bandits are crawling all over, thinking they own the place.","I'd go myself, but the bandits are crawling all over, thinking they own the place.",gamedata/localizationstring_eng.paloc
carriagefence_seizure_0100_npc_00_00123,carriagefence,Carriagefence,Scene Dialogue,Carriagefence,Carriagefence,0100,Carriagefence 0100,carriagefence_seizure_0100,seizure_0100,carriagefence_seizure_0100_npc_00,seizure_0100_npc_00,seizure_0100,seizure,0100,123,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,My thanks! I promise the reward will be worth your while.,My thanks! I promise the reward will be worth your while.,gamedata/localizationstring_eng.paloc
carriagefence_seizure_0100_npc_00_00124,carriagefence,Carriagefence,Scene Dialogue,Carriagefence,Carriagefence,0100,Carriagefence 0100,carriagefence_seizure_0100,seizure_0100,carriagefence_seizure_0100_npc_00,seizure_0100_npc_00,seizure_0100,seizure,0100,124,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,My son here will guide you to the wagons.,My son here will guide you to the wagons.,gamedata/localizationstring_eng.paloc
carriagefence_seizure_0100_npc_01_00040,carriagefence,Carriagefence,Scene Dialogue,Carriagefence,Carriagefence,0100,Carriagefence 0100,carriagefence_seizure_0100,seizure_0100,carriagefence_seizure_0100_npc_01,seizure_0100_npc_01,seizure_0100,seizure,0100,40,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,It's this way.,It's this way.,gamedata/localizationstring_eng.paloc
carriagefence_seizure_0100_npc_01_00041,carriagefence,Carriagefence,Scene Dialogue,Carriagefence,Carriagefence,0100,Carriagefence 0100,carriagefence_seizure_0100,seizure_0100,carriagefence_seizure_0100_npc_01,seizure_0100_npc_01,seizure_0100,seizure,0100,41,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,"Greymane, come this way!","Greymane, come this way!",gamedata/localizationstring_eng.paloc
carriagefence_seizure_0100_npc_01_00102,carriagefence,Carriagefence,Scene Dialogue,Carriagefence,Carriagefence,0100,Carriagefence 0100,carriagefence_seizure_0100,seizure_0100,carriagefence_seizure_0100_npc_01,seizure_0100_npc_01,seizure_0100,seizure,0100,102,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,Lots of folk have been ditching their wagons lately.,Lots of folk have been ditching their wagons lately.,gamedata/localizationstring_eng.paloc
carriagefence_seizure_0100_npc_01_00103,carriagefence,Carriagefence,Scene Dialogue,Carriagefence,Carriagefence,0100,Carriagefence 0100,carriagefence_seizure_0100,seizure_0100,carriagefence_seizure_0100_npc_01,seizure_0100_npc_01,seizure_0100,seizure,0100,103,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,While fleeing from the bandits—they're everywhere!,While fleeing from the bandits—they're everywhere!,gamedata/localizationstring_eng.paloc
carriagefence_seizure_0100_npc_01_00112,carriagefence,Carriagefence,Scene Dialogue,Carriagefence,Carriagefence,0100,Carriagefence 0100,carriagefence_seizure_0100,seizure_0100,carriagefence_seizure_0100_npc_01,seizure_0100_npc_01,seizure_0100,seizure,0100,112,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,You should see a wagon any moment now.,You should see a wagon any moment now.,gamedata/localizationstring_eng.paloc
carriagefence_seizure_0100_npc_01_00115,carriagefence,Carriagefence,Scene Dialogue,Carriagefence,Carriagefence,0100,Carriagefence 0100,carriagefence_seizure_0100,seizure_0100,carriagefence_seizure_0100_npc_01,seizure_0100_npc_01,seizure_0100,seizure,0100,115,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,"But with you here, I'm not worried about a thing.","But with you here, I'm not worried about a thing.",gamedata/localizationstring_eng.paloc
carriagefence_seizure_0100_npc_01_00118,carriagefence,Carriagefence,Scene Dialogue,Carriagefence,Carriagefence,0100,Carriagefence 0100,carriagefence_seizure_0100,seizure_0100,carriagefence_seizure_0100_npc_01,seizure_0100_npc_01,seizure_0100,seizure,0100,118,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,I'll see you back at the farm.,I'll see you back at the farm.,gamedata/localizationstring_eng.paloc
carriagefence_seizure_0100_npc_01_00126,carriagefence,Carriagefence,Scene Dialogue,Carriagefence,Carriagefence,0100,Carriagefence 0100,carriagefence_seizure_0100,seizure_0100,carriagefence_seizure_0100_npc_01,seizure_0100_npc_01,seizure_0100,seizure,0100,126,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,"Come, it's this way.","Come, it's this way.",gamedata/localizationstring_eng.paloc
carriagefence_seizure_0100_npc_01_00127,carriagefence,Carriagefence,Scene Dialogue,Carriagefence,Carriagefence,0100,Carriagefence 0100,carriagefence_seizure_0100,seizure_0100,carriagefence_seizure_0100_npc_01,seizure_0100_npc_01,seizure_0100,seizure,0100,127,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,"Doesn't matter how busted the wagon is,","Doesn't matter how busted the wagon is,",gamedata/localizationstring_eng.paloc
carriagefence_seizure_0100_npc_01_00128,carriagefence,Carriagefence,Scene Dialogue,Carriagefence,Carriagefence,0100,Carriagefence 0100,carriagefence_seizure_0100,seizure_0100,carriagefence_seizure_0100_npc_01,seizure_0100_npc_01,seizure_0100,seizure,0100,128,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,just bring it to us and we'll fix it right up.,just bring it to us and we'll fix it right up.,gamedata/localizationstring_eng.paloc
carriagefence_seizure_0100_npc_01_00129,carriagefence,Carriagefence,Scene Dialogue,Carriagefence,Carriagefence,0100,Carriagefence 0100,carriagefence_seizure_0100,seizure_0100,carriagefence_seizure_0100_npc_01,seizure_0100_npc_01,seizure_0100,seizure,0100,129,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,"No sense in letting it go to waste when we could turn it into coin, right?","No sense in letting it go to waste when we could turn it into coin, right?",gamedata/localizationstring_eng.paloc
carriagefence_seizure_0100_npc_01_00130,carriagefence,Carriagefence,Scene Dialogue,Carriagefence,Carriagefence,0100,Carriagefence 0100,carriagefence_seizure_0100,seizure_0100,carriagefence_seizure_0100_npc_01,seizure_0100_npc_01,seizure_0100,seizure,0100,130,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,"And if you come across any abandoned wagons in the future,<br/>don't hesitate to bring them our way.","And if you come across any abandoned wagons in the future,
don't hesitate to bring them our way.",gamedata/localizationstring_eng.paloc
carriagefence_seizure_0100_npc_01_00131,carriagefence,Carriagefence,Scene Dialogue,Carriagefence,Carriagefence,0100,Carriagefence 0100,carriagefence_seizure_0100,seizure_0100,carriagefence_seizure_0100_npc_01,seizure_0100_npc_01,seizure_0100,seizure,0100,131,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,We can always use more.,We can always use more.,gamedata/localizationstring_eng.paloc
