key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
cd_minigame_race_0000_npc_00_00012,cd,Cd,Scene Dialogue,Cd,Cd,0000,Cd 0000,cd_minigame_race_0000,minigame_race_0000,cd_minigame_race_0000_npc_00,minigame_race_0000_npc_00,minigame_race_0000,minigame,race_0000,12,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,That's a fine beast you ride.,That's a fine beast you ride.,gamedata/localizationstring_eng.paloc
cd_minigame_race_0000_npc_00_00013,cd,Cd,Scene Dialogue,Cd,Cd,0000,Cd 0000,cd_minigame_race_0000,minigame_race_0000,cd_minigame_race_0000_npc_00,minigame_race_0000_npc_00,minigame_race_0000,minigame,race_0000,13,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Care to test it against mine?,Care to test it against mine?,gamedata/localizationstring_eng.paloc
cd_minigame_race_0000_npc_00_00014,cd,Cd,Scene Dialogue,Cd,Cd,0000,Cd 0000,cd_minigame_race_0000,minigame_race_0000,cd_minigame_race_0000_npc_00,minigame_race_0000_npc_00,minigame_race_0000,minigame,race_0000,14,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Come, let us race to the House of Healing.","Come, let us race to the House of Healing.",gamedata/localizationstring_eng.paloc
cd_minigame_race_0000_npc_00_00015,cd,Cd,Scene Dialogue,Cd,Cd,0000,Cd 0000,cd_minigame_race_0000,minigame_race_0000,cd_minigame_race_0000_npc_00,minigame_race_0000_npc_00,minigame_race_0000,minigame,race_0000,15,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,This damned steed's far too slow.,This damned steed's far too slow.,gamedata/localizationstring_eng.paloc
cd_minigame_race_0000_npc_00_00016,cd,Cd,Scene Dialogue,Cd,Cd,0000,Cd 0000,cd_minigame_race_0000,minigame_race_0000,cd_minigame_race_0000_npc_00,minigame_race_0000_npc_00,minigame_race_0000,minigame,race_0000,16,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,You would benefit from some practice.,You would benefit from some practice.,gamedata/localizationstring_eng.paloc
cd_minigame_race_0000_npc_00_00017,cd,Cd,Scene Dialogue,Cd,Cd,0000,Cd 0000,cd_minigame_race_0000,minigame_race_0000,cd_minigame_race_0000_npc_00,minigame_race_0000_npc_00,minigame_race_0000,minigame,race_0000,17,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,I look forward to future races.,I look forward to future races.,gamedata/localizationstring_eng.paloc
cd_minigame_race_0000_npc_00_00018,cd,Cd,Scene Dialogue,Cd,Cd,0000,Cd 0000,cd_minigame_race_0000,minigame_race_0000,cd_minigame_race_0000_npc_00,minigame_race_0000_npc_00,minigame_race_0000,minigame,race_0000,18,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,You're robbing me of sport. Do try and keep pace!,You're robbing me of sport. Do try and keep pace!,gamedata/localizationstring_eng.paloc
cd_minigame_race_0000_npc_00_00019,cd,Cd,Scene Dialogue,Cd,Cd,0000,Cd 0000,cd_minigame_race_0000,minigame_race_0000,cd_minigame_race_0000_npc_00,minigame_race_0000_npc_00,minigame_race_0000,minigame,race_0000,19,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,You ride slower than I anticipated.,You ride slower than I anticipated.,gamedata/localizationstring_eng.paloc
cd_minigame_race_0000_npc_00_00020,cd,Cd,Scene Dialogue,Cd,Cd,0000,Cd 0000,cd_minigame_race_0000,minigame_race_0000,cd_minigame_race_0000_npc_00,minigame_race_0000_npc_00,minigame_race_0000,minigame,race_0000,20,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"At this pace, I could enjoy a few winks in the saddle.","At this pace, I could enjoy a few winks in the saddle.",gamedata/localizationstring_eng.paloc
cd_minigame_race_0000_npc_00_00021,cd,Cd,Scene Dialogue,Cd,Cd,0000,Cd 0000,cd_minigame_race_0000,minigame_race_0000,cd_minigame_race_0000_npc_00,minigame_race_0000_npc_00,minigame_race_0000,minigame,race_0000,21,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,You would do well not to grow complacent.,You would do well not to grow complacent.,gamedata/localizationstring_eng.paloc
cd_minigame_race_0000_npc_00_00022,cd,Cd,Scene Dialogue,Cd,Cd,0000,Cd 0000,cd_minigame_race_0000,minigame_race_0000,cd_minigame_race_0000_npc_00,minigame_race_0000_npc_00,minigame_race_0000,minigame,race_0000,22,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Hmph... fortune appears to favor you today.,Hmph... fortune appears to favor you today.,gamedata/localizationstring_eng.paloc
cd_minigame_race_0000_npc_00_00023,cd,Cd,Scene Dialogue,Cd,Cd,0000,Cd 0000,cd_minigame_race_0000,minigame_race_0000,cd_minigame_race_0000_npc_00,minigame_race_0000_npc_00,minigame_race_0000,minigame,race_0000,23,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,It is not over until the race is run.,It is not over until the race is run.,gamedata/localizationstring_eng.paloc
