key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
crimsonwingedduke_9000_boss_00_00007,crimsonwingedduke,Crimsonwingedduke,Scene Dialogue,Crimsonwingedduke,Crimsonwingedduke,9000,Crimsonwingedduke 9000,crimsonwingedduke_9000,9000,crimsonwingedduke_9000_boss_00,9000_boss_00,9000,9000,,7,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Halt!,Halt!,gamedata/localizationstring_eng.paloc
crimsonwingedduke_9000_boss_00_00009,crimsonwingedduke,Crimsonwingedduke,Scene Dialogue,Crimsonwingedduke,Crimsonwingedduke,9000,Crimsonwingedduke 9000,crimsonwingedduke_9000,9000,crimsonwingedduke_9000_boss_00,9000_boss_00,9000,9000,,9,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,The troubles I went to for this witch!,The troubles I went to for this witch!,gamedata/localizationstring_eng.paloc
crimsonwingedduke_9000_boss_00_00010,crimsonwingedduke,Crimsonwingedduke,Scene Dialogue,Crimsonwingedduke,Crimsonwingedduke,9000,Crimsonwingedduke 9000,crimsonwingedduke_9000,9000,crimsonwingedduke_9000_boss_00,9000_boss_00,9000,9000,,10,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,How dare you ruin my work?,How dare you ruin my work?,gamedata/localizationstring_eng.paloc
crimsonwingedduke_9000_boss_00_00011,crimsonwingedduke,Crimsonwingedduke,Scene Dialogue,Crimsonwingedduke,Crimsonwingedduke,9000,Crimsonwingedduke 9000,crimsonwingedduke_9000,9000,crimsonwingedduke_9000_boss_00,9000_boss_00,9000,9000,,11,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,,,gamedata/localizationstring_eng.paloc
crimsonwingedduke_9000_boss_00_00012,crimsonwingedduke,Crimsonwingedduke,Scene Dialogue,Crimsonwingedduke,Crimsonwingedduke,9000,Crimsonwingedduke 9000,crimsonwingedduke_9000,9000,crimsonwingedduke_9000_boss_00,9000_boss_00,9000,9000,,12,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Impressive... but your end is inevitable.,Impressive... but your end is inevitable.,gamedata/localizationstring_eng.paloc
crimsonwingedduke_9000_boss_00_00013,crimsonwingedduke,Crimsonwingedduke,Scene Dialogue,Crimsonwingedduke,Crimsonwingedduke,9000,Crimsonwingedduke 9000,crimsonwingedduke_9000,9000,crimsonwingedduke_9000_boss_00,9000_boss_00,9000,9000,,13,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Let's see if you can dodge my spear!,Let's see if you can dodge my spear!,gamedata/localizationstring_eng.paloc
crimsonwingedduke_9000_boss_00_00014,crimsonwingedduke,Crimsonwingedduke,Scene Dialogue,Crimsonwingedduke,Crimsonwingedduke,9000,Crimsonwingedduke 9000,crimsonwingedduke_9000,9000,crimsonwingedduke_9000_boss_00,9000_boss_00,9000,9000,,14,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,,,gamedata/localizationstring_eng.paloc
crimsonwingedduke_9000_boss_00_00015,crimsonwingedduke,Crimsonwingedduke,Scene Dialogue,Crimsonwingedduke,Crimsonwingedduke,9000,Crimsonwingedduke 9000,crimsonwingedduke_9000,9000,crimsonwingedduke_9000_boss_00,9000_boss_00,9000,9000,,15,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,You will not escape me!,You will not escape me!,gamedata/localizationstring_eng.paloc
crimsonwingedduke_9000_boss_00_00016,crimsonwingedduke,Crimsonwingedduke,Scene Dialogue,Crimsonwingedduke,Crimsonwingedduke,9000,Crimsonwingedduke 9000,crimsonwingedduke_9000,9000,crimsonwingedduke_9000_boss_00,9000_boss_00,9000,9000,,16,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,,,gamedata/localizationstring_eng.paloc
crimsonwingedduke_9000_boss_00_00017,crimsonwingedduke,Crimsonwingedduke,Scene Dialogue,Crimsonwingedduke,Crimsonwingedduke,9000,Crimsonwingedduke 9000,crimsonwingedduke_9000,9000,crimsonwingedduke_9000_boss_00,9000_boss_00,9000,9000,,17,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,None shall lay hand to my spoils!,None shall lay hand to my spoils!,gamedata/localizationstring_eng.paloc
crimsonwingedduke_9000_boss_00_00018,crimsonwingedduke,Crimsonwingedduke,Scene Dialogue,Crimsonwingedduke,Crimsonwingedduke,9000,Crimsonwingedduke 9000,crimsonwingedduke_9000,9000,crimsonwingedduke_9000_boss_00,9000_boss_00,9000,9000,,18,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,I would've pierced your heart in a single strike with her power.,I would've pierced your heart in a single strike with her power.,gamedata/localizationstring_eng.paloc
crimsonwingedduke_9000_boss_00_00019,crimsonwingedduke,Crimsonwingedduke,Scene Dialogue,Crimsonwingedduke,Crimsonwingedduke,9000,Crimsonwingedduke 9000,crimsonwingedduke_9000,9000,crimsonwingedduke_9000_boss_00,9000_boss_00,9000,9000,,19,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,You have no right to interfere!,You have no right to interfere!,gamedata/localizationstring_eng.paloc
crimsonwingedduke_9000_boss_00_00020,crimsonwingedduke,Crimsonwingedduke,Scene Dialogue,Crimsonwingedduke,Crimsonwingedduke,9000,Crimsonwingedduke 9000,crimsonwingedduke_9000,9000,crimsonwingedduke_9000_boss_00,9000_boss_00,9000,9000,,20,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,I'll take the powers of those eastern witches once you're dealt with.,I'll take the powers of those eastern witches once you're dealt with.,gamedata/localizationstring_eng.paloc
crimsonwingedduke_9000_enemy_00_00028,crimsonwingedduke,Crimsonwingedduke,Scene Dialogue,Crimsonwingedduke,Crimsonwingedduke,9000,Crimsonwingedduke 9000,crimsonwingedduke_9000,9000,crimsonwingedduke_9000_enemy_00,9000_enemy_00,9000,9000,,28,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,"Who are you, barging in?","Who are you, barging in?",gamedata/localizationstring_eng.paloc
crimsonwingedduke_9000_enemy_00_00029,crimsonwingedduke,Crimsonwingedduke,Scene Dialogue,Crimsonwingedduke,Crimsonwingedduke,9000,Crimsonwingedduke 9000,crimsonwingedduke_9000,9000,crimsonwingedduke_9000_enemy_00,9000_enemy_00,9000,9000,,29,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,,,gamedata/localizationstring_eng.paloc
crimsonwingedduke_9000_enemy_00_00030,crimsonwingedduke,Crimsonwingedduke,Scene Dialogue,Crimsonwingedduke,Crimsonwingedduke,9000,Crimsonwingedduke 9000,crimsonwingedduke_9000,9000,crimsonwingedduke_9000_enemy_00,9000_enemy_00,9000,9000,,30,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,"Here after the witch, are you? Not a chance!","Here after the witch, are you? Not a chance!",gamedata/localizationstring_eng.paloc
crimsonwingedduke_9000_enemy_00_00031,crimsonwingedduke,Crimsonwingedduke,Scene Dialogue,Crimsonwingedduke,Crimsonwingedduke,9000,Crimsonwingedduke 9000,crimsonwingedduke_9000,9000,crimsonwingedduke_9000_enemy_00,9000_enemy_00,9000,9000,,31,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,,,gamedata/localizationstring_eng.paloc
crimsonwingedduke_9000_globalgametrack_00035,crimsonwingedduke,Crimsonwingedduke,Scene Dialogue,Crimsonwingedduke,Crimsonwingedduke,9000,Crimsonwingedduke 9000,crimsonwingedduke_9000,9000,crimsonwingedduke_9000_globalgametrack,9000_globalgametrack,9000,9000,,35,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,You'll regret ever interfering.,You'll regret ever interfering.,gamedata/localizationstring_eng.paloc
crimsonwingedduke_9000_globalgametrack_00036,crimsonwingedduke,Crimsonwingedduke,Scene Dialogue,Crimsonwingedduke,Crimsonwingedduke,9000,Crimsonwingedduke 9000,crimsonwingedduke_9000,9000,crimsonwingedduke_9000_globalgametrack,9000_globalgametrack,9000,9000,,36,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,I'll drown those witches in your blood!,I'll drown those witches in your blood!,gamedata/localizationstring_eng.paloc
crimsonwingedduke_9000_globalgametrack_00037,crimsonwingedduke,Crimsonwingedduke,Scene Dialogue,Crimsonwingedduke,Crimsonwingedduke,9000,Crimsonwingedduke 9000,crimsonwingedduke_9000,9000,crimsonwingedduke_9000_globalgametrack,9000_globalgametrack,9000,9000,,37,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,Soon you'll be begging for your death!,Soon you'll be begging for your death!,gamedata/localizationstring_eng.paloc
crimsonwingedduke_9000_npc_00_00021,crimsonwingedduke,Crimsonwingedduke,Scene Dialogue,Crimsonwingedduke,Crimsonwingedduke,9000,Crimsonwingedduke 9000,crimsonwingedduke_9000,9000,crimsonwingedduke_9000_npc_00,9000_npc_00,9000,9000,,21,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Watch out! Behind you!,Watch out! Behind you!,gamedata/localizationstring_eng.paloc
crimsonwingedduke_9000_npc_00_00022,crimsonwingedduke,Crimsonwingedduke,Scene Dialogue,Crimsonwingedduke,Crimsonwingedduke,9000,Crimsonwingedduke 9000,crimsonwingedduke_9000,9000,crimsonwingedduke_9000_npc_00,9000_npc_00,9000,9000,,22,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
crimsonwingedduke_9000_npc_00_00023,crimsonwingedduke,Crimsonwingedduke,Scene Dialogue,Crimsonwingedduke,Crimsonwingedduke,9000,Crimsonwingedduke 9000,crimsonwingedduke_9000,9000,crimsonwingedduke_9000_npc_00,9000_npc_00,9000,9000,,23,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
crimsonwingedduke_9000_npc_00_00024,crimsonwingedduke,Crimsonwingedduke,Scene Dialogue,Crimsonwingedduke,Crimsonwingedduke,9000,Crimsonwingedduke 9000,crimsonwingedduke_9000,9000,crimsonwingedduke_9000_npc_00,9000_npc_00,9000,9000,,24,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Consider us even.,Consider us even.,gamedata/localizationstring_eng.paloc
crimsonwingedduke_9000_npc_00_00026,crimsonwingedduke,Crimsonwingedduke,Scene Dialogue,Crimsonwingedduke,Crimsonwingedduke,9000,Crimsonwingedduke 9000,crimsonwingedduke_9000,9000,crimsonwingedduke_9000_npc_00,9000_npc_00,9000,9000,,26,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,That was too close.,That was too close.,gamedata/localizationstring_eng.paloc
crimsonwingedduke_9000_npc_00_00027,crimsonwingedduke,Crimsonwingedduke,Scene Dialogue,Crimsonwingedduke,Crimsonwingedduke,9000,Crimsonwingedduke 9000,crimsonwingedduke_9000,9000,crimsonwingedduke_9000_npc_00,9000_npc_00,9000,9000,,27,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,A moment later and they'd have taken my powers.,A moment later and they'd have taken my powers.,gamedata/localizationstring_eng.paloc
crimsonwingedduke_9000_npc_00_00038,crimsonwingedduke,Crimsonwingedduke,Scene Dialogue,Crimsonwingedduke,Crimsonwingedduke,9000,Crimsonwingedduke 9000,crimsonwingedduke_9000,9000,crimsonwingedduke_9000_npc_00,9000_npc_00,9000,9000,,38,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
crimsonwingedduke_9000_player_00001,crimsonwingedduke,Crimsonwingedduke,Scene Dialogue,Crimsonwingedduke,Crimsonwingedduke,9000,Crimsonwingedduke 9000,crimsonwingedduke_9000,9000,crimsonwingedduke_9000_player,9000_player,9000,9000,,1,player,,player,Player,Player,Player,,role,,"Nicely done, I'm in your debt.","Nicely done, I'm in your debt.",gamedata/localizationstring_eng.paloc
crimsonwingedduke_9000_player_00002,crimsonwingedduke,Crimsonwingedduke,Scene Dialogue,Crimsonwingedduke,Crimsonwingedduke,9000,Crimsonwingedduke 9000,crimsonwingedduke_9000,9000,crimsonwingedduke_9000_player,9000_player,9000,9000,,2,player,,player,Player,Player,Player,,role,,Your sister sent me.,Your sister sent me.,gamedata/localizationstring_eng.paloc
crimsonwingedduke_9000_player_00003,crimsonwingedduke,Crimsonwingedduke,Scene Dialogue,Crimsonwingedduke,Crimsonwingedduke,9000,Crimsonwingedduke 9000,crimsonwingedduke_9000,9000,crimsonwingedduke_9000_player,9000_player,9000,9000,,3,player,,player,Player,Player,Player,,role,,Hang on now.,Hang on now.,gamedata/localizationstring_eng.paloc
crimsonwingedduke_9000_player_00004,crimsonwingedduke,Crimsonwingedduke,Scene Dialogue,Crimsonwingedduke,Crimsonwingedduke,9000,Crimsonwingedduke 9000,crimsonwingedduke_9000,9000,crimsonwingedduke_9000_player,9000_player,9000,9000,,4,player,,player,Player,Player,Player,,role,,Get down!,Get down!,gamedata/localizationstring_eng.paloc
crimsonwingedduke_9000_player_00005,crimsonwingedduke,Crimsonwingedduke,Scene Dialogue,Crimsonwingedduke,Crimsonwingedduke,9000,Crimsonwingedduke 9000,crimsonwingedduke_9000,9000,crimsonwingedduke_9000_player,9000_player,9000,9000,,5,player,,player,Player,Player,Player,,role,,,,gamedata/localizationstring_eng.paloc
crimsonwingedduke_9000_player_00006,crimsonwingedduke,Crimsonwingedduke,Scene Dialogue,Crimsonwingedduke,Crimsonwingedduke,9000,Crimsonwingedduke 9000,crimsonwingedduke_9000,9000,crimsonwingedduke_9000_player,9000_player,9000,9000,,6,player,,player,Player,Player,Player,,role,,This is the price of the path you chose.,This is the price of the path you chose.,gamedata/localizationstring_eng.paloc
crimsonwingedduke_9000_player_00032,crimsonwingedduke,Crimsonwingedduke,Scene Dialogue,Crimsonwingedduke,Crimsonwingedduke,9000,Crimsonwingedduke 9000,crimsonwingedduke_9000,9000,crimsonwingedduke_9000_player,9000_player,9000,9000,,32,player,,player,Player,Player,Player,,role,,,,gamedata/localizationstring_eng.paloc
crimsonwingedduke_9000_player_00033,crimsonwingedduke,Crimsonwingedduke,Scene Dialogue,Crimsonwingedduke,Crimsonwingedduke,9000,Crimsonwingedduke 9000,crimsonwingedduke_9000,9000,crimsonwingedduke_9000_player,9000_player,9000,9000,,33,player,,player,Player,Player,Player,,role,,,,gamedata/localizationstring_eng.paloc
crimsonwingedduke_9000_player_00034,crimsonwingedduke,Crimsonwingedduke,Scene Dialogue,Crimsonwingedduke,Crimsonwingedduke,9000,Crimsonwingedduke 9000,crimsonwingedduke_9000,9000,crimsonwingedduke_9000_player,9000_player,9000,9000,,34,player,,player,Player,Player,Player,,role,,,,gamedata/localizationstring_eng.paloc
crimsonwingedduke_9000_player_00039,crimsonwingedduke,Crimsonwingedduke,Scene Dialogue,Crimsonwingedduke,Crimsonwingedduke,9000,Crimsonwingedduke 9000,crimsonwingedduke_9000,9000,crimsonwingedduke_9000_player,9000_player,9000,9000,,39,player,,player,Player,Player,Player,,role,,,,gamedata/localizationstring_eng.paloc
