key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
crogg_bossencounter_stand_boss_00_00007,crogg,Crogg,Scene Dialogue,Crogg,Crogg,,Crogg,crogg_bossencounter_stand,bossencounter_stand,crogg_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,7,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,"A mortal, here to present themselves as tributes to my ocean!","A mortal, here to present themselves as tributes to my ocean!",gamedata/localizationstring_eng.paloc
crogg_bossencounter_stand_boss_00_00008,crogg,Crogg,Scene Dialogue,Crogg,Crogg,,Crogg,crogg_bossencounter_stand,bossencounter_stand,crogg_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,8,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,You too shall join the depths!,You too shall join the depths!,gamedata/localizationstring_eng.paloc
crogg_bossencounter_stand_boss_00_00014,crogg,Crogg,Scene Dialogue,Crogg,Crogg,,Crogg,crogg_bossencounter_stand,bossencounter_stand,crogg_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,14,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,"At last, you submit before the majesty of the sea!","At last, you submit before the majesty of the sea!",gamedata/localizationstring_eng.paloc
crogg_bossencounter_stand_boss_00_00015,crogg,Crogg,Scene Dialogue,Crogg,Crogg,,Crogg,crogg_bossencounter_stand,bossencounter_stand,crogg_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,15,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,"Come now, venture into the depths of the ocean!","Come now, venture into the depths of the ocean!",gamedata/localizationstring_eng.paloc
crogg_bossencounter_stand_boss_00_00016,crogg,Crogg,Scene Dialogue,Crogg,Crogg,,Crogg,crogg_bossencounter_stand,bossencounter_stand,crogg_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,16,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Is your mind too feeble to fathom the ocean's greatness?,Is your mind too feeble to fathom the ocean's greatness?,gamedata/localizationstring_eng.paloc
crogg_bossencounter_stand_boss_00_00017,crogg,Crogg,Scene Dialogue,Crogg,Crogg,,Crogg,crogg_bossencounter_stand,bossencounter_stand,crogg_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,17,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,"Splendid! The sea demands more offerings, and here you are.","Splendid! The sea demands more offerings, and here you are.",gamedata/localizationstring_eng.paloc
crogg_bossencounter_stand_boss_00_00018,crogg,Crogg,Scene Dialogue,Crogg,Crogg,,Crogg,crogg_bossencounter_stand,bossencounter_stand,crogg_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,18,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,All who refuse to serve the god of the sea must perish.,All who refuse to serve the god of the sea must perish.,gamedata/localizationstring_eng.paloc
crogg_bossencounter_stand_boss_00_00019,crogg,Crogg,Scene Dialogue,Crogg,Crogg,,Crogg,crogg_bossencounter_stand,bossencounter_stand,crogg_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,19,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,"Reject the call of the waves, and the ocean will claim you.","Reject the call of the waves, and the ocean will claim you.",gamedata/localizationstring_eng.paloc
crogg_bossencounter_stand_globalgametrack_00020,crogg,Crogg,Scene Dialogue,Crogg,Crogg,,Crogg,crogg_bossencounter_stand,bossencounter_stand,crogg_bossencounter_stand_globalgametrack,bossencounter_stand_globalgametrack,bossencounter_stand,bossencounter,stand,20,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,Death to all who refuse to serve the god of the sea!,Death to all who refuse to serve the god of the sea!,gamedata/localizationstring_eng.paloc
crogg_bossencounter_stand_globalgametrack_00021,crogg,Crogg,Scene Dialogue,Crogg,Crogg,,Crogg,crogg_bossencounter_stand,bossencounter_stand,crogg_bossencounter_stand_globalgametrack,bossencounter_stand_globalgametrack,bossencounter_stand,bossencounter,stand,21,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,Feeble creature... let great waves consume you!,Feeble creature... let great waves consume you!,gamedata/localizationstring_eng.paloc
crogg_bossencounter_stand_globalgametrack_00022,crogg,Crogg,Scene Dialogue,Crogg,Crogg,,Crogg,crogg_bossencounter_stand,bossencounter_stand,crogg_bossencounter_stand_globalgametrack,bossencounter_stand_globalgametrack,bossencounter_stand,bossencounter,stand,22,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,Behold the greatness of the sea!,Behold the greatness of the sea!,gamedata/localizationstring_eng.paloc
crogg_bossencounter_stand_globalgametrack_00023,crogg,Crogg,Scene Dialogue,Crogg,Crogg,,Crogg,crogg_bossencounter_stand,bossencounter_stand,crogg_bossencounter_stand_globalgametrack,bossencounter_stand_globalgametrack,bossencounter_stand,bossencounter,stand,23,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,Count yourself blessed to be offered to the sea!,Count yourself blessed to be offered to the sea!,gamedata/localizationstring_eng.paloc
crogg_bossencounter_stand_globalgametrack_00024,crogg,Crogg,Scene Dialogue,Crogg,Crogg,,Crogg,crogg_bossencounter_stand,bossencounter_stand,crogg_bossencounter_stand_globalgametrack,bossencounter_stand_globalgametrack,bossencounter_stand,bossencounter,stand,24,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,You are nothing but a grain of sand before the waves!,You are nothing but a grain of sand before the waves!,gamedata/localizationstring_eng.paloc
