key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
crowman_boss_0200_boss_00_00006,crowman,Crowman,Scene Dialogue,Crowman,Crowman,0200,Crowman 0200,crowman_boss_0200,boss_0200,crowman_boss_0200_boss_00,boss_0200_boss_00,boss_0200,boss,0200,6,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,"Ah, if it isn't one of the vaunted Greymanes.","Ah, if it isn't one of the vaunted Greymanes.",gamedata/localizationstring_eng.paloc
crowman_boss_0200_boss_00_00007,crowman,Crowman,Scene Dialogue,Crowman,Crowman,0200,Crowman 0200,crowman_boss_0200,boss_0200,crowman_boss_0200_boss_00,boss_0200_boss_00,boss_0200,boss,0200,7,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Took you long enough.,Took you long enough.,gamedata/localizationstring_eng.paloc
crowman_boss_0200_boss_00_00008,crowman,Crowman,Scene Dialogue,Crowman,Crowman,0200,Crowman 0200,crowman_boss_0200,boss_0200,crowman_boss_0200_boss_00,boss_0200_boss_00,boss_0200,boss,0200,8,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,White Crow? Ah... you mean the offering.,White Crow? Ah... you mean the offering.,gamedata/localizationstring_eng.paloc
crowman_boss_0200_boss_00_00009,crowman,Crowman,Scene Dialogue,Crowman,Crowman,0200,Crowman 0200,crowman_boss_0200,boss_0200,crowman_boss_0200_boss_00,boss_0200_boss_00,boss_0200,boss,0200,9,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,On her way to the altar as we speak.,On her way to the altar as we speak.,gamedata/localizationstring_eng.paloc
crowman_boss_0200_boss_00_00010,crowman,Crowman,Scene Dialogue,Crowman,Crowman,0200,Crowman 0200,crowman_boss_0200,boss_0200,crowman_boss_0200_boss_00,boss_0200_boss_00,boss_0200,boss,0200,10,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,I've long wondered why Mother ever cared for the likes of you.,I've long wondered why Mother ever cared for the likes of you.,gamedata/localizationstring_eng.paloc
crowman_boss_0200_boss_00_00011,crowman,Crowman,Scene Dialogue,Crowman,Crowman,0200,Crowman 0200,crowman_boss_0200,boss_0200,crowman_boss_0200_boss_00,boss_0200_boss_00,boss_0200,boss,0200,11,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,"Let's find out, shall we?","Let's find out, shall we?",gamedata/localizationstring_eng.paloc
crowman_boss_0200_boss_00_00012,crowman,Crowman,Scene Dialogue,Crowman,Crowman,0200,Crowman 0200,crowman_boss_0200,boss_0200,crowman_boss_0200_boss_00,boss_0200_boss_00,boss_0200,boss,0200,12,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,,,gamedata/localizationstring_eng.paloc
crowman_boss_0200_boss_00_00013,crowman,Crowman,Scene Dialogue,Crowman,Crowman,0200,Crowman 0200,crowman_boss_0200,boss_0200,crowman_boss_0200_boss_00,boss_0200_boss_00,boss_0200,boss,0200,13,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Is this the best you've got?,Is this the best you've got?,gamedata/localizationstring_eng.paloc
crowman_boss_0200_boss_00_00014,crowman,Crowman,Scene Dialogue,Crowman,Crowman,0200,Crowman 0200,crowman_boss_0200,boss_0200,crowman_boss_0200_boss_00,boss_0200_boss_00,boss_0200,boss,0200,14,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Seems you have no will to fight! What an utter disappointment!,Seems you have no will to fight! What an utter disappointment!,gamedata/localizationstring_eng.paloc
crowman_boss_0200_boss_00_00015,crowman,Crowman,Scene Dialogue,Crowman,Crowman,0200,Crowman 0200,crowman_boss_0200,boss_0200,crowman_boss_0200_boss_00,boss_0200_boss_00,boss_0200,boss,0200,15,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,"If this is the true extent of a Greymane, then I've no more business here.","If this is the true extent of a Greymane, then I've no more business here.",gamedata/localizationstring_eng.paloc
