key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
deerking_boss_0200_npc_00_00002,deerking,Deerking,Scene Dialogue,Deerking,Deerking,0200,Deerking 0200,deerking_boss_0200,boss_0200,deerking_boss_0200_npc_00,boss_0200_npc_00,boss_0200,boss,0200,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Lord Middler, where have you gone...","Lord Middler, where have you gone...",gamedata/localizationstring_eng.paloc
deerking_boss_0200_npc_00_00003,deerking,Deerking,Scene Dialogue,Deerking,Deerking,0200,Deerking 0200,deerking_boss_0200,boss_0200,deerking_boss_0200_npc_00,boss_0200_npc_00,boss_0200,boss,0200,3,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
deerking_boss_0200_npc_00_00004,deerking,Deerking,Scene Dialogue,Deerking,Deerking,0200,Deerking 0200,deerking_boss_0200,boss_0200,deerking_boss_0200_npc_00,boss_0200_npc_00,boss_0200,boss,0200,4,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"I speak of Williem Middler, the second son of House Middler.","I speak of Williem Middler, the second son of House Middler.",gamedata/localizationstring_eng.paloc
deerking_boss_0200_npc_00_00005,deerking,Deerking,Scene Dialogue,Deerking,Deerking,0200,Deerking 0200,deerking_boss_0200,boss_0200,deerking_boss_0200_npc_00,boss_0200_npc_00,boss_0200,boss,0200,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,It's been days now...,It's been days now...,gamedata/localizationstring_eng.paloc
deerking_boss_0200_npc_00_00006,deerking,Deerking,Scene Dialogue,Deerking,Deerking,0200,Deerking 0200,deerking_boss_0200,boss_0200,deerking_boss_0200_npc_00,boss_0200_npc_00,boss_0200,boss,0200,6,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Lieutenant, the Greymane...","Lieutenant, the Greymane...",gamedata/localizationstring_eng.paloc
deerking_boss_0200_npc_01_00007,deerking,Deerking,Scene Dialogue,Deerking,Deerking,0200,Deerking 0200,deerking_boss_0200,boss_0200,deerking_boss_0200_npc_01,boss_0200_npc_01,boss_0200,boss,0200,7,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,"Lieutenant, the search parties have turned up nothing.","Lieutenant, the search parties have turned up nothing.",gamedata/localizationstring_eng.paloc
deerking_boss_0200_npc_01_00008,deerking,Deerking,Scene Dialogue,Deerking,Deerking,0200,Deerking 0200,deerking_boss_0200,boss_0200,deerking_boss_0200_npc_01,boss_0200_npc_01,boss_0200,boss,0200,8,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,I fear... he may already have fallen to that monster.,I fear... he may already have fallen to that monster.,gamedata/localizationstring_eng.paloc
deerking_boss_0200_npc_02_00009,deerking,Deerking,Scene Dialogue,Deerking,Deerking,0200,Deerking 0200,deerking_boss_0200,boss_0200,deerking_boss_0200_npc_02,boss_0200_npc_02,boss_0200,boss,0200,9,npc_02,,npc_02,NPC 02,NPC 02,NPC,2,role,,I see. Leave us.,I see. Leave us.,gamedata/localizationstring_eng.paloc
deerking_boss_0200_npc_02_00010,deerking,Deerking,Scene Dialogue,Deerking,Deerking,0200,Deerking 0200,deerking_boss_0200,boss_0200,deerking_boss_0200_npc_02,boss_0200_npc_02,boss_0200,boss,0200,10,npc_02,,npc_02,NPC 02,NPC 02,NPC,2,role,,I serve as lieutenant to Sir Williem.,I serve as lieutenant to Sir Williem.,gamedata/localizationstring_eng.paloc
deerking_boss_0200_npc_02_00011,deerking,Deerking,Scene Dialogue,Deerking,Deerking,0200,Deerking 0200,deerking_boss_0200,boss_0200,deerking_boss_0200_npc_02,boss_0200_npc_02,boss_0200,boss,0200,11,npc_02,,npc_02,NPC 02,NPC 02,NPC,2,role,,"There's a madman near the ruins, butchering anyone he encounters.","There's a madman near the ruins, butchering anyone he encounters.",gamedata/localizationstring_eng.paloc
deerking_boss_0200_npc_02_00012,deerking,Deerking,Scene Dialogue,Deerking,Deerking,0200,Deerking 0200,deerking_boss_0200,boss_0200,deerking_boss_0200_npc_02,boss_0200_npc_02,boss_0200,boss,0200,12,npc_02,,npc_02,NPC 02,NPC 02,NPC,2,role,,Lord Williem was determined to hunt him down.,Lord Williem was determined to hunt him down.,gamedata/localizationstring_eng.paloc
