key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
delesyian_1000_narration_00012,delesyian,Delesyian,Scene Dialogue,Delesyian,Delesyian,1000,Delesyian 1000,delesyian_1000,1000,delesyian_1000_narration,1000_narration,1000,1000,,12,narration,,narration,Narration,Narration,Narration,,role,,Intruder! Get 'em!,Intruder! Get 'em!,gamedata/localizationstring_eng.paloc
delesyian_1000_npc_00_00013,delesyian,Delesyian,Scene Dialogue,Delesyian,Delesyian,1000,Delesyian 1000,delesyian_1000,1000,delesyian_1000_npc_00,1000_npc_00,1000,1000,,13,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Get lost!,Get lost!,gamedata/localizationstring_eng.paloc
delesyian_1000_npc_00_00014,delesyian,Delesyian,Scene Dialogue,Delesyian,Delesyian,1000,Delesyian 1000,delesyian_1000,1000,delesyian_1000_npc_00,1000_npc_00,1000,1000,,14,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Fuck off!,Fuck off!,gamedata/localizationstring_eng.paloc
delesyian_1000_npc_00_00015,delesyian,Delesyian,Scene Dialogue,Delesyian,Delesyian,1000,Delesyian 1000,delesyian_1000,1000,delesyian_1000_npc_00,1000_npc_00,1000,1000,,15,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Don't even think about coming back.,Don't even think about coming back.,gamedata/localizationstring_eng.paloc
delesyian_1000_npc_00_00017,delesyian,Delesyian,Scene Dialogue,Delesyian,Delesyian,1000,Delesyian 1000,delesyian_1000,1000,delesyian_1000_npc_00,1000_npc_00,1000,1000,,17,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,With pleasure!,With pleasure!,gamedata/localizationstring_eng.paloc
delesyian_1000_npc_00_00021,delesyian,Delesyian,Scene Dialogue,Delesyian,Delesyian,1000,Delesyian 1000,delesyian_1000,1000,delesyian_1000_npc_00,1000_npc_00,1000,1000,,21,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Shall we grab a drink later?,Shall we grab a drink later?,gamedata/localizationstring_eng.paloc
delesyian_1000_npc_00_00022,delesyian,Delesyian,Scene Dialogue,Delesyian,Delesyian,1000,Delesyian 1000,delesyian_1000,1000,delesyian_1000_npc_00,1000_npc_00,1000,1000,,22,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Well now... aren't you a sorry sight.,Well now... aren't you a sorry sight.,gamedata/localizationstring_eng.paloc
delesyian_1000_npc_00_00023,delesyian,Delesyian,Scene Dialogue,Delesyian,Delesyian,1000,Delesyian 1000,delesyian_1000,1000,delesyian_1000_npc_00,1000_npc_00,1000,1000,,23,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Next time, you won't get off so easy.","Next time, you won't get off so easy.",gamedata/localizationstring_eng.paloc
delesyian_town_2400_npc_00_00000,delesyian,Delesyian,Scene Dialogue,Delesyian,Delesyian,2400,Delesyian 2400,delesyian_town_2400,town_2400,delesyian_town_2400_npc_00,town_2400_npc_00,town_2400,town,2400,0,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,I'll handle this.,I'll handle this.,gamedata/localizationstring_eng.paloc
delesyian_town_2400_npc_00_00001,delesyian,Delesyian,Scene Dialogue,Delesyian,Delesyian,2400,Delesyian 2400,delesyian_town_2400,town_2400,delesyian_town_2400_npc_00,town_2400_npc_00,town_2400,town,2400,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Do you know where you are?,Do you know where you are?,gamedata/localizationstring_eng.paloc
delesyian_town_2400_npc_00_00002,delesyian,Delesyian,Scene Dialogue,Delesyian,Delesyian,2400,Delesyian 2400,delesyian_town_2400,town_2400,delesyian_town_2400_npc_00,town_2400_npc_00,town_2400,town,2400,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,You can't just stroll in here without a visione!,You can't just stroll in here without a visione!,gamedata/localizationstring_eng.paloc
delesyian_town_2400_npc_00_00003,delesyian,Delesyian,Scene Dialogue,Delesyian,Delesyian,2400,Delesyian 2400,delesyian_town_2400,town_2400,delesyian_town_2400_npc_00,town_2400_npc_00,town_2400,town,2400,3,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Now, turn back!","Now, turn back!",gamedata/localizationstring_eng.paloc
delesyian_town_2400_npc_00_00004,delesyian,Delesyian,Scene Dialogue,Delesyian,Delesyian,2400,Delesyian 2400,delesyian_town_2400,town_2400,delesyian_town_2400_npc_00,town_2400_npc_00,town_2400,town,2400,4,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,He's suspicious... be sure to remember his face.,He's suspicious... be sure to remember his face.,gamedata/localizationstring_eng.paloc
delesyian_town_2400_npc_00_00005,delesyian,Delesyian,Scene Dialogue,Delesyian,Delesyian,2400,Delesyian 2400,delesyian_town_2400,town_2400,delesyian_town_2400_npc_00,town_2400_npc_00,town_2400,town,2400,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Halt!,Halt!,gamedata/localizationstring_eng.paloc
delesyian_town_2400_npc_00_00006,delesyian,Delesyian,Scene Dialogue,Delesyian,Delesyian,2400,Delesyian 2400,delesyian_town_2400,town_2400,delesyian_town_2400_npc_00,town_2400_npc_00,town_2400,town,2400,6,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Hmm... He doesn't look dangerous.,Hmm... He doesn't look dangerous.,gamedata/localizationstring_eng.paloc
delesyian_town_2400_npc_00_00007,delesyian,Delesyian,Scene Dialogue,Delesyian,Delesyian,2400,Delesyian 2400,delesyian_town_2400,town_2400,delesyian_town_2400_npc_00,town_2400_npc_00,town_2400,town,2400,7,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Don't cause trouble, you hear?","Don't cause trouble, you hear?",gamedata/localizationstring_eng.paloc
delesyian_town_2400_npc_00_00008,delesyian,Delesyian,Scene Dialogue,Delesyian,Delesyian,2400,Delesyian 2400,delesyian_town_2400,town_2400,delesyian_town_2400_npc_00,town_2400_npc_00,town_2400,town,2400,8,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,You may pass.,You may pass.,gamedata/localizationstring_eng.paloc
delesyian_town_2400_npc_00_00009,delesyian,Delesyian,Scene Dialogue,Delesyian,Delesyian,2400,Delesyian 2400,delesyian_town_2400,town_2400,delesyian_town_2400_npc_00,town_2400_npc_00,town_2400,town,2400,9,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Hold it!,Hold it!,gamedata/localizationstring_eng.paloc
delesyian_town_2400_npc_00_00010,delesyian,Delesyian,Scene Dialogue,Delesyian,Delesyian,2400,Delesyian 2400,delesyian_town_2400,town_2400,delesyian_town_2400_npc_00,town_2400_npc_00,town_2400,town,2400,10,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Bring a visione if you want to get through!,Bring a visione if you want to get through!,gamedata/localizationstring_eng.paloc
delesyian_town_2400_npc_00_00011,delesyian,Delesyian,Scene Dialogue,Delesyian,Delesyian,2400,Delesyian 2400,delesyian_town_2400,town_2400,delesyian_town_2400_npc_00,town_2400_npc_00,town_2400,town,2400,11,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"No visione, no entry. Simple as that.","No visione, no entry. Simple as that.",gamedata/localizationstring_eng.paloc
delesyian_town_2400_npc_00_00012,delesyian,Delesyian,Scene Dialogue,Delesyian,Delesyian,2400,Delesyian 2400,delesyian_town_2400,town_2400,delesyian_town_2400_npc_00,town_2400_npc_00,town_2400,town,2400,12,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Hang on now.,Hang on now.,gamedata/localizationstring_eng.paloc
delesyian_town_2400_npc_00_00013,delesyian,Delesyian,Scene Dialogue,Delesyian,Delesyian,2400,Delesyian 2400,delesyian_town_2400,town_2400,delesyian_town_2400_npc_00,town_2400_npc_00,town_2400,town,2400,13,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Seems so.,Seems so.,gamedata/localizationstring_eng.paloc
