key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
demeniss_0200_npc_00000,demeniss,Demeniss,Scene Dialogue,Demeniss,Demeniss,0200,Demeniss 0200,demeniss_0200,0200,demeniss_0200_npc,0200_npc,0200,0200,,0,npc,,npc,NPC,NPC,NPC,,role,,I've got this.,I've got this.,gamedata/localizationstring_eng.paloc
demeniss_0200_npc_00001,demeniss,Demeniss,Scene Dialogue,Demeniss,Demeniss,0200,Demeniss 0200,demeniss_0200,0200,demeniss_0200_npc,0200_npc,0200,0200,,1,npc,,npc,NPC,NPC,NPC,,role,,"You know where you are, ey?","You know where you are, ey?",gamedata/localizationstring_eng.paloc
demeniss_0200_npc_00002,demeniss,Demeniss,Scene Dialogue,Demeniss,Demeniss,0200,Demeniss 0200,demeniss_0200,0200,demeniss_0200_npc,0200_npc,0200,0200,,2,npc,,npc,NPC,NPC,NPC,,role,,Can't just barge in here.,Can't just barge in here.,gamedata/localizationstring_eng.paloc
demeniss_0200_npc_00004,demeniss,Demeniss,Scene Dialogue,Demeniss,Demeniss,0200,Demeniss 0200,demeniss_0200,0200,demeniss_0200_npc,0200_npc,0200,0200,,4,npc,,npc,NPC,NPC,NPC,,role,,Odd sort. Remember that one.,Odd sort. Remember that one.,gamedata/localizationstring_eng.paloc
demeniss_0200_npc_00005,demeniss,Demeniss,Scene Dialogue,Demeniss,Demeniss,0200,Demeniss 0200,demeniss_0200,0200,demeniss_0200_npc,0200_npc,0200,0200,,5,npc,,npc,NPC,NPC,NPC,,role,,Halt!,Halt!,gamedata/localizationstring_eng.paloc
demeniss_0200_npc_00006,demeniss,Demeniss,Scene Dialogue,Demeniss,Demeniss,0200,Demeniss 0200,demeniss_0200,0200,demeniss_0200_npc,0200_npc,0200,0200,,6,npc,,npc,NPC,NPC,NPC,,role,,Hmm... Looks like you're allowed in.,Hmm... Looks like you're allowed in.,gamedata/localizationstring_eng.paloc
demeniss_0200_npc_00007,demeniss,Demeniss,Scene Dialogue,Demeniss,Demeniss,0200,Demeniss 0200,demeniss_0200,0200,demeniss_0200_npc,0200_npc,0200,0200,,7,npc,,npc,NPC,NPC,NPC,,role,,"Mind yourself, you hear?","Mind yourself, you hear?",gamedata/localizationstring_eng.paloc
demeniss_0200_npc_00008,demeniss,Demeniss,Scene Dialogue,Demeniss,Demeniss,0200,Demeniss 0200,demeniss_0200,0200,demeniss_0200_npc,0200_npc,0200,0200,,8,npc,,npc,NPC,NPC,NPC,,role,,Go on through.,Go on through.,gamedata/localizationstring_eng.paloc
demeniss_0200_npc_00009,demeniss,Demeniss,Scene Dialogue,Demeniss,Demeniss,0200,Demeniss 0200,demeniss_0200,0200,demeniss_0200_npc,0200_npc,0200,0200,,9,npc,,npc,NPC,NPC,NPC,,role,,Halt!,Halt!,gamedata/localizationstring_eng.paloc
demeniss_0200_npc_00010,demeniss,Demeniss,Scene Dialogue,Demeniss,Demeniss,0200,Demeniss 0200,demeniss_0200,0200,demeniss_0200_npc,0200_npc,0200,0200,,10,npc,,npc,NPC,NPC,NPC,,role,,You deaf? Come back when you're cleared.,You deaf? Come back when you're cleared.,gamedata/localizationstring_eng.paloc
