key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
dragonslayer_0100_npc_00_00003,dragonslayer,Dragonslayer,Scene Dialogue,Dragonslayer,Dragonslayer,0100,Dragonslayer 0100,dragonslayer_0100,0100,dragonslayer_0100_npc_00,0100_npc_00,0100,0100,,3,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Who might you be?,Who might you be?,gamedata/localizationstring_eng.paloc
dragonslayer_0100_npc_00_00004,dragonslayer,Dragonslayer,Scene Dialogue,Dragonslayer,Dragonslayer,0100,Dragonslayer 0100,dragonslayer_0100,0100,dragonslayer_0100_npc_00,0100_npc_00,0100,0100,,4,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Oh, you must be the one the count mentioned.","Oh, you must be the one the count mentioned.",gamedata/localizationstring_eng.paloc
dragonslayer_0100_npc_00_00005,dragonslayer,Dragonslayer,Scene Dialogue,Dragonslayer,Dragonslayer,0100,Dragonslayer 0100,dragonslayer_0100,0100,dragonslayer_0100_npc_00,0100_npc_00,0100,0100,,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,There's a document he wanted me to give you.,There's a document he wanted me to give you.,gamedata/localizationstring_eng.paloc
dragonslayer_0100_npc_00_00006,dragonslayer,Dragonslayer,Scene Dialogue,Dragonslayer,Dragonslayer,0100,Dragonslayer 0100,dragonslayer_0100,0100,dragonslayer_0100_npc_00,0100_npc_00,0100,0100,,6,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,But... A man should be compensated for his time... Hehehe...,But... A man should be compensated for his time... Hehehe...,gamedata/localizationstring_eng.paloc
dragonslayer_0100_npc_00_00007,dragonslayer,Dragonslayer,Scene Dialogue,Dragonslayer,Dragonslayer,0100,Dragonslayer 0100,dragonslayer_0100,0100,dragonslayer_0100_npc_00,0100_npc_00,0100,0100,,7,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,A saint you are.,A saint you are.,gamedata/localizationstring_eng.paloc
dragonslayer_0100_npc_00_00008,dragonslayer,Dragonslayer,Scene Dialogue,Dragonslayer,Dragonslayer,0100,Dragonslayer 0100,dragonslayer_0100,0100,dragonslayer_0100_npc_00,0100_npc_00,0100,0100,,8,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Here you go.,Here you go.,gamedata/localizationstring_eng.paloc
dragonslayer_0100_npc_00_00009,dragonslayer,Dragonslayer,Scene Dialogue,Dragonslayer,Dragonslayer,0100,Dragonslayer 0100,dragonslayer_0100,0100,dragonslayer_0100_npc_00,0100_npc_00,0100,0100,,9,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Oh, give the count my regards. And keep this little exchange between us.","Oh, give the count my regards. And keep this little exchange between us.",gamedata/localizationstring_eng.paloc
dragonslayer_0100_player_00001,dragonslayer,Dragonslayer,Scene Dialogue,Dragonslayer,Dragonslayer,0100,Dragonslayer 0100,dragonslayer_0100,0100,dragonslayer_0100_player,0100_player,0100,0100,,1,player,,player,Player,Player,Player,,role,,A Greymane.,A Greymane.,gamedata/localizationstring_eng.paloc
dragonslayer_0100_player_00002,dragonslayer,Dragonslayer,Scene Dialogue,Dragonslayer,Dragonslayer,0100,Dragonslayer 0100,dragonslayer_0100,0100,dragonslayer_0100_player,0100_player,0100,0100,,2,player,,player,Player,Player,Player,,role,,Of course...,Of course...,gamedata/localizationstring_eng.paloc
dragonslayer_0400_enemy_00_00001,dragonslayer,Dragonslayer,Scene Dialogue,Dragonslayer,Dragonslayer,0400,Dragonslayer 0400,dragonslayer_0400,0400,dragonslayer_0400_enemy_00,0400_enemy_00,0400,0400,,1,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,They stole the weapon!,They stole the weapon!,gamedata/localizationstring_eng.paloc
dragonslayer_0400_enemy_00_00002,dragonslayer,Dragonslayer,Scene Dialogue,Dragonslayer,Dragonslayer,0400,Dragonslayer 0400,dragonslayer_0400,0400,dragonslayer_0400_enemy_00,0400_enemy_00,0400,0400,,2,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,Bring back Lord Tristan's weapon!,Bring back Lord Tristan's weapon!,gamedata/localizationstring_eng.paloc
dragonslayer_9000_boss_00_00015,dragonslayer,Dragonslayer,Scene Dialogue,Dragonslayer,Dragonslayer,9000,Dragonslayer 9000,dragonslayer_9000,9000,dragonslayer_9000_boss_00,9000_boss_00,9000,9000,,15,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,You tear through my knights and my castle!,You tear through my knights and my castle!,gamedata/localizationstring_eng.paloc
dragonslayer_9000_boss_00_00016,dragonslayer,Dragonslayer,Scene Dialogue,Dragonslayer,Dragonslayer,9000,Dragonslayer 9000,dragonslayer_9000,9000,dragonslayer_9000_boss_00,9000_boss_00,9000,9000,,16,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,"You've got guts, I'll give you that!","You've got guts, I'll give you that!",gamedata/localizationstring_eng.paloc
dragonslayer_9000_boss_00_00017,dragonslayer,Dragonslayer,Scene Dialogue,Dragonslayer,Dragonslayer,9000,Dragonslayer 9000,dragonslayer_9000,9000,dragonslayer_9000_boss_00,9000_boss_00,9000,9000,,17,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,I know exactly who you are!,I know exactly who you are!,gamedata/localizationstring_eng.paloc
dragonslayer_9000_boss_00_00018,dragonslayer,Dragonslayer,Scene Dialogue,Dragonslayer,Dragonslayer,9000,Dragonslayer 9000,dragonslayer_9000,9000,dragonslayer_9000_boss_00,9000_boss_00,9000,9000,,18,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Just another jealous bastard's pawn!,Just another jealous bastard's pawn!,gamedata/localizationstring_eng.paloc
dragonslayer_9000_boss_00_00019,dragonslayer,Dragonslayer,Scene Dialogue,Dragonslayer,Dragonslayer,9000,Dragonslayer 9000,dragonslayer_9000,9000,dragonslayer_9000_boss_00,9000_boss_00,9000,9000,,19,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,But I have slain dragons!,But I have slain dragons!,gamedata/localizationstring_eng.paloc
dragonslayer_9000_boss_00_00020,dragonslayer,Dragonslayer,Scene Dialogue,Dragonslayer,Dragonslayer,9000,Dragonslayer 9000,dragonslayer_9000,9000,dragonslayer_9000_boss_00,9000_boss_00,9000,9000,,20,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,And I'll use its power to incinerate all obstacles!,And I'll use its power to incinerate all obstacles!,gamedata/localizationstring_eng.paloc
dragonslayer_9000_boss_00_00021,dragonslayer,Dragonslayer,Scene Dialogue,Dragonslayer,Dragonslayer,9000,Dragonslayer 9000,dragonslayer_9000,9000,dragonslayer_9000_boss_00,9000_boss_00,9000,9000,,21,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Its flames will consume you!,Its flames will consume you!,gamedata/localizationstring_eng.paloc
dragonslayer_9000_boss_00_00022,dragonslayer,Dragonslayer,Scene Dialogue,Dragonslayer,Dragonslayer,9000,Dragonslayer 9000,dragonslayer_9000,9000,dragonslayer_9000_boss_00,9000_boss_00,9000,9000,,22,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,My flame... still burns...!,My flame... still burns...!,gamedata/localizationstring_eng.paloc
