key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
enc_ocumer_000_00_npc_00_00015,enc,Enc,Scene Dialogue,Enc,Enc,000,Enc 000,enc_ocumer_000_00,ocumer_000_00,enc_ocumer_000_00_npc_00,ocumer_000_00_npc_00,ocumer_000_00,ocumer,000_00,15,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Strength is the ultimate truth.,Strength is the ultimate truth.,gamedata/localizationstring_eng.paloc
enc_ocumer_000_00_npc_00_00016,enc,Enc,Scene Dialogue,Enc,Enc,000,Enc 000,enc_ocumer_000_00,ocumer_000_00,enc_ocumer_000_00_npc_00,ocumer_000_00_npc_00,ocumer_000_00,ocumer,000_00,16,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,All truth flows from strength.,All truth flows from strength.,gamedata/localizationstring_eng.paloc
enc_ocumer_000_00_npc_00_00017,enc,Enc,Scene Dialogue,Enc,Enc,000,Enc 000,enc_ocumer_000_00,ocumer_000_00,enc_ocumer_000_00_npc_00,ocumer_000_00_npc_00,ocumer_000_00,ocumer,000_00,17,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,A maelstrom of chaos shakes this world to its core.,A maelstrom of chaos shakes this world to its core.,gamedata/localizationstring_eng.paloc
enc_ocumer_000_00_npc_00_00018,enc,Enc,Scene Dialogue,Enc,Enc,000,Enc 000,enc_ocumer_000_00,ocumer_000_00,enc_ocumer_000_00_npc_00,ocumer_000_00_npc_00,ocumer_000_00,ocumer,000_00,18,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"In the shadow of injustice,","In the shadow of injustice,",gamedata/localizationstring_eng.paloc
enc_ocumer_000_00_npc_00_00019,enc,Enc,Scene Dialogue,Enc,Enc,000,Enc 000,enc_ocumer_000_00,ocumer_000_00,enc_ocumer_000_00_npc_00,ocumer_000_00_npc_00,ocumer_000_00,ocumer,000_00,19,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,only strength can rekindle the light once more.,only strength can rekindle the light once more.,gamedata/localizationstring_eng.paloc
enc_ocumer_000_00_npc_00_00020,enc,Enc,Scene Dialogue,Enc,Enc,000,Enc 000,enc_ocumer_000_00,ocumer_000_00,enc_ocumer_000_00_npc_00,ocumer_000_00_npc_00,ocumer_000_00,ocumer,000_00,20,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Stranger, do you see things as I do?","Stranger, do you see things as I do?",gamedata/localizationstring_eng.paloc
enc_ocumer_000_00_npc_00_00021,enc,Enc,Scene Dialogue,Enc,Enc,000,Enc 000,enc_ocumer_000_00,ocumer_000_00,enc_ocumer_000_00_npc_00,ocumer_000_00_npc_00,ocumer_000_00,ocumer,000_00,21,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Fool!,Fool!,gamedata/localizationstring_eng.paloc
enc_ocumer_000_00_npc_00_00022,enc,Enc,Scene Dialogue,Enc,Enc,000,Enc 000,enc_ocumer_000_00,ocumer_000_00,enc_ocumer_000_00_npc_00,ocumer_000_00_npc_00,ocumer_000_00,ocumer,000_00,22,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Ideals without strength are nothing but meaningless fantasies!,Ideals without strength are nothing but meaningless fantasies!,gamedata/localizationstring_eng.paloc
enc_ocumer_000_00_npc_00_00023,enc,Enc,Scene Dialogue,Enc,Enc,000,Enc 000,enc_ocumer_000_00,ocumer_000_00,enc_ocumer_000_00_npc_00,ocumer_000_00_npc_00,ocumer_000_00,ocumer,000_00,23,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,The world listens only to the voices of the strong.,The world listens only to the voices of the strong.,gamedata/localizationstring_eng.paloc
enc_ocumer_000_00_npc_00_00024,enc,Enc,Scene Dialogue,Enc,Enc,000,Enc 000,enc_ocumer_000_00,ocumer_000_00,enc_ocumer_000_00_npc_00,ocumer_000_00_npc_00,ocumer_000_00,ocumer,000_00,24,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,The words of the weak never carry far.,The words of the weak never carry far.,gamedata/localizationstring_eng.paloc
