key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
entrance_her_asylum_01_npc_00057,entrance,Entrance,Scene Dialogue,Entrance,Entrance,01,Entrance 01,entrance_her_asylum_01,her_asylum_01,entrance_her_asylum_01_npc,her_asylum_01_npc,her_asylum_01,her,asylum_01,57,npc,,npc,NPC,NPC,NPC,,role,,Stop right there!,Stop right there!,gamedata/localizationstring_eng.paloc
entrance_her_asylum_01_npc_00058,entrance,Entrance,Scene Dialogue,Entrance,Entrance,01,Entrance 01,entrance_her_asylum_01,her_asylum_01,entrance_her_asylum_01_npc,her_asylum_01_npc,her_asylum_01,her,asylum_01,58,npc,,npc,NPC,NPC,NPC,,role,,Who are you?,Who are you?,gamedata/localizationstring_eng.paloc
entrance_her_asylum_01_npc_00059,entrance,Entrance,Scene Dialogue,Entrance,Entrance,01,Entrance 01,entrance_her_asylum_01,her_asylum_01,entrance_her_asylum_01_npc,her_asylum_01_npc,her_asylum_01,her,asylum_01,59,npc,,npc,NPC,NPC,NPC,,role,,Show your pass.,Show your pass.,gamedata/localizationstring_eng.paloc
entrance_her_asylum_01_npc_00060,entrance,Entrance,Scene Dialogue,Entrance,Entrance,01,Entrance 01,entrance_her_asylum_01,her_asylum_01,entrance_her_asylum_01_npc,her_asylum_01_npc,her_asylum_01,her,asylum_01,60,npc,,npc,NPC,NPC,NPC,,role,,"You have a pass, don't you?","You have a pass, don't you?",gamedata/localizationstring_eng.paloc
entrance_her_asylum_01_npc_00061,entrance,Entrance,Scene Dialogue,Entrance,Entrance,01,Entrance 01,entrance_her_asylum_01,her_asylum_01,entrance_her_asylum_01_npc,her_asylum_01_npc,her_asylum_01,her,asylum_01,61,npc,,npc,NPC,NPC,NPC,,role,,"Need a pass to enter, no exceptions!","Need a pass to enter, no exceptions!",gamedata/localizationstring_eng.paloc
entrance_her_asylum_01_npc_00062,entrance,Entrance,Scene Dialogue,Entrance,Entrance,01,Entrance 01,entrance_her_asylum_01,her_asylum_01,entrance_her_asylum_01_npc,her_asylum_01_npc,her_asylum_01,her,asylum_01,62,npc,,npc,NPC,NPC,NPC,,role,,You need a pass to get in!,You need a pass to get in!,gamedata/localizationstring_eng.paloc
entrance_her_asylum_01_npc_00063,entrance,Entrance,Scene Dialogue,Entrance,Entrance,01,Entrance 01,entrance_her_asylum_01,her_asylum_01,entrance_her_asylum_01_npc,her_asylum_01_npc,her_asylum_01,her,asylum_01,63,npc,,npc,NPC,NPC,NPC,,role,,You can't just barge in!,You can't just barge in!,gamedata/localizationstring_eng.paloc
entrance_her_asylum_01_npc_00064,entrance,Entrance,Scene Dialogue,Entrance,Entrance,01,Entrance 01,entrance_her_asylum_01,her_asylum_01,entrance_her_asylum_01_npc,her_asylum_01_npc,her_asylum_01,her,asylum_01,64,npc,,npc,NPC,NPC,NPC,,role,,Oi! Come over here!,Oi! Come over here!,gamedata/localizationstring_eng.paloc
entrance_her_asylum_01_npc_00066,entrance,Entrance,Scene Dialogue,Entrance,Entrance,01,Entrance 01,entrance_her_asylum_01,her_asylum_01,entrance_her_asylum_01_npc,her_asylum_01_npc,her_asylum_01,her,asylum_01,66,npc,,npc,NPC,NPC,NPC,,role,,Someone's looking for trouble here!,Someone's looking for trouble here!,gamedata/localizationstring_eng.paloc
entrance_her_asylum_01_npc_00067,entrance,Entrance,Scene Dialogue,Entrance,Entrance,01,Entrance 01,entrance_her_asylum_01,her_asylum_01,entrance_her_asylum_01_npc,her_asylum_01_npc,her_asylum_01,her,asylum_01,67,npc,,npc,NPC,NPC,NPC,,role,,You took the words right out of my mouth.,You took the words right out of my mouth.,gamedata/localizationstring_eng.paloc
entrance_her_asylum_01_npc_00068,entrance,Entrance,Scene Dialogue,Entrance,Entrance,01,Entrance 01,entrance_her_asylum_01,her_asylum_01,entrance_her_asylum_01_npc,her_asylum_01_npc,her_asylum_01,her,asylum_01,68,npc,,npc,NPC,NPC,NPC,,role,,This is not your place.,This is not your place.,gamedata/localizationstring_eng.paloc
entrance_her_asylum_01_npc_00069,entrance,Entrance,Scene Dialogue,Entrance,Entrance,01,Entrance 01,entrance_her_asylum_01,her_asylum_01,entrance_her_asylum_01_npc,her_asylum_01_npc,her_asylum_01,her,asylum_01,69,npc,,npc,NPC,NPC,NPC,,role,,Where's that yapping coming from?,Where's that yapping coming from?,gamedata/localizationstring_eng.paloc
entrance_her_asylum_01_npc_00070,entrance,Entrance,Scene Dialogue,Entrance,Entrance,01,Entrance 01,entrance_her_asylum_01,her_asylum_01,entrance_her_asylum_01_npc,her_asylum_01_npc,her_asylum_01,her,asylum_01,70,npc,,npc,NPC,NPC,NPC,,role,,Doesn't have a pass. Toss 'em out.,Doesn't have a pass. Toss 'em out.,gamedata/localizationstring_eng.paloc
entrance_her_asylum_01_npc_00071,entrance,Entrance,Scene Dialogue,Entrance,Entrance,01,Entrance 01,entrance_her_asylum_01,her_asylum_01,entrance_her_asylum_01_npc,her_asylum_01_npc,her_asylum_01,her,asylum_01,71,npc,,npc,NPC,NPC,NPC,,role,,"If you want to go in, you need a pass!","If you want to go in, you need a pass!",gamedata/localizationstring_eng.paloc
entrance_her_asylum_01_npc_00072,entrance,Entrance,Scene Dialogue,Entrance,Entrance,01,Entrance 01,entrance_her_asylum_01,her_asylum_01,entrance_her_asylum_01_npc,her_asylum_01_npc,her_asylum_01,her,asylum_01,72,npc,,npc,NPC,NPC,NPC,,role,,"We got rules here, get out!","We got rules here, get out!",gamedata/localizationstring_eng.paloc
entrance_her_asylum_01_npc_00073,entrance,Entrance,Scene Dialogue,Entrance,Entrance,01,Entrance 01,entrance_her_asylum_01,her_asylum_01,entrance_her_asylum_01_npc,her_asylum_01_npc,her_asylum_01,her,asylum_01,73,npc,,npc,NPC,NPC,NPC,,role,,Don't even think about trying to sneak in!,Don't even think about trying to sneak in!,gamedata/localizationstring_eng.paloc
entrance_her_asylum_01_npc_00074,entrance,Entrance,Scene Dialogue,Entrance,Entrance,01,Entrance 01,entrance_her_asylum_01,her_asylum_01,entrance_her_asylum_01_npc,her_asylum_01_npc,her_asylum_01,her,asylum_01,74,npc,,npc,NPC,NPC,NPC,,role,,"I'll find you, kick you out myself!","I'll find you, kick you out myself!",gamedata/localizationstring_eng.paloc
entrance_her_asylum_01_npc_00075,entrance,Entrance,Scene Dialogue,Entrance,Entrance,01,Entrance 01,entrance_her_asylum_01,her_asylum_01,entrance_her_asylum_01_npc,her_asylum_01_npc,her_asylum_01,her,asylum_01,75,npc,,npc,NPC,NPC,NPC,,role,,Our guards are all over the place.,Our guards are all over the place.,gamedata/localizationstring_eng.paloc
entrance_her_asylum_01_npc_00076,entrance,Entrance,Scene Dialogue,Entrance,Entrance,01,Entrance 01,entrance_her_asylum_01,her_asylum_01,entrance_her_asylum_01_npc,her_asylum_01_npc,her_asylum_01,her,asylum_01,76,npc,,npc,NPC,NPC,NPC,,role,,"It's not just me here, you know!","It's not just me here, you know!",gamedata/localizationstring_eng.paloc
entrance_her_asylum_01_npc_00077,entrance,Entrance,Scene Dialogue,Entrance,Entrance,01,Entrance 01,entrance_her_asylum_01,her_asylum_01,entrance_her_asylum_01_npc,her_asylum_01_npc,her_asylum_01,her,asylum_01,77,npc,,npc,NPC,NPC,NPC,,role,,Are you having a problem understanding?,Are you having a problem understanding?,gamedata/localizationstring_eng.paloc
entrance_her_asylum_01_npc_00078,entrance,Entrance,Scene Dialogue,Entrance,Entrance,01,Entrance 01,entrance_her_asylum_01,her_asylum_01,entrance_her_asylum_01_npc,her_asylum_01_npc,her_asylum_01,her,asylum_01,78,npc,,npc,NPC,NPC,NPC,,role,,"You're bold, I'll give you that.","You're bold, I'll give you that.",gamedata/localizationstring_eng.paloc
entrance_her_asylum_01_npc_00079,entrance,Entrance,Scene Dialogue,Entrance,Entrance,01,Entrance 01,entrance_her_asylum_01,her_asylum_01,entrance_her_asylum_01_npc,her_asylum_01_npc,her_asylum_01,her,asylum_01,79,npc,,npc,NPC,NPC,NPC,,role,,You're testing my patience.,You're testing my patience.,gamedata/localizationstring_eng.paloc
entrance_her_asylum_01_npc_00080,entrance,Entrance,Scene Dialogue,Entrance,Entrance,01,Entrance 01,entrance_her_asylum_01,her_asylum_01,entrance_her_asylum_01_npc,her_asylum_01_npc,her_asylum_01,her,asylum_01,80,npc,,npc,NPC,NPC,NPC,,role,,"Throw 'em out, now!","Throw 'em out, now!",gamedata/localizationstring_eng.paloc
entrance_her_asylum_01_npc_00081,entrance,Entrance,Scene Dialogue,Entrance,Entrance,01,Entrance 01,entrance_her_asylum_01,her_asylum_01,entrance_her_asylum_01_npc,her_asylum_01_npc,her_asylum_01,her,asylum_01,81,npc,,npc,NPC,NPC,NPC,,role,,Get out of my sight!,Get out of my sight!,gamedata/localizationstring_eng.paloc
entrance_her_asylum_01_npc_00082,entrance,Entrance,Scene Dialogue,Entrance,Entrance,01,Entrance 01,entrance_her_asylum_01,her_asylum_01,entrance_her_asylum_01_npc,her_asylum_01_npc,her_asylum_01,her,asylum_01,82,npc,,npc,NPC,NPC,NPC,,role,,Bad luck arriving at our gates.,Bad luck arriving at our gates.,gamedata/localizationstring_eng.paloc
entrance_her_asylum_01_npc_00083,entrance,Entrance,Scene Dialogue,Entrance,Entrance,01,Entrance 01,entrance_her_asylum_01,her_asylum_01,entrance_her_asylum_01_npc,her_asylum_01_npc,her_asylum_01,her,asylum_01,83,npc,,npc,NPC,NPC,NPC,,role,,Halt!,Halt!,gamedata/localizationstring_eng.paloc
entrance_her_asylum_01_npc_00084,entrance,Entrance,Scene Dialogue,Entrance,Entrance,01,Entrance 01,entrance_her_asylum_01,her_asylum_01,entrance_her_asylum_01_npc,her_asylum_01_npc,her_asylum_01,her,asylum_01,84,npc,,npc,NPC,NPC,NPC,,role,,Haven't seen you before.,Haven't seen you before.,gamedata/localizationstring_eng.paloc
entrance_her_asylum_01_npc_00085,entrance,Entrance,Scene Dialogue,Entrance,Entrance,01,Entrance 01,entrance_her_asylum_01,her_asylum_01,entrance_her_asylum_01_npc,her_asylum_01_npc,her_asylum_01,her,asylum_01,85,npc,,npc,NPC,NPC,NPC,,role,,Hmm... shouldn't be a problem.,Hmm... shouldn't be a problem.,gamedata/localizationstring_eng.paloc
entrance_her_asylum_01_npc_00086,entrance,Entrance,Scene Dialogue,Entrance,Entrance,01,Entrance 01,entrance_her_asylum_01,her_asylum_01,entrance_her_asylum_01_npc,her_asylum_01_npc,her_asylum_01,her,asylum_01,86,npc,,npc,NPC,NPC,NPC,,role,,You can go in.,You can go in.,gamedata/localizationstring_eng.paloc
