key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
epilogue_0100_globalgametrack_00012,epilogue,Epilogue,Cutscene,Epilogue,Epilogue,0100,Epilogue 0100,epilogue_0100,0100,epilogue_0100_globalgametrack,0100_globalgametrack,0100,0100,,12,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,"Tell me, how are you holding up?","Tell me, how are you holding up?",gamedata/localizationstring_eng.paloc
epilogue_0100_globalgametrack_00013,epilogue,Epilogue,Cutscene,Epilogue,Epilogue,0100,Epilogue 0100,epilogue_0100,0100,epilogue_0100_globalgametrack,0100_globalgametrack,0100,0100,,13,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,"A little tired, that's all.","A little tired, that's all.",gamedata/localizationstring_eng.paloc
epilogue_0100_globalgametrack_00014,epilogue,Epilogue,Cutscene,Epilogue,Epilogue,0100,Epilogue 0100,epilogue_0100,0100,epilogue_0100_globalgametrack,0100_globalgametrack,0100,0100,,14,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,You look... weathered.,You look... weathered.,gamedata/localizationstring_eng.paloc
epilogue_0100_globalgametrack_00015,epilogue,Epilogue,Cutscene,Epilogue,Epilogue,0100,Epilogue 0100,epilogue_0100,0100,epilogue_0100_globalgametrack,0100_globalgametrack,0100,0100,,15,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,I've weathered a lot.,I've weathered a lot.,gamedata/localizationstring_eng.paloc
epilogue_0100_globalgametrack_00016,epilogue,Epilogue,Cutscene,Epilogue,Epilogue,0100,Epilogue 0100,epilogue_0100,0100,epilogue_0100_globalgametrack,0100_globalgametrack,0100,0100,,16,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,The banter's new.,The banter's new.,gamedata/localizationstring_eng.paloc
epilogue_0100_npc_00_00006,epilogue,Epilogue,Cutscene,Epilogue,Epilogue,0100,Epilogue 0100,epilogue_0100,0100,epilogue_0100_npc_00,0100_npc_00,0100,0100,,6,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,Knowledge:Knowledge_Kliff:Kliff,{Staticinfo:Knowledge:Knowledge_Kliff#Kliff}.,{Staticinfo:Knowledge:Knowledge_Kliff#Kliff}.,gamedata/localizationstring_eng.paloc
epilogue_0100_npc_00_00007,epilogue,Epilogue,Cutscene,Epilogue,Epilogue,0100,Epilogue 0100,epilogue_0100,0100,epilogue_0100_npc_00,0100_npc_00,0100,0100,,7,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,You've decided then?,You've decided then?,gamedata/localizationstring_eng.paloc
epilogue_0100_npc_00_00008,epilogue,Epilogue,Cutscene,Epilogue,Epilogue,0100,Epilogue 0100,epilogue_0100,0100,epilogue_0100_npc_00,0100_npc_00,0100,0100,,8,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,No need to rush it.,No need to rush it.,gamedata/localizationstring_eng.paloc
epilogue_0100_npc_00_00009,epilogue,Epilogue,Cutscene,Epilogue,Epilogue,0100,Epilogue 0100,epilogue_0100,0100,epilogue_0100_npc_00,0100_npc_00,0100,0100,,9,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,They'll be fine.,They'll be fine.,gamedata/localizationstring_eng.paloc
epilogue_0100_npc_00_00010,epilogue,Epilogue,Cutscene,Epilogue,Epilogue,0100,Epilogue 0100,epilogue_0100,0100,epilogue_0100_npc_00,0100_npc_00,0100,0100,,10,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Let's go.,Let's go.,gamedata/localizationstring_eng.paloc
epilogue_0100_npc_00_00011,epilogue,Epilogue,Cutscene,Epilogue,Epilogue,0100,Epilogue 0100,epilogue_0100,0100,epilogue_0100_npc_00,0100_npc_00,0100,0100,,11,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,This way.,This way.,gamedata/localizationstring_eng.paloc
epilogue_0100_npc_00_00031,epilogue,Epilogue,Cutscene,Epilogue,Epilogue,0100,Epilogue 0100,epilogue_0100,0100,epilogue_0100_npc_00,0100_npc_00,0100,0100,,31,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,It's what we do.,It's what we do.,gamedata/localizationstring_eng.paloc
epilogue_0100_npc_00_00032,epilogue,Epilogue,Cutscene,Epilogue,Epilogue,0100,Epilogue 0100,epilogue_0100,0100,epilogue_0100_npc_00,0100_npc_00,0100,0100,,32,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Brother, take care of yourself.","Brother, take care of yourself.",gamedata/localizationstring_eng.paloc
epilogue_0100_npc_00_00033,epilogue,Epilogue,Cutscene,Epilogue,Epilogue,0100,Epilogue 0100,epilogue_0100,0100,epilogue_0100_npc_00,0100_npc_00,0100,0100,,33,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Mm.,Mm.,gamedata/localizationstring_eng.paloc
epilogue_0100_player_00001,epilogue,Epilogue,Cutscene,Epilogue,Epilogue,0100,Epilogue 0100,epilogue_0100,0100,epilogue_0100_player,0100_player,0100,0100,,1,player,,player,Player,Player,Player,,role,,,,gamedata/localizationstring_eng.paloc
epilogue_0100_player_00002,epilogue,Epilogue,Cutscene,Epilogue,Epilogue,0100,Epilogue 0100,epilogue_0100,0100,epilogue_0100_player,0100_player,0100,0100,,2,player,,player,Player,Player,Player,,role,,,,gamedata/localizationstring_eng.paloc
epilogue_0100_player_00003,epilogue,Epilogue,Cutscene,Epilogue,Epilogue,0100,Epilogue 0100,epilogue_0100,0100,epilogue_0100_player,0100_player,0100,0100,,3,player,,player,Player,Player,Player,,role,,Today's the day.,Today's the day.,gamedata/localizationstring_eng.paloc
epilogue_0100_player_00004,epilogue,Epilogue,Cutscene,Epilogue,Epilogue,0100,Epilogue 0100,epilogue_0100,0100,epilogue_0100_player,0100_player,0100,0100,,4,player,,player,Player,Player,Player,,role,,I'm ready. How are the others?,I'm ready. How are the others?,gamedata/localizationstring_eng.paloc
epilogue_0100_player_00005,epilogue,Epilogue,Cutscene,Epilogue,Epilogue,0100,Epilogue 0100,epilogue_0100,0100,epilogue_0100_player,0100_player,0100,0100,,5,player,,player,Player,Player,Player,,role,,,,gamedata/localizationstring_eng.paloc
epilogue_0100_subtitlegroup_00017,epilogue,Epilogue,Cutscene,Epilogue,Epilogue,0100,Epilogue 0100,epilogue_0100,0100,epilogue_0100_subtitlegroup,0100_subtitlegroup,0100,0100,,17,subtitlegroup,,subtitlegroup,Subtitle Group,Subtitle Group,Subtitle Group,,role,,We haven't had a moment's pause since that night.,We haven't had a moment's pause since that night.,gamedata/localizationstring_eng.paloc
epilogue_0100_subtitlegroup_00018,epilogue,Epilogue,Cutscene,Epilogue,Epilogue,0100,Epilogue 0100,epilogue_0100,0100,epilogue_0100_subtitlegroup,0100_subtitlegroup,0100,0100,,18,subtitlegroup,,subtitlegroup,Subtitle Group,Subtitle Group,Subtitle Group,,role,,Peace and calm were strangers to us.,Peace and calm were strangers to us.,gamedata/localizationstring_eng.paloc
epilogue_0100_subtitlegroup_00019,epilogue,Epilogue,Cutscene,Epilogue,Epilogue,0100,Epilogue 0100,epilogue_0100,0100,epilogue_0100_subtitlegroup,0100_subtitlegroup,0100,0100,,19,subtitlegroup,,subtitlegroup,Subtitle Group,Subtitle Group,Subtitle Group,,role,,"We all carried that night with us, every step of the way...","We all carried that night with us, every step of the way...",gamedata/localizationstring_eng.paloc
epilogue_0100_subtitlegroup_00020,epilogue,Epilogue,Cutscene,Epilogue,Epilogue,0100,Epilogue 0100,epilogue_0100,0100,epilogue_0100_subtitlegroup,0100_subtitlegroup,0100,0100,,20,subtitlegroup,,subtitlegroup,Subtitle Group,Subtitle Group,Subtitle Group,,role,,"But now, the Greymanes can lay that burden down.","But now, the Greymanes can lay that burden down.",gamedata/localizationstring_eng.paloc
epilogue_0100_subtitlegroup_00021,epilogue,Epilogue,Cutscene,Epilogue,Epilogue,0100,Epilogue 0100,epilogue_0100,0100,epilogue_0100_subtitlegroup,0100_subtitlegroup,0100,0100,,21,subtitlegroup,,subtitlegroup,Subtitle Group,Subtitle Group,Subtitle Group,,role,,Thanks to you.,Thanks to you.,gamedata/localizationstring_eng.paloc
epilogue_0100_subtitlegroup_00022,epilogue,Epilogue,Cutscene,Epilogue,Epilogue,0100,Epilogue 0100,epilogue_0100,0100,epilogue_0100_subtitlegroup,0100_subtitlegroup,0100,0100,,22,subtitlegroup,,subtitlegroup,Subtitle Group,Subtitle Group,Subtitle Group,,role,,"Kliff, it's time to lay down the burden you carry.","Kliff, it's time to lay down the burden you carry.",gamedata/localizationstring_eng.paloc
epilogue_0100_subtitlegroup_00023,epilogue,Epilogue,Cutscene,Epilogue,Epilogue,0100,Epilogue 0100,epilogue_0100,0100,epilogue_0100_subtitlegroup,0100_subtitlegroup,0100,0100,,23,subtitlegroup,,subtitlegroup,Subtitle Group,Subtitle Group,Subtitle Group,,role,,Be free.,Be free.,gamedata/localizationstring_eng.paloc
epilogue_0100_subtitlegroup_00024,epilogue,Epilogue,Cutscene,Epilogue,Epilogue,0100,Epilogue 0100,epilogue_0100,0100,epilogue_0100_subtitlegroup,0100_subtitlegroup,0100,0100,,24,subtitlegroup,,subtitlegroup,Subtitle Group,Subtitle Group,Subtitle Group,,role,,Oongka.,Oongka.,gamedata/localizationstring_eng.paloc
epilogue_0100_subtitlegroup_00025,epilogue,Epilogue,Cutscene,Epilogue,Epilogue,0100,Epilogue 0100,epilogue_0100,0100,epilogue_0100_subtitlegroup,0100_subtitlegroup,0100,0100,,25,subtitlegroup,,subtitlegroup,Subtitle Group,Subtitle Group,Subtitle Group,,role,,You've always stood by me. Thank you.,You've always stood by me. Thank you.,gamedata/localizationstring_eng.paloc
epilogue_0100_subtitlegroup_00027,epilogue,Epilogue,Cutscene,Epilogue,Epilogue,0100,Epilogue 0100,epilogue_0100,0100,epilogue_0100_subtitlegroup,0100_subtitlegroup,0100,0100,,27,subtitlegroup,,subtitlegroup,Subtitle Group,Subtitle Group,Subtitle Group,,role,Knowledge:Knowledge_Kliff:Kliff,{Staticinfo:Knowledge:Knowledge_Kliff#Kliff}?,{Staticinfo:Knowledge:Knowledge_Kliff#Kliff}?,gamedata/localizationstring_eng.paloc
