key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
extinguishedfire_mountain_9000_enemy_00_00007,extinguishedfire,Extinguishedfire,Scene Dialogue,Extinguishedfire,Extinguishedfire,9000,Extinguishedfire 9000,extinguishedfire_mountain_9000,mountain_9000,extinguishedfire_mountain_9000_enemy_00,mountain_9000_enemy_00,mountain_9000,mountain,9000,7,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,"With the blood of the living, we open this passage,","With the blood of the living, we open this passage,",gamedata/localizationstring_eng.paloc
extinguishedfire_mountain_9000_enemy_00_00008,extinguishedfire,Extinguishedfire,Scene Dialogue,Extinguishedfire,Extinguishedfire,9000,Extinguishedfire 9000,extinguishedfire_mountain_9000,mountain_9000,extinguishedfire_mountain_9000_enemy_00,mountain_9000_enemy_00,mountain_9000,mountain,9000,8,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,"O gods, hear our call.","O gods, hear our call.",gamedata/localizationstring_eng.paloc
extinguishedfire_mountain_9000_enemy_00_00009,extinguishedfire,Extinguishedfire,Scene Dialogue,Extinguishedfire,Extinguishedfire,9000,Extinguishedfire 9000,extinguishedfire_mountain_9000,mountain_9000,extinguishedfire_mountain_9000_enemy_00,mountain_9000_enemy_00,mountain_9000,mountain,9000,9,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,(Chanting together),(Chanting together),gamedata/localizationstring_eng.paloc
extinguishedfire_mountain_9000_enemy_00_00010,extinguishedfire,Extinguishedfire,Scene Dialogue,Extinguishedfire,Extinguishedfire,9000,Extinguishedfire 9000,extinguishedfire_mountain_9000,mountain_9000,extinguishedfire_mountain_9000_enemy_00,mountain_9000_enemy_00,mountain_9000,mountain,9000,10,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,"O Black Knight, bless this land with your being...","O Black Knight, bless this land with your being...",gamedata/localizationstring_eng.paloc
extinguishedfire_mountain_9000_npc_00_00002,extinguishedfire,Extinguishedfire,Scene Dialogue,Extinguishedfire,Extinguishedfire,9000,Extinguishedfire 9000,extinguishedfire_mountain_9000,mountain_9000,extinguishedfire_mountain_9000_npc_00,mountain_9000_npc_00,mountain_9000,mountain,9000,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Let go of me, stop!","Let go of me, stop!",gamedata/localizationstring_eng.paloc
extinguishedfire_mountain_9000_npc_00_00003,extinguishedfire,Extinguishedfire,Scene Dialogue,Extinguishedfire,Extinguishedfire,9000,Extinguishedfire 9000,extinguishedfire_mountain_9000,mountain_9000,extinguishedfire_mountain_9000_npc_00,mountain_9000_npc_00,mountain_9000,mountain,9000,3,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Somebody help!,Somebody help!,gamedata/localizationstring_eng.paloc
extinguishedfire_mountain_9000_npc_00_00004,extinguishedfire,Extinguishedfire,Scene Dialogue,Extinguishedfire,Extinguishedfire,9000,Extinguishedfire 9000,extinguishedfire_mountain_9000,mountain_9000,extinguishedfire_mountain_9000_npc_00,mountain_9000_npc_00,mountain_9000,mountain,9000,4,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Please, anyone!","Please, anyone!",gamedata/localizationstring_eng.paloc
extinguishedfire_mountain_9000_npc_00_00005,extinguishedfire,Extinguishedfire,Scene Dialogue,Extinguishedfire,Extinguishedfire,9000,Extinguishedfire 9000,extinguishedfire_mountain_9000,mountain_9000,extinguishedfire_mountain_9000_npc_00,mountain_9000_npc_00,mountain_9000,mountain,9000,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Aaah! Help me!,Aaah! Help me!,gamedata/localizationstring_eng.paloc
extinguishedfire_mountain_9000_npc_00_00006,extinguishedfire,Extinguishedfire,Scene Dialogue,Extinguishedfire,Extinguishedfire,9000,Extinguishedfire 9000,extinguishedfire_mountain_9000,mountain_9000,extinguishedfire_mountain_9000_npc_00,mountain_9000_npc_00,mountain_9000,mountain,9000,6,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
extinguishedfire_mountain_9000_npc_00_00015,extinguishedfire,Extinguishedfire,Scene Dialogue,Extinguishedfire,Extinguishedfire,9000,Extinguishedfire 9000,extinguishedfire_mountain_9000,mountain_9000,extinguishedfire_mountain_9000_npc_00,mountain_9000_npc_00,mountain_9000,mountain,9000,15,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
extinguishedfire_mountain_9000_player_00000,extinguishedfire,Extinguishedfire,Scene Dialogue,Extinguishedfire,Extinguishedfire,9000,Extinguishedfire 9000,extinguishedfire_mountain_9000,mountain_9000,extinguishedfire_mountain_9000_player,mountain_9000_player,mountain_9000,mountain,9000,0,player,,player,Player,Player,Player,,role,,,,gamedata/localizationstring_eng.paloc
extinguishedfire_mountain_9000_player_00001,extinguishedfire,Extinguishedfire,Scene Dialogue,Extinguishedfire,Extinguishedfire,9000,Extinguishedfire 9000,extinguishedfire_mountain_9000,mountain_9000,extinguishedfire_mountain_9000_player,mountain_9000_player,mountain_9000,mountain,9000,1,player,,player,Player,Player,Player,,role,,Well aren't you full of surprises.,Well aren't you full of surprises.,gamedata/localizationstring_eng.paloc
extinguishedfire_mountain_9000_player_00011,extinguishedfire,Extinguishedfire,Scene Dialogue,Extinguishedfire,Extinguishedfire,9000,Extinguishedfire 9000,extinguishedfire_mountain_9000,mountain_9000,extinguishedfire_mountain_9000_player,mountain_9000_player,mountain_9000,mountain,9000,11,player,,player,Player,Player,Player,,role,,,,gamedata/localizationstring_eng.paloc
extinguishedfire_mountain_9000_player_00012,extinguishedfire,Extinguishedfire,Scene Dialogue,Extinguishedfire,Extinguishedfire,9000,Extinguishedfire 9000,extinguishedfire_mountain_9000,mountain_9000,extinguishedfire_mountain_9000_player,mountain_9000_player,mountain_9000,mountain,9000,12,player,,player,Player,Player,Player,,role,,,,gamedata/localizationstring_eng.paloc
extinguishedfire_mountain_9000_player_00013,extinguishedfire,Extinguishedfire,Scene Dialogue,Extinguishedfire,Extinguishedfire,9000,Extinguishedfire 9000,extinguishedfire_mountain_9000,mountain_9000,extinguishedfire_mountain_9000_player,mountain_9000_player,mountain_9000,mountain,9000,13,player,,player,Player,Player,Player,,role,,,,gamedata/localizationstring_eng.paloc
extinguishedfire_mountain_9000_player_00014,extinguishedfire,Extinguishedfire,Scene Dialogue,Extinguishedfire,Extinguishedfire,9000,Extinguishedfire 9000,extinguishedfire_mountain_9000,mountain_9000,extinguishedfire_mountain_9000_player,mountain_9000_player,mountain_9000,mountain,9000,14,player,,player,Player,Player,Player,,role,,,,gamedata/localizationstring_eng.paloc
