key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
faction_horpbothharpoonery_0000_npc_00_00005,faction,Faction,Scene Dialogue,Faction,Faction,0000,Faction 0000,faction_horpbothharpoonery_0000,horpbothharpoonery_0000,faction_horpbothharpoonery_0000_npc_00,horpbothharpoonery_0000_npc_00,horpbothharpoonery_0000,horpbothharpoonery,0000,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Shit!,Shit!,gamedata/localizationstring_eng.paloc
faction_horpbothharpoonery_0000_npc_00_00010,faction,Faction,Scene Dialogue,Faction,Faction,0000,Faction 0000,faction_horpbothharpoonery_0000,horpbothharpoonery_0000,faction_horpbothharpoonery_0000_npc_00,horpbothharpoonery_0000_npc_00,horpbothharpoonery_0000,horpbothharpoonery,0000,10,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Come back!,Come back!,gamedata/localizationstring_eng.paloc
faction_horpbothharpoonery_0000_npc_00_00012,faction,Faction,Scene Dialogue,Faction,Faction,0000,Faction 0000,faction_horpbothharpoonery_0000,horpbothharpoonery_0000,faction_horpbothharpoonery_0000_npc_00,horpbothharpoonery_0000_npc_00,horpbothharpoonery_0000,horpbothharpoonery,0000,12,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"It's shearing day today, how can we...","It's shearing day today, how can we...",gamedata/localizationstring_eng.paloc
faction_horpbothharpoonery_0000_npc_00_00013,faction,Faction,Scene Dialogue,Faction,Faction,0000,Faction 0000,faction_horpbothharpoonery_0000,horpbothharpoonery_0000,faction_horpbothharpoonery_0000_npc_00,horpbothharpoonery_0000_npc_00,horpbothharpoonery_0000,horpbothharpoonery,0000,13,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"I can't see a single one, how could they vanish like this...","I can't see a single one, how could they vanish like this...",gamedata/localizationstring_eng.paloc
faction_horpbothharpoonery_0000_npc_00_00014,faction,Faction,Scene Dialogue,Faction,Faction,0000,Faction 0000,faction_horpbothharpoonery_0000,horpbothharpoonery_0000,faction_horpbothharpoonery_0000_npc_00,horpbothharpoonery_0000_npc_00,horpbothharpoonery_0000,horpbothharpoonery,0000,14,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,What a shambles.,What a shambles.,gamedata/localizationstring_eng.paloc
faction_horpbothharpoonery_0000_npc_00_00016,faction,Faction,Scene Dialogue,Faction,Faction,0000,Faction 0000,faction_horpbothharpoonery_0000,horpbothharpoonery_0000,faction_horpbothharpoonery_0000_npc_00,horpbothharpoonery_0000_npc_00,horpbothharpoonery_0000,horpbothharpoonery,0000,16,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Where have they gone? Where are they?!,Where have they gone? Where are they?!,gamedata/localizationstring_eng.paloc
faction_horpbothharpoonery_0000_npc_00_00017,faction,Faction,Scene Dialogue,Faction,Faction,0000,Faction 0000,faction_horpbothharpoonery_0000,horpbothharpoonery_0000,faction_horpbothharpoonery_0000_npc_00,horpbothharpoonery_0000_npc_00,horpbothharpoonery_0000,horpbothharpoonery,0000,17,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,They can't all have bolted... blast!,They can't all have bolted... blast!,gamedata/localizationstring_eng.paloc
faction_mansion_byron_0010_npc_00_00007,faction,Faction,Scene Dialogue,Faction,Faction,0010,Faction 0010,faction_mansion_byron_0010,mansion_byron_0010,faction_mansion_byron_0010_npc_00,mansion_byron_0010_npc_00,mansion_byron_0010,mansion,byron_0010,7,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,You've got to be kidding...,You've got to be kidding...,gamedata/localizationstring_eng.paloc
faction_mansion_byron_0010_npc_00_00008,faction,Faction,Scene Dialogue,Faction,Faction,0010,Faction 0010,faction_mansion_byron_0010,mansion_byron_0010,faction_mansion_byron_0010_npc_00,mansion_byron_0010_npc_00,mansion_byron_0010,mansion,byron_0010,8,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Where'd this little rat scurry in from?!,Where'd this little rat scurry in from?!,gamedata/localizationstring_eng.paloc
faction_mansion_byron_0010_npc_00_00009,faction,Faction,Scene Dialogue,Faction,Faction,0010,Faction 0010,faction_mansion_byron_0010,mansion_byron_0010,faction_mansion_byron_0010_npc_00,mansion_byron_0010_npc_00,mansion_byron_0010,mansion,byron_0010,9,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,This quarry belongs to Count Byron!,This quarry belongs to Count Byron!,gamedata/localizationstring_eng.paloc
