key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
five_finger_mountain_9000_boss_00_00001,five,Five,Scene Dialogue,Five,Five,9000,Five 9000,five_finger_mountain_9000,finger_mountain_9000,five_finger_mountain_9000_boss_00,finger_mountain_9000_boss_00,finger_mountain_9000,finger,mountain_9000,1,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,A worthy sacrifice walks into my grasp.,A worthy sacrifice walks into my grasp.,gamedata/localizationstring_eng.paloc
five_finger_mountain_9000_boss_00_00002,five,Five,Scene Dialogue,Five,Five,9000,Five 9000,five_finger_mountain_9000,finger_mountain_9000,five_finger_mountain_9000_boss_00,finger_mountain_9000_boss_00,finger_mountain_9000,finger,mountain_9000,2,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Ugh...!,Ugh...!,gamedata/localizationstring_eng.paloc
five_finger_mountain_9000_boss_00_00003,five,Five,Scene Dialogue,Five,Five,9000,Five 9000,five_finger_mountain_9000,finger_mountain_9000,five_finger_mountain_9000_boss_00,finger_mountain_9000_boss_00,finger_mountain_9000,finger,mountain_9000,3,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,How could one such as you...?!,How could one such as you...?!,gamedata/localizationstring_eng.paloc
five_finger_mountain_9000_boss_00_00004,five,Five,Scene Dialogue,Five,Five,9000,Five 9000,five_finger_mountain_9000,finger_mountain_9000,five_finger_mountain_9000_boss_00,finger_mountain_9000_boss_00,finger_mountain_9000,finger,mountain_9000,4,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,If I had another chance...,If I had another chance...,gamedata/localizationstring_eng.paloc
five_finger_mountain_9000_globalgametrack_00005,five,Five,Scene Dialogue,Five,Five,9000,Five 9000,five_finger_mountain_9000,finger_mountain_9000,five_finger_mountain_9000_globalgametrack,finger_mountain_9000_globalgametrack,finger_mountain_9000,finger,mountain_9000,5,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,"Submit, and accept your fate.","Submit, and accept your fate.",gamedata/localizationstring_eng.paloc
five_finger_mountain_9000_globalgametrack_00006,five,Five,Scene Dialogue,Five,Five,9000,Five 9000,five_finger_mountain_9000,finger_mountain_9000,five_finger_mountain_9000_globalgametrack,finger_mountain_9000_globalgametrack,finger_mountain_9000,finger,mountain_9000,6,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,Wretched mortal.,Wretched mortal.,gamedata/localizationstring_eng.paloc
five_finger_mountain_9000_globalgametrack_00007,five,Five,Scene Dialogue,Five,Five,9000,Five 9000,five_finger_mountain_9000,finger_mountain_9000,five_finger_mountain_9000_globalgametrack,finger_mountain_9000_globalgametrack,finger_mountain_9000,finger,mountain_9000,7,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,You dare strike at one feared even by gods?,You dare strike at one feared even by gods?,gamedata/localizationstring_eng.paloc
five_finger_mountain_9000_globalgametrack_00008,five,Five,Scene Dialogue,Five,Five,9000,Five 9000,five_finger_mountain_9000,finger_mountain_9000,five_finger_mountain_9000_globalgametrack,finger_mountain_9000_globalgametrack,finger_mountain_9000,finger,mountain_9000,8,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,Your power is mine!,Your power is mine!,gamedata/localizationstring_eng.paloc
five_finger_mountain_9000_globalgametrack_00009,five,Five,Scene Dialogue,Five,Five,9000,Five 9000,five_finger_mountain_9000,finger_mountain_9000,five_finger_mountain_9000_globalgametrack,finger_mountain_9000_globalgametrack,finger_mountain_9000,finger,mountain_9000,9,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,Your existence is but a moment's breath!,Your existence is but a moment's breath!,gamedata/localizationstring_eng.paloc
five_finger_mountain_9000_globalgametrack_00010,five,Five,Scene Dialogue,Five,Five,9000,Five 9000,five_finger_mountain_9000,finger_mountain_9000,five_finger_mountain_9000_globalgametrack,finger_mountain_9000_globalgametrack,finger_mountain_9000,finger,mountain_9000,10,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,Such arrogance!,Such arrogance!,gamedata/localizationstring_eng.paloc
five_finger_mountain_9000_narration_00000,five,Five,Scene Dialogue,Five,Five,9000,Five 9000,five_finger_mountain_9000,finger_mountain_9000,five_finger_mountain_9000_narration,finger_mountain_9000_narration,finger_mountain_9000,finger,mountain_9000,0,narration,,narration,Narration,Narration,Narration,,role,,The feeble ever flee before true might!,The feeble ever flee before true might!,gamedata/localizationstring_eng.paloc
