key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
folorin_1600_01_narration_00000,folorin,Folorin,Scene Dialogue,Folorin,Folorin,1600,Folorin 1600,folorin_1600_01,1600_01,folorin_1600_01_narration,1600_01_narration,1600_01,1600,01,0,narration,,narration,Narration,Narration,Narration,,role,,Got 'em!,Got 'em!,gamedata/localizationstring_eng.paloc
folorin_1600_01_npc_00_00001,folorin,Folorin,Scene Dialogue,Folorin,Folorin,1600,Folorin 1600,folorin_1600_01,1600_01,folorin_1600_01_npc_00,1600_01_npc_00,1600_01,1600,01,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"No, I don't think...","No, I don't think...",gamedata/localizationstring_eng.paloc
folorin_1600_01_npc_00_00002,folorin,Folorin,Scene Dialogue,Folorin,Folorin,1600,Folorin 1600,folorin_1600_01,1600_01,folorin_1600_01_npc_00,1600_01_npc_00,1600_01,1600,01,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Oh no... do you think they're...?,Oh no... do you think they're...?,gamedata/localizationstring_eng.paloc
folorin_1600_01_npc_00_00003,folorin,Folorin,Scene Dialogue,Folorin,Folorin,1600,Folorin 1600,folorin_1600_01,1600_01,folorin_1600_01_npc_00,1600_01_npc_00,1600_01,1600,01,3,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Let's move them.,Let's move them.,gamedata/localizationstring_eng.paloc
folorin_1600_01_npc_00_00005,folorin,Folorin,Scene Dialogue,Folorin,Folorin,1600,Folorin 1600,folorin_1600_01,1600_01,folorin_1600_01_npc_00,1600_01_npc_00,1600_01,1600,01,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
folorin_1600_01_player_00004,folorin,Folorin,Scene Dialogue,Folorin,Folorin,1600,Folorin 1600,folorin_1600_01,1600_01,folorin_1600_01_player,1600_01_player,1600_01,1600,01,4,player,,player,Player,Player,Player,,role,,,,gamedata/localizationstring_eng.paloc
folorin_1700_npc_00_00001,folorin,Folorin,Scene Dialogue,Folorin,Folorin,1700,Folorin 1700,folorin_1700,1700,folorin_1700_npc_00,1700_npc_00,1700,1700,,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
folorin_1700_npc_00_00002,folorin,Folorin,Scene Dialogue,Folorin,Folorin,1700,Folorin 1700,folorin_1700,1700,folorin_1700_npc_00,1700_npc_00,1700,1700,,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,What should I do?,What should I do?,gamedata/localizationstring_eng.paloc
folorin_1700_npc_00_00003,folorin,Folorin,Scene Dialogue,Folorin,Folorin,1700,Folorin 1700,folorin_1700,1700,folorin_1700_npc_00,1700_npc_00,1700,1700,,3,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,The chief can't find out about this.,The chief can't find out about this.,gamedata/localizationstring_eng.paloc
folorin_1700_npc_00_00004,folorin,Folorin,Scene Dialogue,Folorin,Folorin,1700,Folorin 1700,folorin_1700,1700,folorin_1700_npc_00,1700_npc_00,1700,1700,,4,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"You were just kicked out, right?","You were just kicked out, right?",gamedata/localizationstring_eng.paloc
folorin_1700_npc_00_00005,folorin,Folorin,Scene Dialogue,Folorin,Folorin,1700,Folorin 1700,folorin_1700,1700,folorin_1700_npc_00,1700_npc_00,1700,1700,,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"I'll show you how to get into the town, but you have to help me first!","I'll show you how to get into the town, but you have to help me first!",gamedata/localizationstring_eng.paloc
folorin_1700_npc_00_00006,folorin,Folorin,Scene Dialogue,Folorin,Folorin,1700,Folorin 1700,folorin_1700,1700,folorin_1700_npc_00,1700_npc_00,1700,1700,,6,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Something precious of the chief's was stolen and put on my friend's head.,Something precious of the chief's was stolen and put on my friend's head.,gamedata/localizationstring_eng.paloc
folorin_1700_npc_00_00007,folorin,Folorin,Scene Dialogue,Folorin,Folorin,1700,Folorin 1700,folorin_1700,1700,folorin_1700_npc_00,1700_npc_00,1700,1700,,7,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"I need to get it back before the chief notices, but he just won't stay still!","I need to get it back before the chief notices, but he just won't stay still!",gamedata/localizationstring_eng.paloc
folorin_1700_npc_00_00008,folorin,Folorin,Scene Dialogue,Folorin,Folorin,1700,Folorin 1700,folorin_1700,1700,folorin_1700_npc_00,1700_npc_00,1700,1700,,8,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Yes, on his head!","Yes, on his head!",gamedata/localizationstring_eng.paloc
