key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
fullplatearmortroll_0110_npc_00_00008,fullplatearmortroll,Fullplatearmortroll,Scene Dialogue,Fullplatearmortroll,Fullplatearmortroll,0110,Fullplatearmortroll 0110,fullplatearmortroll_0110,0110,fullplatearmortroll_0110_npc_00,0110_npc_00,0110,0110,,8,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,A message.,A message.,gamedata/localizationstring_eng.paloc
fullplatearmortroll_0110_player_00006,fullplatearmortroll,Fullplatearmortroll,Scene Dialogue,Fullplatearmortroll,Fullplatearmortroll,0110,Fullplatearmortroll 0110,fullplatearmortroll_0110,0110,fullplatearmortroll_0110_player,0110_player,0110,0110,,6,player,,player,Player,Player,Player,,role,,,,gamedata/localizationstring_eng.paloc
fullplatearmortroll_0110_player_00007,fullplatearmortroll,Fullplatearmortroll,Scene Dialogue,Fullplatearmortroll,Fullplatearmortroll,0110,Fullplatearmortroll 0110,fullplatearmortroll_0110,0110,fullplatearmortroll_0110_player,0110_player,0110,0110,,7,player,,player,Player,Player,Player,,role,,Hmm..,Hmm..,gamedata/localizationstring_eng.paloc
fullplatearmortroll_9000_boss_00_00001,fullplatearmortroll,Fullplatearmortroll,Scene Dialogue,Fullplatearmortroll,Fullplatearmortroll,9000,Fullplatearmortroll 9000,fullplatearmortroll_9000,9000,fullplatearmortroll_9000_boss_00,9000_boss_00,9000,9000,,1,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,You have no idea what's coming for you.,You have no idea what's coming for you.,gamedata/localizationstring_eng.paloc
fullplatearmortroll_9000_boss_00_00002,fullplatearmortroll,Fullplatearmortroll,Scene Dialogue,Fullplatearmortroll,Fullplatearmortroll,9000,Fullplatearmortroll 9000,fullplatearmortroll_9000,9000,fullplatearmortroll_9000_boss_00,9000_boss_00,9000,9000,,2,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Curse you!,Curse you!,gamedata/localizationstring_eng.paloc
fullplatearmortroll_9000_boss_00_00003,fullplatearmortroll,Fullplatearmortroll,Scene Dialogue,Fullplatearmortroll,Fullplatearmortroll,9000,Fullplatearmortroll 9000,fullplatearmortroll_9000,9000,fullplatearmortroll_9000_boss_00,9000_boss_00,9000,9000,,3,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,I'll carry this humiliation to my grave!,I'll carry this humiliation to my grave!,gamedata/localizationstring_eng.paloc
fullplatearmortroll_9000_boss_00_00004,fullplatearmortroll,Fullplatearmortroll,Scene Dialogue,Fullplatearmortroll,Fullplatearmortroll,9000,Fullplatearmortroll 9000,fullplatearmortroll_9000,9000,fullplatearmortroll_9000_boss_00,9000_boss_00,9000,9000,,4,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,I'll grind you into the earth!,I'll grind you into the earth!,gamedata/localizationstring_eng.paloc
fullplatearmortroll_9000_boss_00_00005,fullplatearmortroll,Fullplatearmortroll,Scene Dialogue,Fullplatearmortroll,Fullplatearmortroll,9000,Fullplatearmortroll 9000,fullplatearmortroll_9000,9000,fullplatearmortroll_9000_boss_00,9000_boss_00,9000,9000,,5,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,You really think you stand a chance with such feeble skills?,You really think you stand a chance with such feeble skills?,gamedata/localizationstring_eng.paloc
fullplatearmortroll_9000_boss_00_00010,fullplatearmortroll,Fullplatearmortroll,Scene Dialogue,Fullplatearmortroll,Fullplatearmortroll,9000,Fullplatearmortroll 9000,fullplatearmortroll_9000,9000,fullplatearmortroll_9000_boss_00,9000_boss_00,9000,9000,,10,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,,,gamedata/localizationstring_eng.paloc
fullplatearmortroll_9000_globalgametrack_00006,fullplatearmortroll,Fullplatearmortroll,Scene Dialogue,Fullplatearmortroll,Fullplatearmortroll,9000,Fullplatearmortroll 9000,fullplatearmortroll_9000,9000,fullplatearmortroll_9000_globalgametrack,9000_globalgametrack,9000,9000,,6,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,I'll break every bone in your body and throw you to the hounds.,I'll break every bone in your body and throw you to the hounds.,gamedata/localizationstring_eng.paloc
fullplatearmortroll_9000_globalgametrack_00007,fullplatearmortroll,Fullplatearmortroll,Scene Dialogue,Fullplatearmortroll,Fullplatearmortroll,9000,Fullplatearmortroll 9000,fullplatearmortroll_9000,9000,fullplatearmortroll_9000_globalgametrack,9000_globalgametrack,9000,9000,,7,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,Do not interfere with my duty!,Do not interfere with my duty!,gamedata/localizationstring_eng.paloc
