key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
gears_9000_boss_00_00001,gears,Gears,Scene Dialogue,Gears,Gears,9000,Gears 9000,gears_9000,9000,gears_9000_boss_00,9000_boss_00,9000,9000,,1,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,So... you've hunted me all the way here.,So... you've hunted me all the way here.,gamedata/localizationstring_eng.paloc
gears_9000_boss_00_00002,gears,Gears,Scene Dialogue,Gears,Gears,9000,Gears 9000,gears_9000,9000,gears_9000_boss_00,9000_boss_00,9000,9000,,2,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,This is where wolves come to die.,This is where wolves come to die.,gamedata/localizationstring_eng.paloc
gears_9000_boss_00_00003,gears,Gears,Scene Dialogue,Gears,Gears,9000,Gears 9000,gears_9000,9000,gears_9000_boss_00,9000_boss_00,9000,9000,,3,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,It is a wolf's fate to be hunted.,It is a wolf's fate to be hunted.,gamedata/localizationstring_eng.paloc
gears_9000_boss_00_00004,gears,Gears,Scene Dialogue,Gears,Gears,9000,Gears 9000,gears_9000,9000,gears_9000_boss_00,9000_boss_00,9000,9000,,4,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Think you can hunt a hunter?,Think you can hunt a hunter?,gamedata/localizationstring_eng.paloc
gears_9000_boss_00_00005,gears,Gears,Scene Dialogue,Gears,Gears,9000,Gears 9000,gears_9000,9000,gears_9000_boss_00,9000_boss_00,9000,9000,,5,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Rot and let maggots consume you.,Rot and let maggots consume you.,gamedata/localizationstring_eng.paloc
gears_9000_boss_00_00006,gears,Gears,Scene Dialogue,Gears,Gears,9000,Gears 9000,gears_9000,9000,gears_9000_boss_00,9000_boss_00,9000,9000,,6,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,I'll tear you to ribbons.,I'll tear you to ribbons.,gamedata/localizationstring_eng.paloc
gears_bossencounter_ambush_boss_00_00025,gears,Gears,Scene Dialogue,Gears,Gears,,Gears,gears_bossencounter_ambush,bossencounter_ambush,gears_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,25,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Come. I'll grant your wish and end you.,Come. I'll grant your wish and end you.,gamedata/localizationstring_eng.paloc
gears_bossencounter_ambush_boss_00_00026,gears,Gears,Scene Dialogue,Gears,Gears,,Gears,gears_bossencounter_ambush,bossencounter_ambush,gears_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,26,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Ah... now your life suddenly matters to you.,Ah... now your life suddenly matters to you.,gamedata/localizationstring_eng.paloc
gears_bossencounter_ambush_boss_00_00027,gears,Gears,Scene Dialogue,Gears,Gears,,Gears,gears_bossencounter_ambush,bossencounter_ambush,gears_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,27,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,The hunt begins!,The hunt begins!,gamedata/localizationstring_eng.paloc
gears_bossencounter_ambush_boss_00_00028,gears,Gears,Scene Dialogue,Gears,Gears,,Gears,gears_bossencounter_ambush,bossencounter_ambush,gears_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,28,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Prey... wandering right into my grasp.,Prey... wandering right into my grasp.,gamedata/localizationstring_eng.paloc
