key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
goblin_master_1100_narration_00023,goblin,Goblin,Scene Dialogue,Goblin,Goblin,1100,Goblin 1100,goblin_master_1100,master_1100,goblin_master_1100_narration,master_1100_narration,master_1100,master,1100,23,narration,,narration,Narration,Narration,Narration,,role,,"You alone flow, while all else remains still.","You alone flow, while all else remains still.",gamedata/localizationstring_eng.paloc
goblin_master_1100_narration_00024,goblin,Goblin,Scene Dialogue,Goblin,Goblin,1100,Goblin 1100,goblin_master_1100,master_1100,goblin_master_1100_narration,master_1100_narration,master_1100,master,1100,24,narration,,narration,Narration,Narration,Narration,,role,,You can finally hear me...,You can finally hear me...,gamedata/localizationstring_eng.paloc
goblin_master_1100_narration_00025,goblin,Goblin,Scene Dialogue,Goblin,Goblin,1100,Goblin 1100,goblin_master_1100,master_1100,goblin_master_1100_narration,master_1100_narration,master_1100,master,1100,25,narration,,narration,Narration,Narration,Narration,,role,,One with words meant for your ears.,One with words meant for your ears.,gamedata/localizationstring_eng.paloc
goblin_master_1100_narration_00026,goblin,Goblin,Scene Dialogue,Goblin,Goblin,1100,Goblin 1100,goblin_master_1100,master_1100,goblin_master_1100_narration,master_1100_narration,master_1100,master,1100,26,narration,,narration,Narration,Narration,Narration,,role,,It matters not.,It matters not.,gamedata/localizationstring_eng.paloc
goblin_master_1100_narration_00028,goblin,Goblin,Scene Dialogue,Goblin,Goblin,1100,Goblin 1100,goblin_master_1100,master_1100,goblin_master_1100_narration,master_1100_narration,master_1100,master,1100,28,narration,,narration,Narration,Narration,Narration,,role,,"Come, find me.","Come, find me.",gamedata/localizationstring_eng.paloc
goblin_master_1100_narration_00038,goblin,Goblin,Scene Dialogue,Goblin,Goblin,1100,Goblin 1100,goblin_master_1100,master_1100,goblin_master_1100_narration,master_1100_narration,master_1100,master,1100,38,narration,,narration,Narration,Narration,Narration,,role,,What is important...,What is important...,gamedata/localizationstring_eng.paloc
goblin_master_1100_narration_00039,goblin,Goblin,Scene Dialogue,Goblin,Goblin,1100,Goblin 1100,goblin_master_1100,master_1100,goblin_master_1100_narration,master_1100_narration,master_1100,master,1100,39,narration,,narration,Narration,Narration,Narration,,role,,"is the path you've walked, and the one still ahead.","is the path you've walked, and the one still ahead.",gamedata/localizationstring_eng.paloc
goblin_master_1100_narration_00041,goblin,Goblin,Scene Dialogue,Goblin,Goblin,1100,Goblin 1100,goblin_master_1100,master_1100,goblin_master_1100_narration,master_1100_narration,master_1100,master,1100,41,narration,,narration,Narration,Narration,Narration,,role,,"To save others, one must first find strength within.","To save others, one must first find strength within.",gamedata/localizationstring_eng.paloc
goblin_master_1100_narration_00043,goblin,Goblin,Scene Dialogue,Goblin,Goblin,1100,Goblin 1100,goblin_master_1100,master_1100,goblin_master_1100_narration,master_1100_narration,master_1100,master,1100,43,narration,,narration,Narration,Narration,Narration,,role,,Wounds open the heart in ways words never could.,Wounds open the heart in ways words never could.,gamedata/localizationstring_eng.paloc
goblin_master_1100_npc_00_00004,goblin,Goblin,Scene Dialogue,Goblin,Goblin,1100,Goblin 1100,goblin_master_1100,master_1100,goblin_master_1100_npc_00,master_1100_npc_00,master_1100,master,1100,4,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,You're awake? What exactly do you think you were doing? Did you even have a plan?,You're awake? What exactly do you think you were doing? Did you even have a plan?,gamedata/localizationstring_eng.paloc
