key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
goldenarmor_9000_boss_00_00001,goldenarmor,Goldenarmor,Scene Dialogue,Goldenarmor,Goldenarmor,9000,Goldenarmor 9000,goldenarmor_9000,9000,goldenarmor_9000_boss_00,9000_boss_00,9000,9000,,1,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,How dare you lay your greedy hands on my gold!,How dare you lay your greedy hands on my gold!,gamedata/localizationstring_eng.paloc
goldenarmor_9000_boss_00_00002,goldenarmor,Goldenarmor,Scene Dialogue,Goldenarmor,Goldenarmor,9000,Goldenarmor 9000,goldenarmor_9000,9000,goldenarmor_9000_boss_00,9000_boss_00,9000,9000,,2,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,You'll pay for it with your life!,You'll pay for it with your life!,gamedata/localizationstring_eng.paloc
goldenarmor_9000_boss_00_00006,goldenarmor,Goldenarmor,Scene Dialogue,Goldenarmor,Goldenarmor,9000,Goldenarmor 9000,goldenarmor_9000,9000,goldenarmor_9000_boss_00,9000_boss_00,9000,9000,,6,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,My gold...,My gold...,gamedata/localizationstring_eng.paloc
goldenarmor_9000_boss_00_00007,goldenarmor,Goldenarmor,Scene Dialogue,Goldenarmor,Goldenarmor,9000,Goldenarmor 9000,goldenarmor_9000,9000,goldenarmor_9000_boss_00,9000_boss_00,9000,9000,,7,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Everything's dark...,Everything's dark...,gamedata/localizationstring_eng.paloc
goldenarmor_9000_boss_00_00008,goldenarmor,Goldenarmor,Scene Dialogue,Goldenarmor,Goldenarmor,9000,Goldenarmor 9000,goldenarmor_9000,9000,goldenarmor_9000_boss_00,9000_boss_00,9000,9000,,8,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,It was all... mine...,It was all... mine...,gamedata/localizationstring_eng.paloc
goldenarmor_9000_globalgametrack_00010,goldenarmor,Goldenarmor,Scene Dialogue,Goldenarmor,Goldenarmor,9000,Goldenarmor 9000,goldenarmor_9000,9000,goldenarmor_9000_globalgametrack,9000_globalgametrack,9000,9000,,10,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,Behold the shine of this armor!,Behold the shine of this armor!,gamedata/localizationstring_eng.paloc
goldenarmor_9000_globalgametrack_00011,goldenarmor,Goldenarmor,Scene Dialogue,Goldenarmor,Goldenarmor,9000,Goldenarmor 9000,goldenarmor_9000,9000,goldenarmor_9000_globalgametrack,9000_globalgametrack,9000,9000,,11,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,Gold never betrays!,Gold never betrays!,gamedata/localizationstring_eng.paloc
goldenarmor_9000_globalgametrack_00012,goldenarmor,Goldenarmor,Scene Dialogue,Goldenarmor,Goldenarmor,9000,Goldenarmor 9000,goldenarmor_9000,9000,goldenarmor_9000_globalgametrack,9000_globalgametrack,9000,9000,,12,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,More! I need even more gold!,More! I need even more gold!,gamedata/localizationstring_eng.paloc
goldenarmor_9000_globalgametrack_00013,goldenarmor,Goldenarmor,Scene Dialogue,Goldenarmor,Goldenarmor,9000,Goldenarmor 9000,goldenarmor_9000,9000,goldenarmor_9000_globalgametrack,9000_globalgametrack,9000,9000,,13,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,Let the gold devour you!,Let the gold devour you!,gamedata/localizationstring_eng.paloc
goldenarmor_9000_globalgametrack_00014,goldenarmor,Goldenarmor,Scene Dialogue,Goldenarmor,Goldenarmor,9000,Goldenarmor 9000,goldenarmor_9000,9000,goldenarmor_9000_globalgametrack,9000_globalgametrack,9000,9000,,14,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,You're getting blood on my gold!,You're getting blood on my gold!,gamedata/localizationstring_eng.paloc
goldenarmor_9000_globalgametrack_00015,goldenarmor,Goldenarmor,Scene Dialogue,Goldenarmor,Goldenarmor,9000,Goldenarmor 9000,goldenarmor_9000,9000,goldenarmor_9000_globalgametrack,9000_globalgametrack,9000,9000,,15,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,Gold is power. That's why I'm unstoppable!,Gold is power. That's why I'm unstoppable!,gamedata/localizationstring_eng.paloc
goldenarmor_9000_narration_00009,goldenarmor,Goldenarmor,Scene Dialogue,Goldenarmor,Goldenarmor,9000,Goldenarmor 9000,goldenarmor_9000,9000,goldenarmor_9000_narration,9000_narration,9000,9000,,9,narration,,narration,Narration,Narration,Narration,,role,,"Run, you pauper! This gold was never yours!","Run, you pauper! This gold was never yours!",gamedata/localizationstring_eng.paloc
goldenarmor_bossencounter_ambush_boss_00_00013,goldenarmor,Goldenarmor,Scene Dialogue,Goldenarmor,Goldenarmor,,Goldenarmor,goldenarmor_bossencounter_ambush,bossencounter_ambush,goldenarmor_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,13,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Only gold endures!,Only gold endures!,gamedata/localizationstring_eng.paloc
goldenarmor_bossencounter_ambush_boss_00_00014,goldenarmor,Goldenarmor,Scene Dialogue,Goldenarmor,Goldenarmor,,Goldenarmor,goldenarmor_bossencounter_ambush,bossencounter_ambush,goldenarmor_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,14,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,"Bold of you to covet my gold... foolhardy, too.","Bold of you to covet my gold... foolhardy, too.",gamedata/localizationstring_eng.paloc
goldenarmor_bossencounter_ambush_boss_00_00015,goldenarmor,Goldenarmor,Scene Dialogue,Goldenarmor,Goldenarmor,,Goldenarmor,goldenarmor_bossencounter_ambush,bossencounter_ambush,goldenarmor_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,15,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Your life's not worth the cost of your caskets!,Your life's not worth the cost of your caskets!,gamedata/localizationstring_eng.paloc
goldenarmor_bossencounter_ambush_boss_00_00016,goldenarmor,Goldenarmor,Scene Dialogue,Goldenarmor,Goldenarmor,,Goldenarmor,goldenarmor_bossencounter_ambush,bossencounter_ambush,goldenarmor_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,16,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,I've amassed all this gold from the coinpurses of dead thieves.,I've amassed all this gold from the coinpurses of dead thieves.,gamedata/localizationstring_eng.paloc
goldenarmor_bossencounter_ambush_boss_00_00017,goldenarmor,Goldenarmor,Scene Dialogue,Goldenarmor,Goldenarmor,,Goldenarmor,goldenarmor_bossencounter_ambush,bossencounter_ambush,goldenarmor_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,17,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,"What price would your corpse fetch, I wonder?","What price would your corpse fetch, I wonder?",gamedata/localizationstring_eng.paloc
goldenarmor_bossencounter_ambush_boss_00_00018,goldenarmor,Goldenarmor,Scene Dialogue,Goldenarmor,Goldenarmor,,Goldenarmor,goldenarmor_bossencounter_ambush,bossencounter_ambush,goldenarmor_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,18,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,You'll be coin in my purse soon enough.,You'll be coin in my purse soon enough.,gamedata/localizationstring_eng.paloc
goldenarmor_bossencounter_ambush_boss_00_00019,goldenarmor,Goldenarmor,Scene Dialogue,Goldenarmor,Goldenarmor,,Goldenarmor,goldenarmor_bossencounter_ambush,bossencounter_ambush,goldenarmor_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,19,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Next time... I'll finish this...!,Next time... I'll finish this...!,gamedata/localizationstring_eng.paloc
goldenarmor_bossencounter_ambush_boss_00_00020,goldenarmor,Goldenarmor,Scene Dialogue,Goldenarmor,Goldenarmor,,Goldenarmor,goldenarmor_bossencounter_ambush,bossencounter_ambush,goldenarmor_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,20,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,So you do value your life!,So you do value your life!,gamedata/localizationstring_eng.paloc
goldenarmor_bossencounter_ambush_globalgametrack_00021,goldenarmor,Goldenarmor,Scene Dialogue,Goldenarmor,Goldenarmor,,Goldenarmor,goldenarmor_bossencounter_ambush,bossencounter_ambush,goldenarmor_bossencounter_ambush_globalgametrack,bossencounter_ambush_globalgametrack,bossencounter_ambush,bossencounter,ambush,21,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,Gold is power!,Gold is power!,gamedata/localizationstring_eng.paloc
goldenarmor_bossencounter_ambush_globalgametrack_00022,goldenarmor,Goldenarmor,Scene Dialogue,Goldenarmor,Goldenarmor,,Goldenarmor,goldenarmor_bossencounter_ambush,bossencounter_ambush,goldenarmor_bossencounter_ambush_globalgametrack,bossencounter_ambush_globalgametrack,bossencounter_ambush,bossencounter,ambush,22,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,Count it an honor to be crushed under the weight of my gold!,Count it an honor to be crushed under the weight of my gold!,gamedata/localizationstring_eng.paloc
goldenarmor_bossencounter_ambush_globalgametrack_00023,goldenarmor,Goldenarmor,Scene Dialogue,Goldenarmor,Goldenarmor,,Goldenarmor,goldenarmor_bossencounter_ambush,bossencounter_ambush,goldenarmor_bossencounter_ambush_globalgametrack,bossencounter_ambush_globalgametrack,bossencounter_ambush,bossencounter,ambush,23,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,Human worth will never measure up to gold!,Human worth will never measure up to gold!,gamedata/localizationstring_eng.paloc
goldenarmor_bossencounter_ambush_globalgametrack_00024,goldenarmor,Goldenarmor,Scene Dialogue,Goldenarmor,Goldenarmor,,Goldenarmor,goldenarmor_bossencounter_ambush,bossencounter_ambush,goldenarmor_bossencounter_ambush_globalgametrack,bossencounter_ambush_globalgametrack,bossencounter_ambush,bossencounter,ambush,24,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,Wonder what your head's worth.,Wonder what your head's worth.,gamedata/localizationstring_eng.paloc
goldenarmor_bossencounter_stand_boss_00_00025,goldenarmor,Goldenarmor,Scene Dialogue,Goldenarmor,Goldenarmor,,Goldenarmor,goldenarmor_bossencounter_stand,bossencounter_stand,goldenarmor_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,25,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,A beggar's come to steal my gold!,A beggar's come to steal my gold!,gamedata/localizationstring_eng.paloc
goldenarmor_bossencounter_stand_boss_00_00026,goldenarmor,Goldenarmor,Scene Dialogue,Goldenarmor,Goldenarmor,,Goldenarmor,goldenarmor_bossencounter_stand,bossencounter_stand,goldenarmor_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,26,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,There's no greater folly than coveting my gold.,There's no greater folly than coveting my gold.,gamedata/localizationstring_eng.paloc
goldenarmor_bossencounter_stand_boss_00_00027,goldenarmor,Goldenarmor,Scene Dialogue,Goldenarmor,Goldenarmor,,Goldenarmor,goldenarmor_bossencounter_stand,bossencounter_stand,goldenarmor_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,27,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Next time... I'll finish this...!,Next time... I'll finish this...!,gamedata/localizationstring_eng.paloc
goldenarmor_bossencounter_stand_boss_00_00028,goldenarmor,Goldenarmor,Scene Dialogue,Goldenarmor,Goldenarmor,,Goldenarmor,goldenarmor_bossencounter_stand,bossencounter_stand,goldenarmor_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,28,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,So you do value your life!,So you do value your life!,gamedata/localizationstring_eng.paloc
goldenarmor_bossencounter_stand_boss_00_00029,goldenarmor,Goldenarmor,Scene Dialogue,Goldenarmor,Goldenarmor,,Goldenarmor,goldenarmor_bossencounter_stand,bossencounter_stand,goldenarmor_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,29,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,"You appreciate the value of gold, I'll grant you that!","You appreciate the value of gold, I'll grant you that!",gamedata/localizationstring_eng.paloc
goldenarmor_bossencounter_stand_boss_00_00030,goldenarmor,Goldenarmor,Scene Dialogue,Goldenarmor,Goldenarmor,,Goldenarmor,goldenarmor_bossencounter_stand,bossencounter_stand,goldenarmor_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,30,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Any who covet my gold will die!,Any who covet my gold will die!,gamedata/localizationstring_eng.paloc
goldenarmor_bossencounter_stand_boss_00_00031,goldenarmor,Goldenarmor,Scene Dialogue,Goldenarmor,Goldenarmor,,Goldenarmor,goldenarmor_bossencounter_stand,bossencounter_stand,goldenarmor_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,31,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Gold belongs only to those who know its worth.,Gold belongs only to those who know its worth.,gamedata/localizationstring_eng.paloc
