key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
gorthakiron_0100_npc_00_00015,gorthakiron,Gorthakiron,Scene Dialogue,Gorthakiron,Gorthakiron,0100,Gorthakiron 0100,gorthakiron_0100,0100,gorthakiron_0100_npc_00,0100_npc_00,0100,0100,,15,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,There you are.,There you are.,gamedata/localizationstring_eng.paloc
gorthakiron_0100_npc_00_00016,gorthakiron,Gorthakiron,Scene Dialogue,Gorthakiron,Gorthakiron,0100,Gorthakiron 0100,gorthakiron_0100,0100,gorthakiron_0100_npc_00,0100_npc_00,0100,0100,,16,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"The A.T.A.G's a proper beauty, isn't it?","The A.T.A.G's a proper beauty, isn't it?",gamedata/localizationstring_eng.paloc
gorthakiron_0100_npc_00_00017,gorthakiron,Gorthakiron,Scene Dialogue,Gorthakiron,Gorthakiron,0100,Gorthakiron 0100,gorthakiron_0100,0100,gorthakiron_0100_npc_00,0100_npc_00,0100,0100,,17,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"I can see you fancy it, but I can't just give it to you...","I can see you fancy it, but I can't just give it to you...",gamedata/localizationstring_eng.paloc
gorthakiron_0100_npc_00_00018,gorthakiron,Gorthakiron,Scene Dialogue,Gorthakiron,Gorthakiron,0100,Gorthakiron 0100,gorthakiron_0100,0100,gorthakiron_0100_npc_00,0100_npc_00,0100,0100,,18,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"It's not like I can knock one together whenever I want, you know...","It's not like I can knock one together whenever I want, you know...",gamedata/localizationstring_eng.paloc
gorthakiron_0100_npc_00_00019,gorthakiron,Gorthakiron,Scene Dialogue,Gorthakiron,Gorthakiron,0100,Gorthakiron 0100,gorthakiron_0100,0100,gorthakiron_0100_npc_00,0100_npc_00,0100,0100,,19,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"But you won't take no for an answer, will you?","But you won't take no for an answer, will you?",gamedata/localizationstring_eng.paloc
gorthakiron_0100_npc_00_00020,gorthakiron,Gorthakiron,Scene Dialogue,Gorthakiron,Gorthakiron,0100,Gorthakiron 0100,gorthakiron_0100,0100,gorthakiron_0100_npc_00,0100_npc_00,0100,0100,,20,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,if we put that pot of yours to use.,if we put that pot of yours to use.,gamedata/localizationstring_eng.paloc
gorthakiron_0100_npc_00_00021,gorthakiron,Gorthakiron,Scene Dialogue,Gorthakiron,Gorthakiron,0100,Gorthakiron 0100,gorthakiron_0100,0100,gorthakiron_0100_npc_00,0100_npc_00,0100,0100,,21,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,I'll think of a way. Just get me the materials I ask for.,I'll think of a way. Just get me the materials I ask for.,gamedata/localizationstring_eng.paloc
gorthakiron_0100_npc_00_00022,gorthakiron,Gorthakiron,Scene Dialogue,Gorthakiron,Gorthakiron,0100,Gorthakiron 0100,gorthakiron_0100,0100,gorthakiron_0100_npc_00,0100_npc_00,0100,0100,,22,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Tell you what. I might be able to make one for you,","Tell you what. I might be able to make one for you,",gamedata/localizationstring_eng.paloc
gorthakiron_0200_npc_00_00001,gorthakiron,Gorthakiron,Scene Dialogue,Gorthakiron,Gorthakiron,0200,Gorthakiron 0200,gorthakiron_0200,0200,gorthakiron_0200_npc_00,0200_npc_00,0200,0200,,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"What, you're here already?","What, you're here already?",gamedata/localizationstring_eng.paloc
gorthakiron_0200_npc_00_00002,gorthakiron,Gorthakiron,Scene Dialogue,Gorthakiron,Gorthakiron,0200,Gorthakiron 0200,gorthakiron_0200,0200,gorthakiron_0200_npc_00,0200_npc_00,0200,0200,,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,I still haven't found the perfect answer.,I still haven't found the perfect answer.,gamedata/localizationstring_eng.paloc
gorthakiron_0200_npc_00_00003,gorthakiron,Gorthakiron,Scene Dialogue,Gorthakiron,Gorthakiron,0200,Gorthakiron 0200,gorthakiron_0200,0200,gorthakiron_0200_npc_00,0200_npc_00,0200,0200,,3,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,But after some trial and error...<br/>seems tossing weapon materials into the cauldron forms new machines.,"But after some trial and error...
seems tossing weapon materials into the cauldron forms new machines.",gamedata/localizationstring_eng.paloc
