key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
gregor_bossencounter_ambush_boss_00_00030,gregor,Gregor,Scene Dialogue,Gregor,Gregor,,Gregor,gregor_bossencounter_ambush,bossencounter_ambush,gregor_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,30,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,You dare to block my spear... insolence.,You dare to block my spear... insolence.,gamedata/localizationstring_eng.paloc
gregor_bossencounter_ambush_boss_00_00031,gregor,Gregor,Scene Dialogue,Gregor,Gregor,,Gregor,gregor_bossencounter_ambush,bossencounter_ambush,gregor_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,31,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Run! Run while your coward heart still beats!,Run! Run while your coward heart still beats!,gamedata/localizationstring_eng.paloc
gregor_bossencounter_ambush_boss_00_00032,gregor,Gregor,Scene Dialogue,Gregor,Gregor,,Gregor,gregor_bossencounter_ambush,bossencounter_ambush,gregor_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,32,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Who dares stand against the thrust of my spear?,Who dares stand against the thrust of my spear?,gamedata/localizationstring_eng.paloc
gregor_bossencounter_ambush_boss_00_00033,gregor,Gregor,Scene Dialogue,Gregor,Gregor,,Gregor,gregor_bossencounter_ambush,bossencounter_ambush,gregor_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,33,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,You're not fit to hang amongst my spoils.,You're not fit to hang amongst my spoils.,gamedata/localizationstring_eng.paloc
gregor_bossencounter_ambush_boss_00_00034,gregor,Gregor,Scene Dialogue,Gregor,Gregor,,Gregor,gregor_bossencounter_ambush,bossencounter_ambush,gregor_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,34,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,To face my spear is to wager your very life.,To face my spear is to wager your very life.,gamedata/localizationstring_eng.paloc
gregor_bossencounter_ambush_boss_00_00035,gregor,Gregor,Scene Dialogue,Gregor,Gregor,,Gregor,gregor_bossencounter_ambush,bossencounter_ambush,gregor_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,35,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,What gives you the gall to stand in my way?,What gives you the gall to stand in my way?,gamedata/localizationstring_eng.paloc
gregor_bossencounter_ambush_boss_00_00036,gregor,Gregor,Scene Dialogue,Gregor,Gregor,,Gregor,gregor_bossencounter_ambush,bossencounter_ambush,gregor_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,36,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Pathetic... another mongrel sent by Wells to die.,Pathetic... another mongrel sent by Wells to die.,gamedata/localizationstring_eng.paloc
gregor_bossencounter_ambush_boss_00_00037,gregor,Gregor,Scene Dialogue,Gregor,Gregor,,Gregor,gregor_bossencounter_ambush,bossencounter_ambush,gregor_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,37,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,"Defy the grand general, and death will find you swiftly.","Defy the grand general, and death will find you swiftly.",gamedata/localizationstring_eng.paloc
gregor_bossencounter_stand_boss_00_00039,gregor,Gregor,Scene Dialogue,Gregor,Gregor,,Gregor,gregor_bossencounter_stand,bossencounter_stand,gregor_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,39,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,The sheer audacity... someone believes they can rob me.,The sheer audacity... someone believes they can rob me.,gamedata/localizationstring_eng.paloc
gregor_bossencounter_stand_boss_00_00040,gregor,Gregor,Scene Dialogue,Gregor,Gregor,,Gregor,gregor_bossencounter_stand,bossencounter_stand,gregor_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,40,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,You dare block my spear... insolence.,You dare block my spear... insolence.,gamedata/localizationstring_eng.paloc
