key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
greymanecamp_0100_npc_00_00011,greymanecamp,Greymanecamp,Scene Dialogue,Greymanecamp,Greymanecamp,0100,Greymanecamp 0100,greymanecamp_0100,0100,greymanecamp_0100_npc_00,0100_npc_00,0100,0100,,11,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,We could make an absolute fortune out of this.,We could make an absolute fortune out of this.,gamedata/localizationstring_eng.paloc
greymanecamp_0100_npc_00_00012,greymanecamp,Greymanecamp,Scene Dialogue,Greymanecamp,Greymanecamp,0100,Greymanecamp 0100,greymanecamp_0100,0100,greymanecamp_0100_npc_00,0100_npc_00,0100,0100,,12,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Wouldn't have to lift a finger for the rest of our lives.,Wouldn't have to lift a finger for the rest of our lives.,gamedata/localizationstring_eng.paloc
greymanecamp_0100_npc_00_00013,greymanecamp,Greymanecamp,Scene Dialogue,Greymanecamp,Greymanecamp,0100,Greymanecamp 0100,greymanecamp_0100,0100,greymanecamp_0100_npc_00,0100_npc_00,0100,0100,,13,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Kliff! About time you showed your face.,Kliff! About time you showed your face.,gamedata/localizationstring_eng.paloc
greymanecamp_0100_npc_00_00014,greymanecamp,Greymanecamp,Scene Dialogue,Greymanecamp,Greymanecamp,0100,Greymanecamp 0100,greymanecamp_0100,0100,greymanecamp_0100_npc_00,0100_npc_00,0100,0100,,14,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,I've got a brilliant fucking plan to earn us some coin.,I've got a brilliant fucking plan to earn us some coin.,gamedata/localizationstring_eng.paloc
greymanecamp_0100_npc_00_00015,greymanecamp,Greymanecamp,Scene Dialogue,Greymanecamp,Greymanecamp,0100,Greymanecamp 0100,greymanecamp_0100,0100,greymanecamp_0100_npc_00,0100_npc_00,0100,0100,,15,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Bring a wagon over to the camp entrance.,Bring a wagon over to the camp entrance.,gamedata/localizationstring_eng.paloc
greymanecamp_0100_npc_00_00016,greymanecamp,Greymanecamp,Scene Dialogue,Greymanecamp,Greymanecamp,0100,Greymanecamp 0100,greymanecamp_0100,0100,greymanecamp_0100_npc_00,0100_npc_00,0100,0100,,16,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,I'll fill you in on the way.,I'll fill you in on the way.,gamedata/localizationstring_eng.paloc
greymanecamp_0100_npc_00_00017,greymanecamp,Greymanecamp,Scene Dialogue,Greymanecamp,Greymanecamp,0100,Greymanecamp 0100,greymanecamp_0100,0100,greymanecamp_0100_npc_00,0100_npc_00,0100,0100,,17,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Come on! Why are you just standing around?,Come on! Why are you just standing around?,gamedata/localizationstring_eng.paloc
greymanecamp_0100_npc_00_00018,greymanecamp,Greymanecamp,Scene Dialogue,Greymanecamp,Greymanecamp,0100,Greymanecamp 0100,greymanecamp_0100,0100,greymanecamp_0100_npc_00,0100_npc_00,0100,0100,,18,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,We ain't got the time! Go!,We ain't got the time! Go!,gamedata/localizationstring_eng.paloc
greymanecamp_0100_player_00009,greymanecamp,Greymanecamp,Scene Dialogue,Greymanecamp,Greymanecamp,0100,Greymanecamp 0100,greymanecamp_0100,0100,greymanecamp_0100_player,0100_player,0100,0100,,9,player,,player,Player,Player,Player,,role,,Is something the matter?,Is something the matter?,gamedata/localizationstring_eng.paloc
greymanecamp_0110_globalgametrack_00018,greymanecamp,Greymanecamp,Scene Dialogue,Greymanecamp,Greymanecamp,0110,Greymanecamp 0110,greymanecamp_0110,0110,greymanecamp_0110_globalgametrack,0110_globalgametrack,0110,0110,,18,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,We're off to see the Goldleaves!,We're off to see the Goldleaves!,gamedata/localizationstring_eng.paloc
