key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
greywolf_camp_1400_npc_00_00000,greywolf,Greywolf,Scene Dialogue,Greywolf,Greywolf,1400,Greywolf 1400,greywolf_camp_1400,camp_1400,greywolf_camp_1400_npc_00,camp_1400_npc_00,camp_1400,camp,1400,0,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Ugh!,Ugh!,gamedata/localizationstring_eng.paloc
greywolf_camp_1400_npc_00_00001,greywolf,Greywolf,Scene Dialogue,Greywolf,Greywolf,1400,Greywolf 1400,greywolf_camp_1400,camp_1400,greywolf_camp_1400_npc_00,camp_1400_npc_00,camp_1400,camp,1400,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Didn't budge an inch...,Didn't budge an inch...,gamedata/localizationstring_eng.paloc
greywolf_camp_2700_npc_00_00008,greywolf,Greywolf,Scene Dialogue,Greywolf,Greywolf,2700,Greywolf 2700,greywolf_camp_2700,camp_2700,greywolf_camp_2700_npc_00,camp_2700_npc_00,camp_2700,camp,2700,8,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"I won't, don't worry.","I won't, don't worry.",gamedata/localizationstring_eng.paloc
greywolf_camp_2700_npc_00_00009,greywolf,Greywolf,Scene Dialogue,Greywolf,Greywolf,2700,Greywolf 2700,greywolf_camp_2700,camp_2700,greywolf_camp_2700_npc_00,camp_2700_npc_00,camp_2700,camp,2700,9,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
greywolf_camp_2700_npc_00_00010,greywolf,Greywolf,Scene Dialogue,Greywolf,Greywolf,2700,Greywolf 2700,greywolf_camp_2700,camp_2700,greywolf_camp_2700_npc_00,camp_2700_npc_00,camp_2700,camp,2700,10,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Did everyone hear about my leg?,Did everyone hear about my leg?,gamedata/localizationstring_eng.paloc
greywolf_camp_2700_npc_00_00011,greywolf,Greywolf,Scene Dialogue,Greywolf,Greywolf,2700,Greywolf 2700,greywolf_camp_2700,camp_2700,greywolf_camp_2700_npc_00,camp_2700_npc_00,camp_2700,camp,2700,11,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
greywolf_camp_2700_npc_00_00012,greywolf,Greywolf,Scene Dialogue,Greywolf,Greywolf,2700,Greywolf 2700,greywolf_camp_2700,camp_2700,greywolf_camp_2700_npc_00,camp_2700_npc_00,camp_2700,camp,2700,12,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
greywolf_camp_2700_npc_00_00013,greywolf,Greywolf,Scene Dialogue,Greywolf,Greywolf,2700,Greywolf 2700,greywolf_camp_2700,camp_2700,greywolf_camp_2700_npc_00,camp_2700_npc_00,camp_2700,camp,2700,13,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,There he goes again...,There he goes again...,gamedata/localizationstring_eng.paloc
greywolf_camp_2700_npc_00_00014,greywolf,Greywolf,Scene Dialogue,Greywolf,Greywolf,2700,Greywolf 2700,greywolf_camp_2700,camp_2700,greywolf_camp_2700_npc_00,camp_2700_npc_00,camp_2700,camp,2700,14,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,I saw that coming.,I saw that coming.,gamedata/localizationstring_eng.paloc
greywolf_camp_2700_npc_00_00015,greywolf,Greywolf,Scene Dialogue,Greywolf,Greywolf,2700,Greywolf 2700,greywolf_camp_2700,camp_2700,greywolf_camp_2700_npc_00,camp_2700_npc_00,camp_2700,camp,2700,15,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,He's just messing with him. That's Yann for you!,He's just messing with him. That's Yann for you!,gamedata/localizationstring_eng.paloc
greywolf_camp_2700_npc_00_00016,greywolf,Greywolf,Scene Dialogue,Greywolf,Greywolf,2700,Greywolf 2700,greywolf_camp_2700,camp_2700,greywolf_camp_2700_npc_00,camp_2700_npc_00,camp_2700,camp,2700,16,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,We've heard it already!,We've heard it already!,gamedata/localizationstring_eng.paloc
greywolf_camp_2700_npc_00_00017,greywolf,Greywolf,Scene Dialogue,Greywolf,Greywolf,2700,Greywolf 2700,greywolf_camp_2700,camp_2700,greywolf_camp_2700_npc_00,camp_2700_npc_00,camp_2700,camp,2700,17,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
greywolf_camp_2700_npc_00_00018,greywolf,Greywolf,Scene Dialogue,Greywolf,Greywolf,2700,Greywolf 2700,greywolf_camp_2700,camp_2700,greywolf_camp_2700_npc_00,camp_2700_npc_00,camp_2700,camp,2700,18,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,I can't believe we're all alive! And back together again!,I can't believe we're all alive! And back together again!,gamedata/localizationstring_eng.paloc
greywolf_camp_2700_npc_00_00019,greywolf,Greywolf,Scene Dialogue,Greywolf,Greywolf,2700,Greywolf 2700,greywolf_camp_2700,camp_2700,greywolf_camp_2700_npc_00,camp_2700_npc_00,camp_2700,camp,2700,19,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Come on! Join us, Damiane! It is a celebration after all.","Come on! Join us, Damiane! It is a celebration after all.",gamedata/localizationstring_eng.paloc
greywolf_camp_2700_npc_00_00020,greywolf,Greywolf,Scene Dialogue,Greywolf,Greywolf,2700,Greywolf 2700,greywolf_camp_2700,camp_2700,greywolf_camp_2700_npc_00,camp_2700_npc_00,camp_2700,camp,2700,20,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,No mug's safe around Yann.,No mug's safe around Yann.,gamedata/localizationstring_eng.paloc
greywolf_camp_2700_npc_00_00021,greywolf,Greywolf,Scene Dialogue,Greywolf,Greywolf,2700,Greywolf 2700,greywolf_camp_2700,camp_2700,greywolf_camp_2700_npc_00,camp_2700_npc_00,camp_2700,camp,2700,21,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
greywolf_camp_2700_npc_00_00022,greywolf,Greywolf,Scene Dialogue,Greywolf,Greywolf,2700,Greywolf 2700,greywolf_camp_2700,camp_2700,greywolf_camp_2700_npc_00,camp_2700_npc_00,camp_2700,camp,2700,22,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Here's to us, still standing and breathing!","Here's to us, still standing and breathing!",gamedata/localizationstring_eng.paloc
greywolf_camp_2700_npc_00_00023,greywolf,Greywolf,Scene Dialogue,Greywolf,Greywolf,2700,Greywolf 2700,greywolf_camp_2700,camp_2700,greywolf_camp_2700_npc_00,camp_2700_npc_00,camp_2700,camp,2700,23,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
greywolf_camp_2700_npc_00_00024,greywolf,Greywolf,Scene Dialogue,Greywolf,Greywolf,2700,Greywolf 2700,greywolf_camp_2700,camp_2700,greywolf_camp_2700_npc_00,camp_2700_npc_00,camp_2700,camp,2700,24,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"If not for Kliff and Naira, I'd be pushing up daisies... haha...","If not for Kliff and Naira, I'd be pushing up daisies... haha...",gamedata/localizationstring_eng.paloc
greywolf_camp_2700_npc_00_00025,greywolf,Greywolf,Scene Dialogue,Greywolf,Greywolf,2700,Greywolf 2700,greywolf_camp_2700,camp_2700,greywolf_camp_2700_npc_00,camp_2700_npc_00,camp_2700,camp,2700,25,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Is that for me?,Is that for me?,gamedata/localizationstring_eng.paloc
greywolf_camp_2700_npc_00_00026,greywolf,Greywolf,Scene Dialogue,Greywolf,Greywolf,2700,Greywolf 2700,greywolf_camp_2700,camp_2700,greywolf_camp_2700_npc_00,camp_2700_npc_00,camp_2700,camp,2700,26,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Come on, Yann!","Come on, Yann!",gamedata/localizationstring_eng.paloc
