key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
gwenkraver_9000_boss_00_00013,gwenkraver,Gwenkraver,Scene Dialogue,Gwenkraver,Gwenkraver,9000,Gwenkraver 9000,gwenkraver_9000,9000,gwenkraver_9000_boss_00,9000_boss_00,9000,9000,,13,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,So it was you!,So it was you!,gamedata/localizationstring_eng.paloc
gwenkraver_9000_boss_00_00014,gwenkraver,Gwenkraver,Scene Dialogue,Gwenkraver,Gwenkraver,9000,Gwenkraver 9000,gwenkraver_9000,9000,gwenkraver_9000_boss_00,9000_boss_00,9000,9000,,14,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,,,gamedata/localizationstring_eng.paloc
gwenkraver_9000_boss_00_00015,gwenkraver,Gwenkraver,Scene Dialogue,Gwenkraver,Gwenkraver,9000,Gwenkraver 9000,gwenkraver_9000,9000,gwenkraver_9000_boss_00,9000_boss_00,9000,9000,,15,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,I can't believe it... Defeated?!,I can't believe it... Defeated?!,gamedata/localizationstring_eng.paloc
gwenkraver_9000_boss_00_00016,gwenkraver,Gwenkraver,Scene Dialogue,Gwenkraver,Gwenkraver,9000,Gwenkraver 9000,gwenkraver_9000,9000,gwenkraver_9000_boss_00,9000_boss_00,9000,9000,,16,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,,,gamedata/localizationstring_eng.paloc
gwenkraver_9000_boss_00_00017,gwenkraver,Gwenkraver,Scene Dialogue,Gwenkraver,Gwenkraver,9000,Gwenkraver 9000,gwenkraver_9000,9000,gwenkraver_9000_boss_00,9000_boss_00,9000,9000,,17,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,You were the one who dared to meddle in our affairs!,You were the one who dared to meddle in our affairs!,gamedata/localizationstring_eng.paloc
gwenkraver_9000_boss_00_00018,gwenkraver,Gwenkraver,Scene Dialogue,Gwenkraver,Gwenkraver,9000,Gwenkraver 9000,gwenkraver_9000,9000,gwenkraver_9000_boss_00,9000_boss_00,9000,9000,,18,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,I'll shatter you into pieces!,I'll shatter you into pieces!,gamedata/localizationstring_eng.paloc
gwenkraver_9000_boss_00_00019,gwenkraver,Gwenkraver,Scene Dialogue,Gwenkraver,Gwenkraver,9000,Gwenkraver 9000,gwenkraver_9000,9000,gwenkraver_9000_boss_00,9000_boss_00,9000,9000,,19,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Just who do you think you are...,Just who do you think you are...,gamedata/localizationstring_eng.paloc
gwenkraver_9000_boss_00_00020,gwenkraver,Gwenkraver,Scene Dialogue,Gwenkraver,Gwenkraver,9000,Gwenkraver 9000,gwenkraver_9000,9000,gwenkraver_9000_boss_00,9000_boss_00,9000,9000,,20,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,"storming in, and causing trouble?","storming in, and causing trouble?",gamedata/localizationstring_eng.paloc
gwenkraver_9000_boss_00_00021,gwenkraver,Gwenkraver,Scene Dialogue,Gwenkraver,Gwenkraver,9000,Gwenkraver 9000,gwenkraver_9000,9000,gwenkraver_9000_boss_00,9000_boss_00,9000,9000,,21,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Speak before I kill you!,Speak before I kill you!,gamedata/localizationstring_eng.paloc
gwenkraver_9000_boss_00_00022,gwenkraver,Gwenkraver,Scene Dialogue,Gwenkraver,Gwenkraver,9000,Gwenkraver 9000,gwenkraver_9000,9000,gwenkraver_9000_boss_00,9000_boss_00,9000,9000,,22,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Or do you wish to freeze to death?,Or do you wish to freeze to death?,gamedata/localizationstring_eng.paloc
gwenkraver_9000_narration_00012,gwenkraver,Gwenkraver,Scene Dialogue,Gwenkraver,Gwenkraver,9000,Gwenkraver 9000,gwenkraver_9000,9000,gwenkraver_9000_narration,9000_narration,9000,9000,,12,narration,,narration,Narration,Narration,Narration,,role,,Do not dare to defy righteousness again.,Do not dare to defy righteousness again.,gamedata/localizationstring_eng.paloc
gwenkraver_bossencounter_ambush_boss_00_00033,gwenkraver,Gwenkraver,Scene Dialogue,Gwenkraver,Gwenkraver,,Gwenkraver,gwenkraver_bossencounter_ambush,bossencounter_ambush,gwenkraver_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,33,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,"Seek me out, and I'll send you to an icy grave.","Seek me out, and I'll send you to an icy grave.",gamedata/localizationstring_eng.paloc
gwenkraver_bossencounter_ambush_boss_00_00034,gwenkraver,Gwenkraver,Scene Dialogue,Gwenkraver,Gwenkraver,,Gwenkraver,gwenkraver_bossencounter_ambush,bossencounter_ambush,gwenkraver_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,34,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Flee before I freeze you where you stand.,Flee before I freeze you where you stand.,gamedata/localizationstring_eng.paloc
gwenkraver_bossencounter_ambush_boss_00_00035,gwenkraver,Gwenkraver,Scene Dialogue,Gwenkraver,Gwenkraver,,Gwenkraver,gwenkraver_bossencounter_ambush,bossencounter_ambush,gwenkraver_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,35,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,The cold will claim your bones!,The cold will claim your bones!,gamedata/localizationstring_eng.paloc
gwenkraver_bossencounter_ambush_boss_00_00036,gwenkraver,Gwenkraver,Scene Dialogue,Gwenkraver,Gwenkraver,,Gwenkraver,gwenkraver_bossencounter_ambush,bossencounter_ambush,gwenkraver_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,36,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,I'll make you regret harming my men!,I'll make you regret harming my men!,gamedata/localizationstring_eng.paloc
gwenkraver_bossencounter_ambush_boss_00_00037,gwenkraver,Gwenkraver,Scene Dialogue,Gwenkraver,Gwenkraver,,Gwenkraver,gwenkraver_bossencounter_ambush,bossencounter_ambush,gwenkraver_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,37,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Is that your full strength? Laughable.,Is that your full strength? Laughable.,gamedata/localizationstring_eng.paloc
