key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
hamondbeindel_bossencounter_ambush_boss_00_00011,hamondbeindel,Hamondbeindel,Scene Dialogue,Hamondbeindel,Hamondbeindel,,Hamondbeindel,hamondbeindel_bossencounter_ambush,bossencounter_ambush,hamondbeindel_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,11,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,I'll snap off one limb and you'll whimper like a dog.,I'll snap off one limb and you'll whimper like a dog.,gamedata/localizationstring_eng.paloc
hamondbeindel_bossencounter_ambush_boss_00_00012,hamondbeindel,Hamondbeindel,Scene Dialogue,Hamondbeindel,Hamondbeindel,,Hamondbeindel,hamondbeindel_bossencounter_ambush,bossencounter_ambush,hamondbeindel_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,12,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,We're just getting started!,We're just getting started!,gamedata/localizationstring_eng.paloc
hamondbeindel_bossencounter_ambush_boss_00_00013,hamondbeindel,Hamondbeindel,Scene Dialogue,Hamondbeindel,Hamondbeindel,,Hamondbeindel,hamondbeindel_bossencounter_ambush,bossencounter_ambush,hamondbeindel_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,13,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,How I'd love watching you grovel in my hounds' pen!,How I'd love watching you grovel in my hounds' pen!,gamedata/localizationstring_eng.paloc
hamondbeindel_bossencounter_ambush_boss_00_00014,hamondbeindel,Hamondbeindel,Scene Dialogue,Hamondbeindel,Hamondbeindel,,Hamondbeindel,hamondbeindel_bossencounter_ambush,bossencounter_ambush,hamondbeindel_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,14,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,I'll break you like I'd break a beast!,I'll break you like I'd break a beast!,gamedata/localizationstring_eng.paloc
hamondbeindel_bossencounter_ambush_boss_00_00015,hamondbeindel,Hamondbeindel,Scene Dialogue,Hamondbeindel,Hamondbeindel,,Hamondbeindel,hamondbeindel_bossencounter_ambush,bossencounter_ambush,hamondbeindel_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,15,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,How much did those priests slip into your purse?,How much did those priests slip into your purse?,gamedata/localizationstring_eng.paloc
hamondbeindel_bossencounter_ambush_boss_00_00016,hamondbeindel,Hamondbeindel,Scene Dialogue,Hamondbeindel,Hamondbeindel,,Hamondbeindel,hamondbeindel_bossencounter_ambush,bossencounter_ambush,hamondbeindel_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,16,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,My dogs prefer their meat nice and tender!,My dogs prefer their meat nice and tender!,gamedata/localizationstring_eng.paloc
hamondbeindel_bossencounter_ambush_boss_00_00017,hamondbeindel,Hamondbeindel,Scene Dialogue,Hamondbeindel,Hamondbeindel,,Hamondbeindel,hamondbeindel_bossencounter_ambush,bossencounter_ambush,hamondbeindel_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,17,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,"My hounds know your scent, you won't get far.","My hounds know your scent, you won't get far.",gamedata/localizationstring_eng.paloc
hamondbeindel_bossencounter_ambush_boss_00_00018,hamondbeindel,Hamondbeindel,Scene Dialogue,Hamondbeindel,Hamondbeindel,,Hamondbeindel,hamondbeindel_bossencounter_ambush,bossencounter_ambush,hamondbeindel_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,18,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,"If you want to live, beg like the cur you are!","If you want to live, beg like the cur you are!",gamedata/localizationstring_eng.paloc
hamondbeindel_bossencounter_ambush_globalgametrack_00019,hamondbeindel,Hamondbeindel,Scene Dialogue,Hamondbeindel,Hamondbeindel,,Hamondbeindel,hamondbeindel_bossencounter_ambush,bossencounter_ambush,hamondbeindel_bossencounter_ambush_globalgametrack,bossencounter_ambush_globalgametrack,bossencounter_ambush,bossencounter,ambush,19,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,My hounds are starving!,My hounds are starving!,gamedata/localizationstring_eng.paloc
hamondbeindel_bossencounter_ambush_globalgametrack_00020,hamondbeindel,Hamondbeindel,Scene Dialogue,Hamondbeindel,Hamondbeindel,,Hamondbeindel,hamondbeindel_bossencounter_ambush,bossencounter_ambush,hamondbeindel_bossencounter_ambush_globalgametrack,bossencounter_ambush_globalgametrack,bossencounter_ambush,bossencounter,ambush,20,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,My hounds will feast on your flesh!,My hounds will feast on your flesh!,gamedata/localizationstring_eng.paloc
hamondbeindel_bossencounter_ambush_globalgametrack_00021,hamondbeindel,Hamondbeindel,Scene Dialogue,Hamondbeindel,Hamondbeindel,,Hamondbeindel,hamondbeindel_bossencounter_ambush,bossencounter_ambush,hamondbeindel_bossencounter_ambush_globalgametrack,bossencounter_ambush_globalgametrack,bossencounter_ambush,bossencounter,ambush,21,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,I'll throw you into the kennel!,I'll throw you into the kennel!,gamedata/localizationstring_eng.paloc
hamondbeindel_bossencounter_ambush_globalgametrack_00022,hamondbeindel,Hamondbeindel,Scene Dialogue,Hamondbeindel,Hamondbeindel,,Hamondbeindel,hamondbeindel_bossencounter_ambush,bossencounter_ambush,hamondbeindel_bossencounter_ambush_globalgametrack,bossencounter_ambush_globalgametrack,bossencounter_ambush,bossencounter,ambush,22,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,You're a pitiful pup!,You're a pitiful pup!,gamedata/localizationstring_eng.paloc
hamondbeindel_bossencounter_ambush_globalgametrack_00023,hamondbeindel,Hamondbeindel,Scene Dialogue,Hamondbeindel,Hamondbeindel,,Hamondbeindel,hamondbeindel_bossencounter_ambush,bossencounter_ambush,hamondbeindel_bossencounter_ambush_globalgametrack,bossencounter_ambush_globalgametrack,bossencounter_ambush,bossencounter,ambush,23,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,Go on and give them a bite!,Go on and give them a bite!,gamedata/localizationstring_eng.paloc
hamondbeindel_bossencounter_stand_boss_00_00021,hamondbeindel,Hamondbeindel,Scene Dialogue,Hamondbeindel,Hamondbeindel,,Hamondbeindel,hamondbeindel_bossencounter_stand,bossencounter_stand,hamondbeindel_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,21,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Give up now... and I might keep you whole until you're sold.,Give up now... and I might keep you whole until you're sold.,gamedata/localizationstring_eng.paloc
