key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
hawkstoneruins_0100_npc_00_00002,hawkstoneruins,Hawkstoneruins,Scene Dialogue,Hawkstoneruins,Hawkstoneruins,0100,Hawkstoneruins 0100,hawkstoneruins_0100,0100,hawkstoneruins_0100_npc_00,0100_npc_00,0100,0100,,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Hello!? Is anyone there? If this keeps up, the machines will... Please, someone!","Hello!? Is anyone there? If this keeps up, the machines will... Please, someone!",gamedata/localizationstring_eng.paloc
hawkstoneruins_0100_npc_00_00003,hawkstoneruins,Hawkstoneruins,Scene Dialogue,Hawkstoneruins,Hawkstoneruins,0100,Hawkstoneruins 0100,hawkstoneruins_0100,0100,hawkstoneruins_0100_npc_00,0100_npc_00,0100,0100,,3,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"You! It's still dangerous here! Get down, quickly!","You! It's still dangerous here! Get down, quickly!",gamedata/localizationstring_eng.paloc
hawkstoneruins_0100_npc_00_00004,hawkstoneruins,Hawkstoneruins,Scene Dialogue,Hawkstoneruins,Hawkstoneruins,0100,Hawkstoneruins 0100,hawkstoneruins_0100,0100,hawkstoneruins_0100_npc_00,0100_npc_00,0100,0100,,4,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,T-The coachman... where has the coachman gone?,T-The coachman... where has the coachman gone?,gamedata/localizationstring_eng.paloc
hawkstoneruins_0100_npc_00_00005,hawkstoneruins,Hawkstoneruins,Scene Dialogue,Hawkstoneruins,Hawkstoneruins,0100,Hawkstoneruins 0100,hawkstoneruins_0100,0100,hawkstoneruins_0100_npc_00,0100_npc_00,0100,0100,,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Blast! Are we safe now, or shall more of them spring upon us?","Blast! Are we safe now, or shall more of them spring upon us?",gamedata/localizationstring_eng.paloc
hawkstoneruins_0100_npc_00_00006,hawkstoneruins,Hawkstoneruins,Scene Dialogue,Hawkstoneruins,Hawkstoneruins,0100,Hawkstoneruins 0100,hawkstoneruins_0100,0100,hawkstoneruins_0100_npc_00,0100_npc_00,0100,0100,,6,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,We can't keep hiding here. We need to get moving.,We can't keep hiding here. We need to get moving.,gamedata/localizationstring_eng.paloc
hawkstoneruins_0100_npc_00_00007,hawkstoneruins,Hawkstoneruins,Scene Dialogue,Hawkstoneruins,Hawkstoneruins,0100,Hawkstoneruins 0100,hawkstoneruins_0100,0100,hawkstoneruins_0100_npc_00,0100_npc_00,0100,0100,,7,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,I-I must ask a favor. Take this carriage and drive me to Hawkstone Ruins.,I-I must ask a favor. Take this carriage and drive me to Hawkstone Ruins.,gamedata/localizationstring_eng.paloc
hawkstoneruins_0100_npc_00_00008,hawkstoneruins,Hawkstoneruins,Scene Dialogue,Hawkstoneruins,Hawkstoneruins,0100,Hawkstoneruins 0100,hawkstoneruins_0100,0100,hawkstoneruins_0100_npc_00,0100_npc_00,0100,0100,,8,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"I-I'm no good at the reins, so I'll need to rely on you.","I-I'm no good at the reins, so I'll need to rely on you.",gamedata/localizationstring_eng.paloc
hawkstoneruins_0100_npc_00_00009,hawkstoneruins,Hawkstoneruins,Scene Dialogue,Hawkstoneruins,Hawkstoneruins,0100,Hawkstoneruins 0100,hawkstoneruins_0100,0100,hawkstoneruins_0100_npc_00,0100_npc_00,0100,0100,,9,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Let's make haste before they return!,Let's make haste before they return!,gamedata/localizationstring_eng.paloc
hawkstoneruins_0100_npc_00_00010,hawkstoneruins,Hawkstoneruins,Scene Dialogue,Hawkstoneruins,Hawkstoneruins,0100,Hawkstoneruins 0100,hawkstoneruins_0100,0100,hawkstoneruins_0100_npc_00,0100_npc_00,0100,0100,,10,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,I was nearly crow feed.,I was nearly crow feed.,gamedata/localizationstring_eng.paloc
hawkstoneruins_0100_npc_00_00011,hawkstoneruins,Hawkstoneruins,Scene Dialogue,Hawkstoneruins,Hawkstoneruins,0100,Hawkstoneruins 0100,hawkstoneruins_0100,0100,hawkstoneruins_0100_npc_00,0100_npc_00,0100,0100,,11,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,I can still feel my heart pounding.,I can still feel my heart pounding.,gamedata/localizationstring_eng.paloc
hawkstoneruins_0100_npc_00_00012,hawkstoneruins,Hawkstoneruins,Scene Dialogue,Hawkstoneruins,Hawkstoneruins,0100,Hawkstoneruins 0100,hawkstoneruins_0100,0100,hawkstoneruins_0100_npc_00,0100_npc_00,0100,0100,,12,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"About earlier... I was just waiting for the right moment, that's all.","About earlier... I was just waiting for the right moment, that's all.",gamedata/localizationstring_eng.paloc
hawkstoneruins_0100_npc_00_00013,hawkstoneruins,Hawkstoneruins,Scene Dialogue,Hawkstoneruins,Hawkstoneruins,0100,Hawkstoneruins 0100,hawkstoneruins_0100,0100,hawkstoneruins_0100_npc_00,0100_npc_00,0100,0100,,13,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"I survived, so that's what matters, isn't it?","I survived, so that's what matters, isn't it?",gamedata/localizationstring_eng.paloc
hawkstoneruins_0100_npc_00_00014,hawkstoneruins,Hawkstoneruins,Scene Dialogue,Hawkstoneruins,Hawkstoneruins,0100,Hawkstoneruins 0100,hawkstoneruins_0100,0100,hawkstoneruins_0100_npc_00,0100_npc_00,0100,0100,,14,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,I've had my fill of this sort of thing. I'd rather not live through it again.,I've had my fill of this sort of thing. I'd rather not live through it again.,gamedata/localizationstring_eng.paloc
hawkstoneruins_0100_npc_00_00015,hawkstoneruins,Hawkstoneruins,Scene Dialogue,Hawkstoneruins,Hawkstoneruins,0100,Hawkstoneruins 0100,hawkstoneruins_0100,0100,hawkstoneruins_0100_npc_00,0100_npc_00,0100,0100,,15,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,I truly owe you for today. Thank you.,I truly owe you for today. Thank you.,gamedata/localizationstring_eng.paloc
hawkstoneruins_0100_player_00000,hawkstoneruins,Hawkstoneruins,Scene Dialogue,Hawkstoneruins,Hawkstoneruins,0100,Hawkstoneruins 0100,hawkstoneruins_0100,0100,hawkstoneruins_0100_player,0100_player,0100,0100,,0,player,,player,Player,Player,Player,,role,,"It's alright, you can get up.","It's alright, you can get up.",gamedata/localizationstring_eng.paloc
