key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
hernand_legendaryhunter_0010_npc_00_00006,hernand,Hernand,Scene Dialogue,Hernand,Hernand,0010,Hernand 0010,hernand_legendaryhunter_0010,legendaryhunter_0010,hernand_legendaryhunter_0010_npc_00,legendaryhunter_0010_npc_00,legendaryhunter_0010,legendaryhunter,0010,6,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,The Legendary Hunter? Haven't heard that name in ages.,The Legendary Hunter? Haven't heard that name in ages.,gamedata/localizationstring_eng.paloc
hernand_legendaryhunter_0010_npc_00_00007,hernand,Hernand,Scene Dialogue,Hernand,Hernand,0010,Hernand 0010,hernand_legendaryhunter_0010,legendaryhunter_0010,hernand_legendaryhunter_0010_npc_00,legendaryhunter_0010_npc_00,legendaryhunter_0010,legendaryhunter,0010,7,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Of course, I spent seasons trailing the man.","Of course, I spent seasons trailing the man.",gamedata/localizationstring_eng.paloc
hernand_legendaryhunter_0010_npc_00_00008,hernand,Hernand,Scene Dialogue,Hernand,Hernand,0010,Hernand 0010,hernand_legendaryhunter_0010,legendaryhunter_0010,hernand_legendaryhunter_0010_npc_00,legendaryhunter_0010_npc_00,legendaryhunter_0010,legendaryhunter,0010,8,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,I've a fair idea where he might be...,I've a fair idea where he might be...,gamedata/localizationstring_eng.paloc
hernand_legendaryhunter_0010_npc_00_00009,hernand,Hernand,Scene Dialogue,Hernand,Hernand,0010,Hernand 0010,hernand_legendaryhunter_0010,legendaryhunter_0010,hernand_legendaryhunter_0010_npc_00,legendaryhunter_0010_npc_00,legendaryhunter_0010,legendaryhunter,0010,9,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,But why should I trust you? Haven't I just met ya?,But why should I trust you? Haven't I just met ya?,gamedata/localizationstring_eng.paloc
hernand_legendaryhunter_0010_npc_00_00012,hernand,Hernand,Scene Dialogue,Hernand,Hernand,0010,Hernand 0010,hernand_legendaryhunter_0010,legendaryhunter_0010,hernand_legendaryhunter_0010_npc_00,legendaryhunter_0010_npc_00,legendaryhunter_0010,legendaryhunter,0010,12,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Bear hide is best of all.,Bear hide is best of all.,gamedata/localizationstring_eng.paloc
hernand_legendaryhunter_0010_npc_00_00013,hernand,Hernand,Scene Dialogue,Hernand,Hernand,0010,Hernand 0010,hernand_legendaryhunter_0010,legendaryhunter_0010,hernand_legendaryhunter_0010_npc_00,legendaryhunter_0010_npc_00,legendaryhunter_0010,legendaryhunter,0010,13,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Lot more folk looking for long-fur hides lately.,Lot more folk looking for long-fur hides lately.,gamedata/localizationstring_eng.paloc
hernand_legendaryhunter_0020_npc_00_00011,hernand,Hernand,Scene Dialogue,Hernand,Hernand,0020,Hernand 0020,hernand_legendaryhunter_0020,legendaryhunter_0020,hernand_legendaryhunter_0020_npc_00,legendaryhunter_0020_npc_00,legendaryhunter_0020,legendaryhunter,0020,11,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Damn, drink's run dry.","Damn, drink's run dry.",gamedata/localizationstring_eng.paloc
hernand_legendaryhunter_0020_npc_00_00012,hernand,Hernand,Scene Dialogue,Hernand,Hernand,0020,Hernand 0020,hernand_legendaryhunter_0020,legendaryhunter_0020,hernand_legendaryhunter_0020_npc_00,legendaryhunter_0020_npc_00,legendaryhunter_0020,legendaryhunter,0020,12,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Legendary Hunter? I was called that... once.,Legendary Hunter? I was called that... once.,gamedata/localizationstring_eng.paloc
hernand_legendaryhunter_0020_npc_00_00013,hernand,Hernand,Scene Dialogue,Hernand,Hernand,0020,Hernand 0020,hernand_legendaryhunter_0020,legendaryhunter_0020,hernand_legendaryhunter_0020_npc_00,legendaryhunter_0020_npc_00,legendaryhunter_0020,legendaryhunter,0020,13,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"But since I tangled with that bastard and felt how helpless I truly was,","But since I tangled with that bastard and felt how helpless I truly was,",gamedata/localizationstring_eng.paloc
hernand_legendaryhunter_0020_npc_00_00014,hernand,Hernand,Scene Dialogue,Hernand,Hernand,0020,Hernand 0020,hernand_legendaryhunter_0020,legendaryhunter_0020,hernand_legendaryhunter_0020_npc_00,legendaryhunter_0020_npc_00,legendaryhunter_0020,legendaryhunter,0020,14,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,I've not gone a day without drink.,I've not gone a day without drink.,gamedata/localizationstring_eng.paloc
hernand_legendaryhunter_0020_npc_00_00015,hernand,Hernand,Scene Dialogue,Hernand,Hernand,0020,Hernand 0020,hernand_legendaryhunter_0020,legendaryhunter_0020,hernand_legendaryhunter_0020_npc_00,legendaryhunter_0020_npc_00,legendaryhunter_0020,legendaryhunter,0020,15,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Looks like you're chasing those creatures too.,Looks like you're chasing those creatures too.,gamedata/localizationstring_eng.paloc
hernand_legendaryhunter_0020_npc_00_00016,hernand,Hernand,Scene Dialogue,Hernand,Hernand,0020,Hernand 0020,hernand_legendaryhunter_0020,legendaryhunter_0020,hernand_legendaryhunter_0020_npc_00,legendaryhunter_0020_npc_00,legendaryhunter_0020,legendaryhunter,0020,16,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Ha! I've seen many like you. Marching straight to their graves.,Ha! I've seen many like you. Marching straight to their graves.,gamedata/localizationstring_eng.paloc
hernand_legendaryhunter_0020_npc_00_00017,hernand,Hernand,Scene Dialogue,Hernand,Hernand,0020,Hernand 0020,hernand_legendaryhunter_0020,legendaryhunter_0020,hernand_legendaryhunter_0020_npc_00,legendaryhunter_0020_npc_00,legendaryhunter_0020,legendaryhunter,0020,17,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Best not even think of going near such a dangerous beast.,Best not even think of going near such a dangerous beast.,gamedata/localizationstring_eng.paloc
hernand_legendaryhunter_0020_npc_00_00018,hernand,Hernand,Scene Dialogue,Hernand,Hernand,0020,Hernand 0020,hernand_legendaryhunter_0020,legendaryhunter_0020,hernand_legendaryhunter_0020_npc_00,legendaryhunter_0020_npc_00,legendaryhunter_0020,legendaryhunter,0020,18,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,I suggest you turn back.,I suggest you turn back.,gamedata/localizationstring_eng.paloc
hernand_legendaryhunter_0020_npc_00_00019,hernand,Hernand,Scene Dialogue,Hernand,Hernand,0020,Hernand 0020,hernand_legendaryhunter_0020,legendaryhunter_0020,hernand_legendaryhunter_0020_npc_00,legendaryhunter_0020_npc_00,legendaryhunter_0020,legendaryhunter,0020,19,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,If I cross paths with him again...,If I cross paths with him again...,gamedata/localizationstring_eng.paloc
hernand_legendaryhunter_0200_npc_00_00012,hernand,Hernand,Scene Dialogue,Hernand,Hernand,0200,Hernand 0200,hernand_legendaryhunter_0200,legendaryhunter_0200,hernand_legendaryhunter_0200_npc_00,legendaryhunter_0200_npc_00,legendaryhunter_0200,legendaryhunter,0200,12,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Still no sign of him...,Still no sign of him...,gamedata/localizationstring_eng.paloc
hernand_legendaryhunter_0200_npc_00_00013,hernand,Hernand,Scene Dialogue,Hernand,Hernand,0200,Hernand 0200,hernand_legendaryhunter_0200,legendaryhunter_0200,hernand_legendaryhunter_0200_npc_00,legendaryhunter_0200_npc_00,legendaryhunter_0200,legendaryhunter,0200,13,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"He's swept the tournament year after year, and they call him the Legendary Hunter.","He's swept the tournament year after year, and they call him the Legendary Hunter.",gamedata/localizationstring_eng.paloc
hernand_legendaryhunter_0200_npc_00_00014,hernand,Hernand,Scene Dialogue,Hernand,Hernand,0200,Hernand 0200,hernand_legendaryhunter_0200,legendaryhunter_0200,hernand_legendaryhunter_0200_npc_00,legendaryhunter_0200_npc_00,legendaryhunter_0200,legendaryhunter,0200,14,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"They say he's roamed far and wide, taking down beasts of legend.","They say he's roamed far and wide, taking down beasts of legend.",gamedata/localizationstring_eng.paloc
hernand_legendaryhunter_0200_npc_00_00015,hernand,Hernand,Scene Dialogue,Hernand,Hernand,0200,Hernand 0200,hernand_legendaryhunter_0200,legendaryhunter_0200,hernand_legendaryhunter_0200_npc_00,legendaryhunter_0200_npc_00,legendaryhunter_0200,legendaryhunter,0200,15,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Ah, are you interested in the hunt as well?","Ah, are you interested in the hunt as well?",gamedata/localizationstring_eng.paloc
hernand_legendaryhunter_0200_npc_00_00016,hernand,Hernand,Scene Dialogue,Hernand,Hernand,0200,Hernand 0200,hernand_legendaryhunter_0200,legendaryhunter_0200,hernand_legendaryhunter_0200_npc_00,legendaryhunter_0200_npc_00,legendaryhunter_0200,legendaryhunter,0200,16,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,I can point you to a good spot.,I can point you to a good spot.,gamedata/localizationstring_eng.paloc
hernand_legendaryhunter_0200_npc_00_00017,hernand,Hernand,Scene Dialogue,Hernand,Hernand,0200,Hernand 0200,hernand_legendaryhunter_0200,legendaryhunter_0200,hernand_legendaryhunter_0200_npc_00,legendaryhunter_0200_npc_00,legendaryhunter_0200,legendaryhunter,0200,17,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,And take some pelts with you. It'll help loosen the tongues of the other hunters.,And take some pelts with you. It'll help loosen the tongues of the other hunters.,gamedata/localizationstring_eng.paloc
