key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
hexe_sanctuary_3000_npc_00_00020,hexe,Hexe,Scene Dialogue,Hexe,Hexe,3000,Hexe 3000,hexe_sanctuary_3000,sanctuary_3000,hexe_sanctuary_3000_npc_00,sanctuary_3000_npc_00,sanctuary_3000,sanctuary,3000,20,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Kliff.,Kliff.,gamedata/localizationstring_eng.paloc
hexe_sanctuary_3000_npc_00_00021,hexe,Hexe,Scene Dialogue,Hexe,Hexe,3000,Hexe 3000,hexe_sanctuary_3000,sanctuary_3000,hexe_sanctuary_3000_npc_00,sanctuary_3000_npc_00,sanctuary_3000,sanctuary,3000,21,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Tell us what to do.,Tell us what to do.,gamedata/localizationstring_eng.paloc
hexe_sanctuary_3000_npc_00_00067,hexe,Hexe,Scene Dialogue,Hexe,Hexe,3000,Hexe 3000,hexe_sanctuary_3000,sanctuary_3000,hexe_sanctuary_3000_npc_00,sanctuary_3000_npc_00,sanctuary_3000,sanctuary,3000,67,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,How long are we meant to wait here just groping our sacks?,How long are we meant to wait here just groping our sacks?,gamedata/localizationstring_eng.paloc
hexe_sanctuary_3000_npc_00_00068,hexe,Hexe,Scene Dialogue,Hexe,Hexe,3000,Hexe 3000,hexe_sanctuary_3000,sanctuary_3000,hexe_sanctuary_3000_npc_00,sanctuary_3000_npc_00,sanctuary_3000,sanctuary,3000,68,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,You reckon he got nabbed?,You reckon he got nabbed?,gamedata/localizationstring_eng.paloc
hexe_sanctuary_3000_npc_00_00069,hexe,Hexe,Scene Dialogue,Hexe,Hexe,3000,Hexe 3000,hexe_sanctuary_3000,sanctuary_3000,hexe_sanctuary_3000_npc_00,sanctuary_3000_npc_00,sanctuary_3000,sanctuary,3000,69,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,What's taking so bloody long?,What's taking so bloody long?,gamedata/localizationstring_eng.paloc
hexe_sanctuary_3000_npc_00_00077,hexe,Hexe,Scene Dialogue,Hexe,Hexe,3000,Hexe 3000,hexe_sanctuary_3000,sanctuary_3000,hexe_sanctuary_3000_npc_00,sanctuary_3000_npc_00,sanctuary_3000,sanctuary,3000,77,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Right then, Fort Musket. Let's blow the bloody thing to pieces.","Right then, Fort Musket. Let's blow the bloody thing to pieces.",gamedata/localizationstring_eng.paloc
hexe_sanctuary_3000_npc_00_00087,hexe,Hexe,Scene Dialogue,Hexe,Hexe,3000,Hexe 3000,hexe_sanctuary_3000,sanctuary_3000,hexe_sanctuary_3000_npc_00,sanctuary_3000_npc_00,sanctuary_3000,sanctuary,3000,87,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Oi, what was that for?","Oi, what was that for?",gamedata/localizationstring_eng.paloc
hexe_sanctuary_3000_npc_00_00092,hexe,Hexe,Scene Dialogue,Hexe,Hexe,3000,Hexe 3000,hexe_sanctuary_3000,sanctuary_3000,hexe_sanctuary_3000_npc_00,sanctuary_3000_npc_00,sanctuary_3000,sanctuary,3000,92,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,About fucking time!,About fucking time!,gamedata/localizationstring_eng.paloc
hexe_sanctuary_3000_npc_00_00093,hexe,Hexe,Scene Dialogue,Hexe,Hexe,3000,Hexe 3000,hexe_sanctuary_3000,sanctuary_3000,hexe_sanctuary_3000_npc_00,sanctuary_3000_npc_00,sanctuary_3000,sanctuary,3000,93,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Huh? Who the fuck is Caliburn?,Huh? Who the fuck is Caliburn?,gamedata/localizationstring_eng.paloc
hexe_sanctuary_3000_npc_00_00094,hexe,Hexe,Scene Dialogue,Hexe,Hexe,3000,Hexe 3000,hexe_sanctuary_3000,sanctuary_3000,hexe_sanctuary_3000_npc_00,sanctuary_3000_npc_00,sanctuary_3000,sanctuary,3000,94,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,What the hell's going on?,What the hell's going on?,gamedata/localizationstring_eng.paloc
hexe_sanctuary_3000_npc_00_00103,hexe,Hexe,Scene Dialogue,Hexe,Hexe,3000,Hexe 3000,hexe_sanctuary_3000,sanctuary_3000,hexe_sanctuary_3000_npc_00,sanctuary_3000_npc_00,sanctuary_3000,sanctuary,3000,103,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Where's Kliff gone off to now?,Where's Kliff gone off to now?,gamedata/localizationstring_eng.paloc
hexe_sanctuary_3000_npc_01_00005,hexe,Hexe,Scene Dialogue,Hexe,Hexe,3000,Hexe 3000,hexe_sanctuary_3000,sanctuary_3000,hexe_sanctuary_3000_npc_01,sanctuary_3000_npc_01,sanctuary_3000,sanctuary,3000,5,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,Kliff!,Kliff!,gamedata/localizationstring_eng.paloc
