key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
hexemarie_9000_boss_00_00016,hexemarie,Hexemarie,Scene Dialogue,Hexemarie,Hexemarie,9000,Hexemarie 9000,hexemarie_9000,9000,hexemarie_9000_boss_00,9000_boss_00,9000,9000,,16,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,How disappointing. You couldn't even carry out your mother's command.,How disappointing. You couldn't even carry out your mother's command.,gamedata/localizationstring_eng.paloc
hexemarie_9000_boss_00_00017,hexemarie,Hexemarie,Scene Dialogue,Hexemarie,Hexemarie,9000,Hexemarie 9000,hexemarie_9000,9000,hexemarie_9000_boss_00,9000_boss_00,9000,9000,,17,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Not that I ever expected much from you.,Not that I ever expected much from you.,gamedata/localizationstring_eng.paloc
hexemarie_9000_boss_00_00018,hexemarie,Hexemarie,Scene Dialogue,Hexemarie,Hexemarie,9000,Hexemarie 9000,hexemarie_9000,9000,hexemarie_9000_boss_00,9000_boss_00,9000,9000,,18,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,"You've served your purpose. Now, I'll reclaim my power.","You've served your purpose. Now, I'll reclaim my power.",gamedata/localizationstring_eng.paloc
hexemarie_9000_boss_00_00019,hexemarie,Hexemarie,Scene Dialogue,Hexemarie,Hexemarie,9000,Hexemarie 9000,hexemarie_9000,9000,hexemarie_9000_boss_00,9000_boss_00,9000,9000,,19,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Greymane...,Greymane...,gamedata/localizationstring_eng.paloc
hexemarie_9000_boss_00_00023,hexemarie,Hexemarie,Scene Dialogue,Hexemarie,Hexemarie,9000,Hexemarie 9000,hexemarie_9000,9000,hexemarie_9000_boss_00,9000_boss_00,9000,9000,,23,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,How... precious.,How... precious.,gamedata/localizationstring_eng.paloc
hexemarie_9000_boss_00_00024,hexemarie,Hexemarie,Scene Dialogue,Hexemarie,Hexemarie,9000,Hexemarie 9000,hexemarie_9000,9000,hexemarie_9000_boss_00,9000_boss_00,9000,9000,,24,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,"Just like my child, you need to be... broken in!","Just like my child, you need to be... broken in!",gamedata/localizationstring_eng.paloc
hexemarie_9000_boss_00_00025,hexemarie,Hexemarie,Scene Dialogue,Hexemarie,Hexemarie,9000,Hexemarie 9000,hexemarie_9000,9000,hexemarie_9000_boss_00,9000_boss_00,9000,9000,,25,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,,,gamedata/localizationstring_eng.paloc
hexemarie_9000_boss_00_00026,hexemarie,Hexemarie,Scene Dialogue,Hexemarie,Hexemarie,9000,Hexemarie 9000,hexemarie_9000,9000,hexemarie_9000_boss_00,9000_boss_00,9000,9000,,26,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,As I thought... you're the far superior being.,As I thought... you're the far superior being.,gamedata/localizationstring_eng.paloc
hexemarie_9000_boss_00_00027,hexemarie,Hexemarie,Scene Dialogue,Hexemarie,Hexemarie,9000,Hexemarie 9000,hexemarie_9000,9000,hexemarie_9000_boss_00,9000_boss_00,9000,9000,,27,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,"Greymane, will you not be my son?","Greymane, will you not be my son?",gamedata/localizationstring_eng.paloc
hexemarie_9000_boss_00_00028,hexemarie,Hexemarie,Scene Dialogue,Hexemarie,Hexemarie,9000,Hexemarie 9000,hexemarie_9000,9000,hexemarie_9000_boss_00,9000_boss_00,9000,9000,,28,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,,,gamedata/localizationstring_eng.paloc
