key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
hotballoon_1100_npc_00_00000,hotballoon,Hotballoon,Scene Dialogue,Hotballoon,Hotballoon,1100,Hotballoon 1100,hotballoon_1100,1100,hotballoon_1100_npc_00,1100_npc_00,1100,1100,,0,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,How did I end up with such a halfwit for a business partner?,How did I end up with such a halfwit for a business partner?,gamedata/localizationstring_eng.paloc
hotballoon_1100_npc_00_00001,hotballoon,Hotballoon,Scene Dialogue,Hotballoon,Hotballoon,1100,Hotballoon 1100,hotballoon_1100,1100,hotballoon_1100_npc_00,1100_npc_00,1100,1100,,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,The stolen cloudcarts probably got sold off already!,The stolen cloudcarts probably got sold off already!,gamedata/localizationstring_eng.paloc
hotballoon_1100_npc_00_00002,hotballoon,Hotballoon,Scene Dialogue,Hotballoon,Hotballoon,1100,Hotballoon 1100,hotballoon_1100,1100,hotballoon_1100_npc_00,1100_npc_00,1100,1100,,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Blasted idiot! Was it so hard, what I asked of you?","Blasted idiot! Was it so hard, what I asked of you?",gamedata/localizationstring_eng.paloc
hotballoon_1100_npc_00_00003,hotballoon,Hotballoon,Scene Dialogue,Hotballoon,Hotballoon,1100,Hotballoon 1100,hotballoon_1100,1100,hotballoon_1100_npc_00,1100_npc_00,1100,1100,,3,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,All you had to do was guard the completed cloudcarts!,All you had to do was guard the completed cloudcarts!,gamedata/localizationstring_eng.paloc
hotballoon_1100_npc_00_00004,hotballoon,Hotballoon,Scene Dialogue,Hotballoon,Hotballoon,1100,Hotballoon 1100,hotballoon_1100,1100,hotballoon_1100_npc_00,1100_npc_00,1100,1100,,4,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Us? What do you mean us?,Us? What do you mean us?,gamedata/localizationstring_eng.paloc
hotballoon_1100_npc_00_00005,hotballoon,Hotballoon,Scene Dialogue,Hotballoon,Hotballoon,1100,Hotballoon 1100,hotballoon_1100,1100,hotballoon_1100_npc_00,1100_npc_00,1100,1100,,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,This fool nearly got the whole town killed by sleeping on the job.,This fool nearly got the whole town killed by sleeping on the job.,gamedata/localizationstring_eng.paloc
hotballoon_1100_npc_00_00006,hotballoon,Hotballoon,Scene Dialogue,Hotballoon,Hotballoon,1100,Hotballoon 1100,hotballoon_1100,1100,hotballoon_1100_npc_00,1100_npc_00,1100,1100,,6,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Is it now?!,Is it now?!,gamedata/localizationstring_eng.paloc
hotballoon_1100_npc_00_00007,hotballoon,Hotballoon,Scene Dialogue,Hotballoon,Hotballoon,1100,Hotballoon 1100,hotballoon_1100,1100,hotballoon_1100_npc_00,1100_npc_00,1100,1100,,7,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,We needed those cloudcarts to keep watch for raiders!,We needed those cloudcarts to keep watch for raiders!,gamedata/localizationstring_eng.paloc
hotballoon_1100_npc_00_00008,hotballoon,Hotballoon,Scene Dialogue,Hotballoon,Hotballoon,1100,Hotballoon 1100,hotballoon_1100,1100,hotballoon_1100_npc_00,1100_npc_00,1100,1100,,8,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,What if some bandits... or the Reed Devil come prowling?,What if some bandits... or the Reed Devil come prowling?,gamedata/localizationstring_eng.paloc
hotballoon_1100_npc_00_00009,hotballoon,Hotballoon,Scene Dialogue,Hotballoon,Hotballoon,1100,Hotballoon 1100,hotballoon_1100,1100,hotballoon_1100_npc_00,1100_npc_00,1100,1100,,9,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"It's all your fault, you idiot.","It's all your fault, you idiot.",gamedata/localizationstring_eng.paloc
hotballoon_1100_npc_00_00010,hotballoon,Hotballoon,Scene Dialogue,Hotballoon,Hotballoon,1100,Hotballoon 1100,hotballoon_1100,1100,hotballoon_1100_npc_00,1100_npc_00,1100,1100,,10,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"What, you plan to fight them off? You can't even fight off sleep.","What, you plan to fight them off? You can't even fight off sleep.",gamedata/localizationstring_eng.paloc
hotballoon_1100_npc_00_00011,hotballoon,Hotballoon,Scene Dialogue,Hotballoon,Hotballoon,1100,Hotballoon 1100,hotballoon_1100,1100,hotballoon_1100_npc_00,1100_npc_00,1100,1100,,11,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
hotballoon_1100_npc_01_00012,hotballoon,Hotballoon,Scene Dialogue,Hotballoon,Hotballoon,1100,Hotballoon 1100,hotballoon_1100,1100,hotballoon_1100_npc_01,1100_npc_01,1100,1100,,12,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,"G-Greymane, is that you? Please, lend us a hand!","G-Greymane, is that you? Please, lend us a hand!",gamedata/localizationstring_eng.paloc
hotballoon_1100_npc_01_00013,hotballoon,Hotballoon,Scene Dialogue,Hotballoon,Hotballoon,1100,Hotballoon 1100,hotballoon_1100,1100,hotballoon_1100_npc_01,1100_npc_01,1100,1100,,13,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,That's a bit much!,That's a bit much!,gamedata/localizationstring_eng.paloc
hotballoon_1100_npc_01_00014,hotballoon,Hotballoon,Scene Dialogue,Hotballoon,Hotballoon,1100,Hotballoon 1100,hotballoon_1100,1100,hotballoon_1100_npc_01,1100_npc_01,1100,1100,,14,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,"I said I'd go find them, didn't I?","I said I'd go find them, didn't I?",gamedata/localizationstring_eng.paloc
hotballoon_1100_npc_01_00015,hotballoon,Hotballoon,Scene Dialogue,Hotballoon,Hotballoon,1100,Hotballoon 1100,hotballoon_1100,1100,hotballoon_1100_npc_01,1100_npc_01,1100,1100,,15,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,"Well, that's why we're asking him! Please help us get our balloons back!","Well, that's why we're asking him! Please help us get our balloons back!",gamedata/localizationstring_eng.paloc
hotballoon_1200_npc_00_00001,hotballoon,Hotballoon,Scene Dialogue,Hotballoon,Hotballoon,1200,Hotballoon 1200,hotballoon_1200,1200,hotballoon_1200_npc_00,1200_npc_00,1200,1200,,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"It's a tough task, even for a Greymane.","It's a tough task, even for a Greymane.",gamedata/localizationstring_eng.paloc
hotballoon_1200_npc_00_00002,hotballoon,Hotballoon,Scene Dialogue,Hotballoon,Hotballoon,1200,Hotballoon 1200,hotballoon_1200,1200,hotballoon_1200_npc_00,1200_npc_00,1200,1200,,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Perhaps I've asked too much of him.,Perhaps I've asked too much of him.,gamedata/localizationstring_eng.paloc
hotballoon_1200_npc_00_00003,hotballoon,Hotballoon,Scene Dialogue,Hotballoon,Hotballoon,1200,Hotballoon 1200,hotballoon_1200,1200,hotballoon_1200_npc_00,1200_npc_00,1200,1200,,3,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,It would be a miracle if they came back in one piece.,It would be a miracle if they came back in one piece.,gamedata/localizationstring_eng.paloc
hotballoon_1200_npc_00_00004,hotballoon,Hotballoon,Scene Dialogue,Hotballoon,Hotballoon,1200,Hotballoon 1200,hotballoon_1200,1200,hotballoon_1200_npc_00,1200_npc_00,1200,1200,,4,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
hotballoon_1200_npc_00_00005,hotballoon,Hotballoon,Scene Dialogue,Hotballoon,Hotballoon,1200,Hotballoon 1200,hotballoon_1200,1200,hotballoon_1200_npc_00,1200_npc_00,1200,1200,,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Ha! And here I was worrying it was too dangerous. Seems I wasted my breath!,Ha! And here I was worrying it was too dangerous. Seems I wasted my breath!,gamedata/localizationstring_eng.paloc
hotballoon_1200_npc_00_00006,hotballoon,Hotballoon,Scene Dialogue,Hotballoon,Hotballoon,1200,Hotballoon 1200,hotballoon_1200,1200,hotballoon_1200_npc_00,1200_npc_00,1200,1200,,6,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,You managed to deal with those thieves in remarkable fashion!,You managed to deal with those thieves in remarkable fashion!,gamedata/localizationstring_eng.paloc
