key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
hyenamolar_valley_3200_npc_00_00000,hyenamolar,Hyenamolar,Scene Dialogue,Hyenamolar,Hyenamolar,3200,Hyenamolar 3200,hyenamolar_valley_3200,valley_3200,hyenamolar_valley_3200_npc_00,valley_3200_npc_00,valley_3200,valley,3200,0,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,What if he comes down to the village...?,What if he comes down to the village...?,gamedata/localizationstring_eng.paloc
hyenamolar_valley_3200_npc_00_00001,hyenamolar,Hyenamolar,Scene Dialogue,Hyenamolar,Hyenamolar,3200,Hyenamolar 3200,hyenamolar_valley_3200,valley_3200,hyenamolar_valley_3200_npc_00,valley_3200_npc_00,valley_3200,valley,3200,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Goodness... A hyena called Skevald has been attacking travelers.,Goodness... A hyena called Skevald has been attacking travelers.,gamedata/localizationstring_eng.paloc
hyenamolar_valley_3200_npc_00_00002,hyenamolar,Hyenamolar,Scene Dialogue,Hyenamolar,Hyenamolar,3200,Hyenamolar 3200,hyenamolar_valley_3200,valley_3200,hyenamolar_valley_3200_npc_00,valley_3200_npc_00,valley_3200,valley,3200,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,We ought to tell the young ones not to wander beyond the village...,We ought to tell the young ones not to wander beyond the village...,gamedata/localizationstring_eng.paloc
hyenamolar_valley_3300_npc_00_00001,hyenamolar,Hyenamolar,Scene Dialogue,Hyenamolar,Hyenamolar,3300,Hyenamolar 3300,hyenamolar_valley_3300,valley_3300,hyenamolar_valley_3300_npc_00,valley_3300_npc_00,valley_3300,valley,3300,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,That wretched beast hasn't been seen in quite a while...,That wretched beast hasn't been seen in quite a while...,gamedata/localizationstring_eng.paloc
hyenamolar_valley_3300_npc_00_00010,hyenamolar,Hyenamolar,Scene Dialogue,Hyenamolar,Hyenamolar,3300,Hyenamolar 3300,hyenamolar_valley_3300,valley_3300,hyenamolar_valley_3300_npc_00,valley_3300_npc_00,valley_3300,valley,3300,10,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Did you really slay that beast?,Did you really slay that beast?,gamedata/localizationstring_eng.paloc
hyenamolar_valley_3300_npc_00_00011,hyenamolar,Hyenamolar,Scene Dialogue,Hyenamolar,Hyenamolar,3300,Hyenamolar 3300,hyenamolar_valley_3300,valley_3300,hyenamolar_valley_3300_npc_00,valley_3300_npc_00,valley_3300,valley,3300,11,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,He's the reason everyone was penned in town.,He's the reason everyone was penned in town.,gamedata/localizationstring_eng.paloc
hyenamolar_valley_3300_npc_00_00012,hyenamolar,Hyenamolar,Scene Dialogue,Hyenamolar,Hyenamolar,3300,Hyenamolar 3300,hyenamolar_valley_3300,valley_3300,hyenamolar_valley_3300_npc_00,valley_3300_npc_00,valley_3300,valley,3300,12,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"At last, our lives can return to normal.","At last, our lives can return to normal.",gamedata/localizationstring_eng.paloc
hyenamolar_valley_3300_npc_00_00013,hyenamolar,Hyenamolar,Scene Dialogue,Hyenamolar,Hyenamolar,3300,Hyenamolar 3300,hyenamolar_valley_3300,valley_3300,hyenamolar_valley_3300_npc_00,valley_3300_npc_00,valley_3300,valley,3300,13,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,His fall means we can finally move our goods freely.,His fall means we can finally move our goods freely.,gamedata/localizationstring_eng.paloc
hyenamolar_valley_3300_npc_00_00014,hyenamolar,Hyenamolar,Scene Dialogue,Hyenamolar,Hyenamolar,3300,Hyenamolar 3300,hyenamolar_valley_3300,valley_3300,hyenamolar_valley_3300_npc_00,valley_3300_npc_00,valley_3300,valley,3300,14,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Here's the reward, as promised.","Here's the reward, as promised.",gamedata/localizationstring_eng.paloc
hyenamolar_valley_3300_npc_00_00021,hyenamolar,Hyenamolar,Scene Dialogue,Hyenamolar,Hyenamolar,3300,Hyenamolar 3300,hyenamolar_valley_3300,valley_3300,hyenamolar_valley_3300_npc_00,valley_3300_npc_00,valley_3300,valley,3300,21,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,I hear you're the one who dealt with Skevald.,I hear you're the one who dealt with Skevald.,gamedata/localizationstring_eng.paloc
