key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
imp_banquet_boss_morufort_0240_npc_00_00008,imp,Imp,Scene Dialogue,Imp,Imp,0240,Imp 0240,imp_banquet_boss_morufort_0240,banquet_boss_morufort_0240,imp_banquet_boss_morufort_0240_npc_00,banquet_boss_morufort_0240_npc_00,banquet_boss_morufort_0240,banquet,boss_morufort_0240,8,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
imp_banquet_boss_morufort_0240_npc_00_00009,imp,Imp,Scene Dialogue,Imp,Imp,0240,Imp 0240,imp_banquet_boss_morufort_0240,banquet_boss_morufort_0240,imp_banquet_boss_morufort_0240_npc_00,banquet_boss_morufort_0240_npc_00,banquet_boss_morufort_0240,banquet,boss_morufort_0240,9,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"I've got nothing left! Spare me, I beg you!","I've got nothing left! Spare me, I beg you!",gamedata/localizationstring_eng.paloc
imp_banquet_boss_morufort_0240_npc_00_00010,imp,Imp,Scene Dialogue,Imp,Imp,0240,Imp 0240,imp_banquet_boss_morufort_0240,banquet_boss_morufort_0240,imp_banquet_boss_morufort_0240_npc_00,banquet_boss_morufort_0240_npc_00,banquet_boss_morufort_0240,banquet,boss_morufort_0240,10,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,I thought you were one of them goblins...,I thought you were one of them goblins...,gamedata/localizationstring_eng.paloc
imp_banquet_boss_morufort_0240_npc_00_00011,imp,Imp,Scene Dialogue,Imp,Imp,0240,Imp 0240,imp_banquet_boss_morufort_0240,banquet_boss_morufort_0240,imp_banquet_boss_morufort_0240_npc_00,banquet_boss_morufort_0240_npc_00,banquet_boss_morufort_0240,banquet,boss_morufort_0240,11,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,You nearly scared me to death.,You nearly scared me to death.,gamedata/localizationstring_eng.paloc
imp_banquet_boss_morufort_0240_npc_00_00012,imp,Imp,Scene Dialogue,Imp,Imp,0240,Imp 0240,imp_banquet_boss_morufort_0240,banquet_boss_morufort_0240,imp_banquet_boss_morufort_0240_npc_00,banquet_boss_morufort_0240_npc_00,banquet_boss_morufort_0240,banquet,boss_morufort_0240,12,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"I was setting out on my trade route,<br/>when goblins appeared, smashed up my wagon, and took everything!","I was setting out on my trade route,
when goblins appeared, smashed up my wagon, and took everything!",gamedata/localizationstring_eng.paloc
imp_banquet_boss_morufort_0240_npc_00_00013,imp,Imp,Scene Dialogue,Imp,Imp,0240,Imp 0240,imp_banquet_boss_morufort_0240,banquet_boss_morufort_0240,imp_banquet_boss_morufort_0240_npc_00,banquet_boss_morufort_0240_npc_00,banquet_boss_morufort_0240,banquet,boss_morufort_0240,13,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,I've lost everything... What am I supposed to do...?,I've lost everything... What am I supposed to do...?,gamedata/localizationstring_eng.paloc
imp_banquet_0400_npc_00_00005,imp,Imp,Scene Dialogue,Imp,Imp,0400,Imp 0400,imp_banquet_0400,banquet_0400,imp_banquet_0400_npc_00,banquet_0400_npc_00,banquet_0400,banquet,0400,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,You bastards!,You bastards!,gamedata/localizationstring_eng.paloc
imp_banquet_0400_npc_00_00006,imp,Imp,Scene Dialogue,Imp,Imp,0400,Imp 0400,imp_banquet_0400,banquet_0400,imp_banquet_0400_npc_00,banquet_0400_npc_00,banquet_0400,banquet,0400,6,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,All you fuckers are dead!,All you fuckers are dead!,gamedata/localizationstring_eng.paloc
imp_banquet_0400_npc_00_00007,imp,Imp,Scene Dialogue,Imp,Imp,0400,Imp 0400,imp_banquet_0400,banquet_0400,imp_banquet_0400_npc_00,banquet_0400_npc_00,banquet_0400,banquet,0400,7,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Die, you fucker!","Die, you fucker!",gamedata/localizationstring_eng.paloc
imp_banquet_0400_npc_00_00008,imp,Imp,Scene Dialogue,Imp,Imp,0400,Imp 0400,imp_banquet_0400,banquet_0400,imp_banquet_0400_npc_00,banquet_0400_npc_00,banquet_0400,banquet,0400,8,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Cleanse my arsehole!,Cleanse my arsehole!,gamedata/localizationstring_eng.paloc
imp_banquet_0400_npc_00_00009,imp,Imp,Scene Dialogue,Imp,Imp,0400,Imp 0400,imp_banquet_0400,banquet_0400,imp_banquet_0400_npc_00,banquet_0400_npc_00,banquet_0400,banquet,0400,9,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Ugh!,Ugh!,gamedata/localizationstring_eng.paloc
imp_banquet_0400_npc_00_00010,imp,Imp,Scene Dialogue,Imp,Imp,0400,Imp 0400,imp_banquet_0400,banquet_0400,imp_banquet_0400_npc_00,banquet_0400_npc_00,banquet_0400,banquet,0400,10,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
imp_banquet_0400_npc_00_00011,imp,Imp,Scene Dialogue,Imp,Imp,0400,Imp 0400,imp_banquet_0400,banquet_0400,imp_banquet_0400_npc_00,banquet_0400_npc_00,banquet_0400,banquet,0400,11,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,Knowledge:Knowledge_Kliff:Kliff,Huh? {Staticinfo:Knowledge:Knowledge_Kliff#Kliff}?,Huh? {Staticinfo:Knowledge:Knowledge_Kliff#Kliff}?,gamedata/localizationstring_eng.paloc
imp_banquet_0400_npc_00_00012,imp,Imp,Scene Dialogue,Imp,Imp,0400,Imp 0400,imp_banquet_0400,banquet_0400,imp_banquet_0400_npc_00,banquet_0400_npc_00,banquet_0400,banquet,0400,12,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,They captured you too?,They captured you too?,gamedata/localizationstring_eng.paloc
imp_banquet_0400_npc_00_00013,imp,Imp,Scene Dialogue,Imp,Imp,0400,Imp 0400,imp_banquet_0400,banquet_0400,imp_banquet_0400_npc_00,banquet_0400_npc_00,banquet_0400,banquet,0400,13,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,I would've been fucking dead if it weren't for you.,I would've been fucking dead if it weren't for you.,gamedata/localizationstring_eng.paloc
imp_banquet_0400_npc_00_00014,imp,Imp,Scene Dialogue,Imp,Imp,0400,Imp 0400,imp_banquet_0400,banquet_0400,imp_banquet_0400_npc_00,banquet_0400_npc_00,banquet_0400,banquet,0400,14,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
imp_banquet_0400_npc_00_00015,imp,Imp,Scene Dialogue,Imp,Imp,0400,Imp 0400,imp_banquet_0400,banquet_0400,imp_banquet_0400_npc_00,banquet_0400_npc_00,banquet_0400,banquet,0400,15,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,How dare they. Those fuckers.,How dare they. Those fuckers.,gamedata/localizationstring_eng.paloc
imp_banquet_0400_npc_00_00016,imp,Imp,Scene Dialogue,Imp,Imp,0400,Imp 0400,imp_banquet_0400,banquet_0400,imp_banquet_0400_npc_00,banquet_0400_npc_00,banquet_0400,banquet,0400,16,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,They've all gone mad here.,They've all gone mad here.,gamedata/localizationstring_eng.paloc
imp_banquet_0400_npc_00_00017,imp,Imp,Scene Dialogue,Imp,Imp,0400,Imp 0400,imp_banquet_0400,banquet_0400,imp_banquet_0400_npc_00,banquet_0400_npc_00,banquet_0400,banquet,0400,17,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Come on. I'll show you what those sick cunts were planning.,Come on. I'll show you what those sick cunts were planning.,gamedata/localizationstring_eng.paloc
imp_banquet_0400_npc_01_00018,imp,Imp,Scene Dialogue,Imp,Imp,0400,Imp 0400,imp_banquet_0400,banquet_0400,imp_banquet_0400_npc_01,banquet_0400_npc_01,banquet_0400,banquet,0400,18,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,Devilish bastards!,Devilish bastards!,gamedata/localizationstring_eng.paloc
