key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
intro_0100_boss_00_00020,intro,Intro,Cutscene,Intro,Intro,0100,Intro 0100,intro_0100,0100,intro_0100_boss_00,0100_boss_00,0100,0100,,20,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,Knowledge:Knowledge_Kliff:Kliff,{Staticinfo:Knowledge:Knowledge_Kliff#Kliff}! Long time. Miss me?,{Staticinfo:Knowledge:Knowledge_Kliff#Kliff}! Long time. Miss me?,gamedata/localizationstring_eng.paloc
intro_0100_boss_00_00021,intro,Intro,Cutscene,Intro,Intro,0100,Intro 0100,intro_0100,0100,intro_0100_boss_00,0100_boss_00,0100,0100,,21,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Pathetic! I expected better...,Pathetic! I expected better...,gamedata/localizationstring_eng.paloc
intro_0100_boss_00_00022,intro,Intro,Cutscene,Intro,Intro,0100,Intro 0100,intro_0100,0100,intro_0100_boss_00,0100_boss_00,0100,0100,,22,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,"from the so-called ""Protectors of Pailune.""","from the so-called ""Protectors of Pailune.""",gamedata/localizationstring_eng.paloc
intro_0100_boss_00_00023,intro,Intro,Cutscene,Intro,Intro,0100,Intro 0100,intro_0100,0100,intro_0100_boss_00,0100_boss_00,0100,0100,,23,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Bunch of cunts throwing your lives away.,Bunch of cunts throwing your lives away.,gamedata/localizationstring_eng.paloc
intro_0100_boss_00_00024,intro,Intro,Cutscene,Intro,Intro,0100,Intro 0100,intro_0100,0100,intro_0100_boss_00,0100_boss_00,0100,0100,,24,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,There's that Greymane spirit!,There's that Greymane spirit!,gamedata/localizationstring_eng.paloc
intro_0100_boss_00_00025,intro,Intro,Cutscene,Intro,Intro,0100,Intro 0100,intro_0100,0100,intro_0100_boss_00,0100_boss_00,0100,0100,,25,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,But look around you. I'm the one who decides your fate.,But look around you. I'm the one who decides your fate.,gamedata/localizationstring_eng.paloc
intro_0100_boss_00_00026,intro,Intro,Cutscene,Intro,Intro,0100,Intro 0100,intro_0100,0100,intro_0100_boss_00,0100_boss_00,0100,0100,,26,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Grab him.,Grab him.,gamedata/localizationstring_eng.paloc
intro_0100_boss_00_00028,intro,Intro,Cutscene,Intro,Intro,0100,Intro 0100,intro_0100,0100,intro_0100_boss_00,0100_boss_00,0100,0100,,28,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Look at you. All this effort... and you still end up bowing to me.,Look at you. All this effort... and you still end up bowing to me.,gamedata/localizationstring_eng.paloc
intro_0100_boss_00_00030,intro,Intro,Cutscene,Intro,Intro,0100,Intro 0100,intro_0100,0100,intro_0100_boss_00,0100_boss_00,0100,0100,,30,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,What's that? Got something to say?,What's that? Got something to say?,gamedata/localizationstring_eng.paloc
intro_0100_boss_00_00032,intro,Intro,Cutscene,Intro,Intro,0100,Intro 0100,intro_0100,0100,intro_0100_boss_00,0100_boss_00,0100,0100,,32,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,"Go on, then. Out with it... I'm all ears.","Go on, then. Out with it... I'm all ears.",gamedata/localizationstring_eng.paloc
intro_0100_boss_00_00033,intro,Intro,Cutscene,Intro,Intro,0100,Intro 0100,intro_0100,0100,intro_0100_boss_00,0100_boss_00,0100,0100,,33,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Well... You had your chance.,Well... You had your chance.,gamedata/localizationstring_eng.paloc
intro_0100_boss_00_00034,intro,Intro,Cutscene,Intro,Intro,0100,Intro 0100,intro_0100,0100,intro_0100_boss_00,0100_boss_00,0100,0100,,34,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Let this be a lesson to all you wolf whelps.,Let this be a lesson to all you wolf whelps.,gamedata/localizationstring_eng.paloc
