key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
invitemarius_00_npc_00_00004,invitemarius,Invitemarius,Scene Dialogue,Invitemarius,Invitemarius,00,Invitemarius 00,invitemarius_00,00,invitemarius_00_npc_00,00_npc_00,00,00,,4,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Hey, calm down.","Hey, calm down.",gamedata/localizationstring_eng.paloc
invitemarius_00_npc_00_00005,invitemarius,Invitemarius,Scene Dialogue,Invitemarius,Invitemarius,00,Invitemarius 00,invitemarius_00,00,invitemarius_00_npc_00,00_npc_00,00,00,,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,That actually happened?,That actually happened?,gamedata/localizationstring_eng.paloc
invitemarius_00_npc_00_00006,invitemarius,Invitemarius,Scene Dialogue,Invitemarius,Invitemarius,00,Invitemarius 00,invitemarius_00,00,invitemarius_00_npc_00,00_npc_00,00,00,,6,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Can you find out anything else?,Can you find out anything else?,gamedata/localizationstring_eng.paloc
invitemarius_00_npc_00_00007,invitemarius,Invitemarius,Scene Dialogue,Invitemarius,Invitemarius,00,Invitemarius 00,invitemarius_00,00,invitemarius_00_npc_00,00_npc_00,00,00,,7,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,I'll bring you more food if you do.,I'll bring you more food if you do.,gamedata/localizationstring_eng.paloc
invitemarius_00_npc_00_00008,invitemarius,Invitemarius,Scene Dialogue,Invitemarius,Invitemarius,00,Invitemarius 00,invitemarius_00,00,invitemarius_00_npc_00,00_npc_00,00,00,,8,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,It's not just any man who can end up in Halssius...,It's not just any man who can end up in Halssius...,gamedata/localizationstring_eng.paloc
invitemarius_00_npc_00_00009,invitemarius,Invitemarius,Scene Dialogue,Invitemarius,Invitemarius,00,Invitemarius 00,invitemarius_00,00,invitemarius_00_npc_00,00_npc_00,00,00,,9,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,There's only one troublemaker I can think of up to the task.,There's only one troublemaker I can think of up to the task.,gamedata/localizationstring_eng.paloc
invitemarius_00_npc_00_00010,invitemarius,Invitemarius,Scene Dialogue,Invitemarius,Invitemarius,00,Invitemarius 00,invitemarius_00,00,invitemarius_00_npc_00,00_npc_00,00,00,,10,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,Knowledge:Knowledge_Kliff:Kliff,Gotta tell {Staticinfo:Knowledge:Knowledge_Kliff#Kliff}.,Gotta tell {Staticinfo:Knowledge:Knowledge_Kliff#Kliff}.,gamedata/localizationstring_eng.paloc
invitemarius_00_npc_00_00011,invitemarius,Invitemarius,Scene Dialogue,Invitemarius,Invitemarius,00,Invitemarius 00,invitemarius_00,00,invitemarius_00_npc_00,00_npc_00,00,00,,11,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Drinking and fighting... I'd bet my arse it's that hothead.,Drinking and fighting... I'd bet my arse it's that hothead.,gamedata/localizationstring_eng.paloc
invitemarius_00_npc_00_00012,invitemarius,Invitemarius,Scene Dialogue,Invitemarius,Invitemarius,00,Invitemarius 00,invitemarius_00,00,invitemarius_00_npc_00,00_npc_00,00,00,,12,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,Knowledge:Knowledge_Kliff:Kliff,{Staticinfo:Knowledge:Knowledge_Kliff#Kliff}!,{Staticinfo:Knowledge:Knowledge_Kliff#Kliff}!,gamedata/localizationstring_eng.paloc
invitemarius_00_npc_00_00013,invitemarius,Invitemarius,Scene Dialogue,Invitemarius,Invitemarius,00,Invitemarius 00,invitemarius_00,00,invitemarius_00_npc_00,00_npc_00,00,00,,13,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,Knowledge:Knowledge_Yann:loveable rabblerouser,I think I've located our {StaticInfo:Knowledge:Knowledge_Yann#loveable rabblerouser}.,I think I've located our {StaticInfo:Knowledge:Knowledge_Yann#loveable rabblerouser}.,gamedata/localizationstring_eng.paloc
invitemarius_00_npc_00_00014,invitemarius,Invitemarius,Scene Dialogue,Invitemarius,Invitemarius,00,Invitemarius 00,invitemarius_00,00,invitemarius_00_npc_00,00_npc_00,00,00,,14,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"I'm still looking into it,","I'm still looking into it,",gamedata/localizationstring_eng.paloc
invitemarius_00_npc_00_00015,invitemarius,Invitemarius,Scene Dialogue,Invitemarius,Invitemarius,00,Invitemarius 00,invitemarius_00,00,invitemarius_00_npc_00,00_npc_00,00,00,,15,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"but if my information's to be believed, he's likely at Halssius.","but if my information's to be believed, he's likely at Halssius.",gamedata/localizationstring_eng.paloc
