key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
jewel_hunter_0100_npc_00_00000,jewel,Jewel,Scene Dialogue,Jewel,Jewel,0100,Jewel 0100,jewel_hunter_0100,hunter_0100,jewel_hunter_0100_npc_00,hunter_0100_npc_00,hunter_0100,hunter,0100,0,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"You're carrying a fair amount of jewels, aren't you?","You're carrying a fair amount of jewels, aren't you?",gamedata/localizationstring_eng.paloc
jewel_hunter_0100_npc_00_00001,jewel,Jewel,Scene Dialogue,Jewel,Jewel,0100,Jewel 0100,jewel_hunter_0100,hunter_0100,jewel_hunter_0100_npc_00,hunter_0100_npc_00,hunter_0100,hunter,0100,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Come here, sunshine!","Come here, sunshine!",gamedata/localizationstring_eng.paloc
jewel_hunter_0100_npc_00_00002,jewel,Jewel,Scene Dialogue,Jewel,Jewel,0100,Jewel 0100,jewel_hunter_0100,hunter_0100,jewel_hunter_0100_npc_00,hunter_0100_npc_00,hunter_0100,hunter,0100,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Today's the day I strike it rich!,Today's the day I strike it rich!,gamedata/localizationstring_eng.paloc
jewel_hunter_0200_npc_00_00000,jewel,Jewel,Scene Dialogue,Jewel,Jewel,0200,Jewel 0200,jewel_hunter_0200,hunter_0200,jewel_hunter_0200_npc_00,hunter_0200_npc_00,hunter_0200,hunter,0200,0,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,So many shiny things! Now... Feel free to die!,So many shiny things! Now... Feel free to die!,gamedata/localizationstring_eng.paloc
jewel_hunter_0200_npc_00_00001,jewel,Jewel,Scene Dialogue,Jewel,Jewel,0200,Jewel 0200,jewel_hunter_0200,hunter_0200,jewel_hunter_0200_npc_00,hunter_0200_npc_00,hunter_0200,hunter,0200,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Stop right there!,Stop right there!,gamedata/localizationstring_eng.paloc
jewel_hunter_0200_npc_00_00002,jewel,Jewel,Scene Dialogue,Jewel,Jewel,0200,Jewel 0200,jewel_hunter_0200,hunter_0200,jewel_hunter_0200_npc_00,hunter_0200_npc_00,hunter_0200,hunter,0200,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Come on, accept your fate!","Come on, accept your fate!",gamedata/localizationstring_eng.paloc
jewel_hunter_0201_npc_00_00000,jewel,Jewel,Scene Dialogue,Jewel,Jewel,0201,Jewel 0201,jewel_hunter_0201,hunter_0201,jewel_hunter_0201_npc_00,hunter_0201_npc_00,hunter_0201,hunter,0201,0,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Luck's on my side today!,Luck's on my side today!,gamedata/localizationstring_eng.paloc
jewel_hunter_0201_npc_00_00001,jewel,Jewel,Scene Dialogue,Jewel,Jewel,0201,Jewel 0201,jewel_hunter_0201,hunter_0201,jewel_hunter_0201_npc_00,hunter_0201_npc_00,hunter_0201,hunter,0201,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,A trove of jewels!,A trove of jewels!,gamedata/localizationstring_eng.paloc
jewel_hunter_0201_npc_00_00002,jewel,Jewel,Scene Dialogue,Jewel,Jewel,0201,Jewel 0201,jewel_hunter_0201,hunter_0201,jewel_hunter_0201_npc_00,hunter_0201_npc_00,hunter_0201,hunter,0201,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,At last! I'm finally going to be rich!,At last! I'm finally going to be rich!,gamedata/localizationstring_eng.paloc
jewel_hunter_0300_npc_00_00000,jewel,Jewel,Scene Dialogue,Jewel,Jewel,0300,Jewel 0300,jewel_hunter_0300,hunter_0300,jewel_hunter_0300_npc_00,hunter_0300_npc_00,hunter_0300,hunter,0300,0,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Kill 'em first, then snatch the jewels.","Kill 'em first, then snatch the jewels.",gamedata/localizationstring_eng.paloc
