key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
knightcatfish_9000_boss_00_00002,knightcatfish,Knightcatfish,Scene Dialogue,Knightcatfish,Knightcatfish,9000,Knightcatfish 9000,knightcatfish_9000,9000,knightcatfish_9000_boss_00,9000_boss_00,9000,9000,,2,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Bow down!,Bow down!,gamedata/localizationstring_eng.paloc
knightcatfish_9000_boss_00_00003,knightcatfish,Knightcatfish,Scene Dialogue,Knightcatfish,Knightcatfish,9000,Knightcatfish 9000,knightcatfish_9000,9000,knightcatfish_9000_boss_00,9000_boss_00,9000,9000,,3,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Worship the god of the sea or die!,Worship the god of the sea or die!,gamedata/localizationstring_eng.paloc
knightcatfish_9000_boss_00_00004,knightcatfish,Knightcatfish,Scene Dialogue,Knightcatfish,Knightcatfish,9000,Knightcatfish 9000,knightcatfish_9000,9000,knightcatfish_9000_boss_00,9000_boss_00,9000,9000,,4,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Defeated by a mortal... This can't be...,Defeated by a mortal... This can't be...,gamedata/localizationstring_eng.paloc
knightcatfish_9000_boss_00_00005,knightcatfish,Knightcatfish,Scene Dialogue,Knightcatfish,Knightcatfish,9000,Knightcatfish 9000,knightcatfish_9000,9000,knightcatfish_9000_boss_00,9000_boss_00,9000,9000,,5,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,,,gamedata/localizationstring_eng.paloc
knightcatfish_9000_boss_00_00006,knightcatfish,Knightcatfish,Scene Dialogue,Knightcatfish,Knightcatfish,9000,Knightcatfish 9000,knightcatfish_9000,9000,knightcatfish_9000_boss_00,9000_boss_00,9000,9000,,6,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Don't think this is over!,Don't think this is over!,gamedata/localizationstring_eng.paloc
knightcatfish_9000_globalgametrack_00008,knightcatfish,Knightcatfish,Scene Dialogue,Knightcatfish,Knightcatfish,9000,Knightcatfish 9000,knightcatfish_9000,9000,knightcatfish_9000_globalgametrack,9000_globalgametrack,9000,9000,,8,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,Foolish little land rat!,Foolish little land rat!,gamedata/localizationstring_eng.paloc
knightcatfish_9000_globalgametrack_00009,knightcatfish,Knightcatfish,Scene Dialogue,Knightcatfish,Knightcatfish,9000,Knightcatfish 9000,knightcatfish_9000,9000,knightcatfish_9000_globalgametrack,9000_globalgametrack,9000,9000,,9,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,You've got nerve to lift your blade against the blessed god of the sea!,You've got nerve to lift your blade against the blessed god of the sea!,gamedata/localizationstring_eng.paloc
knightcatfish_9000_globalgametrack_00010,knightcatfish,Knightcatfish,Scene Dialogue,Knightcatfish,Knightcatfish,9000,Knightcatfish 9000,knightcatfish_9000,9000,knightcatfish_9000_globalgametrack,9000_globalgametrack,9000,9000,,10,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,I'll see your bones and flesh strewn right across the waves!,I'll see your bones and flesh strewn right across the waves!,gamedata/localizationstring_eng.paloc
knightcatfish_9000_globalgametrack_00011,knightcatfish,Knightcatfish,Scene Dialogue,Knightcatfish,Knightcatfish,9000,Knightcatfish 9000,knightcatfish_9000,9000,knightcatfish_9000_globalgametrack,9000_globalgametrack,9000,9000,,11,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,You'll make a fine offering...,You'll make a fine offering...,gamedata/localizationstring_eng.paloc
knightcatfish_9000_globalgametrack_00012,knightcatfish,Knightcatfish,Scene Dialogue,Knightcatfish,Knightcatfish,9000,Knightcatfish 9000,knightcatfish_9000,9000,knightcatfish_9000_globalgametrack,9000_globalgametrack,9000,9000,,12,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,To the great ocean!,To the great ocean!,gamedata/localizationstring_eng.paloc
knightcatfish_9000_globalgametrack_00013,knightcatfish,Knightcatfish,Scene Dialogue,Knightcatfish,Knightcatfish,9000,Knightcatfish 9000,knightcatfish_9000,9000,knightcatfish_9000_globalgametrack,9000_globalgametrack,9000,9000,,13,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,Know your place!,Know your place!,gamedata/localizationstring_eng.paloc
knightcatfish_9000_narration_00000,knightcatfish,Knightcatfish,Scene Dialogue,Knightcatfish,Knightcatfish,9000,Knightcatfish 9000,knightcatfish_9000,9000,knightcatfish_9000_narration,9000_narration,9000,9000,,0,narration,,narration,Narration,Narration,Narration,,role,,Ruin comes to any who defy my will.,Ruin comes to any who defy my will.,gamedata/localizationstring_eng.paloc
knightcatfish_9000_narration_00001,knightcatfish,Knightcatfish,Scene Dialogue,Knightcatfish,Knightcatfish,9000,Knightcatfish 9000,knightcatfish_9000,9000,knightcatfish_9000_narration,9000_narration,9000,9000,,1,narration,,narration,Narration,Narration,Narration,,role,,I will end you!,I will end you!,gamedata/localizationstring_eng.paloc
