key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
ludvig_boss_0010_npc_00_00001,ludvig,Ludvig,Scene Dialogue,Ludvig,Ludvig,0010,Ludvig 0010,ludvig_boss_0010,boss_0010,ludvig_boss_0010_npc_00,boss_0010_npc_00,boss_0010,boss,0010,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,B-Black Bears! Run!,B-Black Bears! Run!,gamedata/localizationstring_eng.paloc
ludvig_boss_0010_npc_00_00002,ludvig,Ludvig,Scene Dialogue,Ludvig,Ludvig,0010,Ludvig 0010,ludvig_boss_0010,boss_0010,ludvig_boss_0010_npc_00,boss_0010_npc_00,boss_0010,boss,0010,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
ludvig_boss_0010_npc_00_00003,ludvig,Ludvig,Scene Dialogue,Ludvig,Ludvig,0010,Ludvig 0010,ludvig_boss_0010,boss_0010,ludvig_boss_0010_npc_00,boss_0010_npc_00,boss_0010,boss,0010,3,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
ludvig_boss_0010_npc_001_00018,ludvig,Ludvig,Scene Dialogue,Ludvig,Ludvig,0010,Ludvig 0010,ludvig_boss_0010,boss_0010,ludvig_boss_0010_npc_001,boss_0010_npc_001,boss_0010,boss,0010,18,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,Grab 'em! Bind 'em all!,Grab 'em! Bind 'em all!,gamedata/localizationstring_eng.paloc
ludvig_boss_0010_npc_001_00019,ludvig,Ludvig,Scene Dialogue,Ludvig,Ludvig,0010,Ludvig 0010,ludvig_boss_0010,boss_0010,ludvig_boss_0010_npc_001,boss_0010_npc_001,boss_0010,boss,0010,19,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,,,gamedata/localizationstring_eng.paloc
ludvig_boss_0010_npc_001_00020,ludvig,Ludvig,Scene Dialogue,Ludvig,Ludvig,0010,Ludvig 0010,ludvig_boss_0010,boss_0010,ludvig_boss_0010_npc_001,boss_0010_npc_001,boss_0010,boss,0010,20,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,,,gamedata/localizationstring_eng.paloc
ludvig_boss_0010_npc_001_00021,ludvig,Ludvig,Scene Dialogue,Ludvig,Ludvig,0010,Ludvig 0010,ludvig_boss_0010,boss_0010,ludvig_boss_0010_npc_001,boss_0010_npc_001,boss_0010,boss,0010,21,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,,,gamedata/localizationstring_eng.paloc
ludvig_boss_0010_npc_001_00022,ludvig,Ludvig,Scene Dialogue,Ludvig,Ludvig,0010,Ludvig 0010,ludvig_boss_0010,boss_0010,ludvig_boss_0010_npc_001,boss_0010_npc_001,boss_0010,boss,0010,22,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,No! No! Please! I beg you!,No! No! Please! I beg you!,gamedata/localizationstring_eng.paloc
ludvig_boss_0010_npc_003_00004,ludvig,Ludvig,Scene Dialogue,Ludvig,Ludvig,0010,Ludvig 0010,ludvig_boss_0010,boss_0010,ludvig_boss_0010_npc_003,boss_0010_npc_003,boss_0010,boss,0010,4,npc_03,,npc_03,NPC 03,NPC 03,NPC,3,role,,Please... no! Spare me!,Please... no! Spare me!,gamedata/localizationstring_eng.paloc
ludvig_boss_0010_npc_003_00005,ludvig,Ludvig,Scene Dialogue,Ludvig,Ludvig,0010,Ludvig 0010,ludvig_boss_0010,boss_0010,ludvig_boss_0010_npc_003,boss_0010_npc_003,boss_0010,boss,0010,5,npc_03,,npc_03,NPC 03,NPC 03,NPC,3,role,,,,gamedata/localizationstring_eng.paloc
