key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
m10m04_encounter_9905_0080_npc_00_00009,m10m04,M10m04,Scene Dialogue,M10m04,M10m04,9905,M10m04 9905,m10m04_encounter_9905_0080,encounter_9905_0080,m10m04_encounter_9905_0080_npc_00,encounter_9905_0080_npc_00,encounter_9905_0080,encounter,9905_0080,9,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Damn... we barely escaped with our lives!,Damn... we barely escaped with our lives!,gamedata/localizationstring_eng.paloc
m10m04_encounter_9905_0080_npc_00_00010,m10m04,M10m04,Scene Dialogue,M10m04,M10m04,9905,M10m04 9905,m10m04_encounter_9905_0080,encounter_9905_0080,m10m04_encounter_9905_0080_npc_00,encounter_9905_0080_npc_00,encounter_9905_0080,encounter,9905_0080,10,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Soulmen only knows, but the marquis won't let this go unanswered.","Soulmen only knows, but the marquis won't let this go unanswered.",gamedata/localizationstring_eng.paloc
m10m04_encounter_9905_0080_npc_00_00011,m10m04,M10m04,Scene Dialogue,M10m04,M10m04,9905,M10m04 9905,m10m04_encounter_9905_0080,encounter_9905_0080,m10m04_encounter_9905_0080_npc_00,encounter_9905_0080_npc_00,encounter_9905_0080,encounter,9905_0080,11,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,All we could do was run! They were too strong!,All we could do was run! They were too strong!,gamedata/localizationstring_eng.paloc
m10m04_encounter_9905_0080_npc_00_00012,m10m04,M10m04,Scene Dialogue,M10m04,M10m04,9905,M10m04 9905,m10m04_encounter_9905_0080,encounter_9905_0080,m10m04_encounter_9905_0080_npc_00,encounter_9905_0080_npc_00,encounter_9905_0080,encounter,9905_0080,12,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,What are they doing at Fort Anvil?,What are they doing at Fort Anvil?,gamedata/localizationstring_eng.paloc
m10m04_encounter_9905_0080_npc_00_00013,m10m04,M10m04,Scene Dialogue,M10m04,M10m04,9905,M10m04 9905,m10m04_encounter_9905_0080,encounter_9905_0080,m10m04_encounter_9905_0080_npc_00,encounter_9905_0080_npc_00,encounter_9905_0080,encounter,9905_0080,13,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Fuck... We can't expect reinforcements!,Fuck... We can't expect reinforcements!,gamedata/localizationstring_eng.paloc
m10m04_encounter_9905_0080_npc_00_00014,m10m04,M10m04,Scene Dialogue,M10m04,M10m04,9905,M10m04 9905,m10m04_encounter_9905_0080,encounter_9905_0080,m10m04_encounter_9905_0080_npc_00,encounter_9905_0080_npc_00,encounter_9905_0080,encounter,9905_0080,14,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,How are we supposed to drive them out?,How are we supposed to drive them out?,gamedata/localizationstring_eng.paloc
m10m04_encounter_9905_0080_npc_01_00015,m10m04,M10m04,Scene Dialogue,M10m04,M10m04,9905,M10m04 9905,m10m04_encounter_9905_0080,encounter_9905_0080,m10m04_encounter_9905_0080_npc_01,encounter_9905_0080_npc_01,encounter_9905_0080,encounter,9905_0080,15,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,Bloody hell! To be beaten this soundly...,Bloody hell! To be beaten this soundly...,gamedata/localizationstring_eng.paloc
m10m04_encounter_9905_0080_npc_01_00016,m10m04,M10m04,Scene Dialogue,M10m04,M10m04,9905,M10m04 9905,m10m04_encounter_9905_0080,encounter_9905_0080,m10m04_encounter_9905_0080_npc_01,encounter_9905_0080_npc_01,encounter_9905_0080,encounter,9905_0080,16,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,Oi! Everyone still breathing? Anyone left standing?!,Oi! Everyone still breathing? Anyone left standing?!,gamedata/localizationstring_eng.paloc
m10m04_encounter_9905_0080_npc_01_00017,m10m04,M10m04,Scene Dialogue,M10m04,M10m04,9905,M10m04 9905,m10m04_encounter_9905_0080,encounter_9905_0080,m10m04_encounter_9905_0080_npc_01,encounter_9905_0080_npc_01,encounter_9905_0080,encounter,9905_0080,17,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,Damn... is this really all who survived?,Damn... is this really all who survived?,gamedata/localizationstring_eng.paloc
m10m04_encounter_9905_0080_npc_01_00018,m10m04,M10m04,Scene Dialogue,M10m04,M10m04,9905,M10m04 9905,m10m04_encounter_9905_0080,encounter_9905_0080,m10m04_encounter_9905_0080_npc_01,encounter_9905_0080_npc_01,encounter_9905_0080,encounter,9905_0080,18,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,Let's head back for now.,Let's head back for now.,gamedata/localizationstring_eng.paloc
