key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
marni_experiment_machineboss_9000_boss_00_00000,marni,Marni,Scene Dialogue,Marni,Marni,9000,Marni 9000,marni_experiment_machineboss_9000,experiment_machineboss_9000,marni_experiment_machineboss_9000_boss_00,experiment_machineboss_9000_boss_00,experiment_machineboss_9000,experiment,machineboss_9000,0,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Annihilate them.,Annihilate them.,gamedata/localizationstring_eng.paloc
marni_experiment_machineboss_9000_boss_00_00002,marni,Marni,Scene Dialogue,Marni,Marni,9000,Marni 9000,marni_experiment_machineboss_9000,experiment_machineboss_9000,marni_experiment_machineboss_9000_boss_00,experiment_machineboss_9000_boss_00,experiment_machineboss_9000,experiment,machineboss_9000,2,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Annihilate... them... Annihilate... them...,Annihilate... them... Annihilate... them...,gamedata/localizationstring_eng.paloc
marni_experiment_machineboss_9000_boss_00_00003,marni,Marni,Scene Dialogue,Marni,Marni,9000,Marni 9000,marni_experiment_machineboss_9000,experiment_machineboss_9000,marni_experiment_machineboss_9000_boss_00,experiment_machineboss_9000_boss_00,experiment_machineboss_9000,experiment,machineboss_9000,3,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Annihilate...,Annihilate...,gamedata/localizationstring_eng.paloc
marni_experiment_machineboss_9000_globalgametrack_00004,marni,Marni,Scene Dialogue,Marni,Marni,9000,Marni 9000,marni_experiment_machineboss_9000,experiment_machineboss_9000,marni_experiment_machineboss_9000_globalgametrack,experiment_machineboss_9000_globalgametrack,experiment_machineboss_9000,experiment,machineboss_9000,4,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,Attack.,Attack.,gamedata/localizationstring_eng.paloc
marni_experiment_machineboss_9000_globalgametrack_00005,marni,Marni,Scene Dialogue,Marni,Marni,9000,Marni 9000,marni_experiment_machineboss_9000,experiment_machineboss_9000,marni_experiment_machineboss_9000_globalgametrack,experiment_machineboss_9000_globalgametrack,experiment_machineboss_9000,experiment,machineboss_9000,5,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,Stop them.,Stop them.,gamedata/localizationstring_eng.paloc
marni_experiment_machineboss_9000_globalgametrack_00006,marni,Marni,Scene Dialogue,Marni,Marni,9000,Marni 9000,marni_experiment_machineboss_9000,experiment_machineboss_9000,marni_experiment_machineboss_9000_globalgametrack,experiment_machineboss_9000_globalgametrack,experiment_machineboss_9000,experiment,machineboss_9000,6,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,Annihilate them.,Annihilate them.,gamedata/localizationstring_eng.paloc
marni_experiment_machineboss_9000_globalgametrack_00007,marni,Marni,Scene Dialogue,Marni,Marni,9000,Marni 9000,marni_experiment_machineboss_9000,experiment_machineboss_9000,marni_experiment_machineboss_9000_globalgametrack,experiment_machineboss_9000_globalgametrack,experiment_machineboss_9000,experiment,machineboss_9000,7,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,Eliminate them.,Eliminate them.,gamedata/localizationstring_eng.paloc
marni_experiment_machineboss_9000_globalgametrack_00008,marni,Marni,Scene Dialogue,Marni,Marni,9000,Marni 9000,marni_experiment_machineboss_9000,experiment_machineboss_9000,marni_experiment_machineboss_9000_globalgametrack,experiment_machineboss_9000_globalgametrack,experiment_machineboss_9000,experiment,machineboss_9000,8,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,Eliminate. Eliminate. Eliminate!,Eliminate. Eliminate. Eliminate!,gamedata/localizationstring_eng.paloc
marni_experiment_machineboss_9000_globalgametrack_00009,marni,Marni,Scene Dialogue,Marni,Marni,9000,Marni 9000,marni_experiment_machineboss_9000,experiment_machineboss_9000,marni_experiment_machineboss_9000_globalgametrack,experiment_machineboss_9000_globalgametrack,experiment_machineboss_9000,experiment,machineboss_9000,9,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,Annihilate. Annihilate. Annihilate.,Annihilate. Annihilate. Annihilate.,gamedata/localizationstring_eng.paloc
marni_machineknight_9000_narration_00000,marni,Marni,Scene Dialogue,Marni,Marni,9000,Marni 9000,marni_machineknight_9000,machineknight_9000,marni_machineknight_9000_narration,machineknight_9000_narration,machineknight_9000,machineknight,9000,0,narration,,narration,Narration,Narration,Narration,,role,,,,gamedata/localizationstring_eng.paloc
marni_machineknight_9000_narration_00001,marni,Marni,Scene Dialogue,Marni,Marni,9000,Marni 9000,marni_machineknight_9000,machineknight_9000,marni_machineknight_9000_narration,machineknight_9000_narration,machineknight_9000,machineknight,9000,1,narration,,narration,Narration,Narration,Narration,,role,,,,gamedata/localizationstring_eng.paloc
