key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
marnidragon_boss_0010_npc_00_00001,marnidragon,Marnidragon,Scene Dialogue,Marnidragon,Marnidragon,0010,Marnidragon 0010,marnidragon_boss_0010,boss_0010,marnidragon_boss_0010_npc_00,boss_0010_npc_00,boss_0010,boss,0010,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,All I can smell is bloody gunpowder.,All I can smell is bloody gunpowder.,gamedata/localizationstring_eng.paloc
marnidragon_boss_0010_npc_00_00002,marnidragon,Marnidragon,Scene Dialogue,Marnidragon,Marnidragon,0010,Marnidragon 0010,marnidragon_boss_0010,boss_0010,marnidragon_boss_0010_npc_00,boss_0010_npc_00,boss_0010,boss,0010,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,And mind what you say.,And mind what you say.,gamedata/localizationstring_eng.paloc
marnidragon_boss_0010_npc_00_00003,marnidragon,Marnidragon,Scene Dialogue,Marnidragon,Marnidragon,0010,Marnidragon 0010,marnidragon_boss_0010,boss_0010,marnidragon_boss_0010_npc_00,boss_0010_npc_00,boss_0010,boss,0010,3,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Did they head that way?,Did they head that way?,gamedata/localizationstring_eng.paloc
marnidragon_boss_0010_npc_00_00004,marnidragon,Marnidragon,Scene Dialogue,Marnidragon,Marnidragon,0010,Marnidragon 0010,marnidragon_boss_0010,boss_0010,marnidragon_boss_0010_npc_00,boss_0010_npc_00,boss_0010,boss,0010,4,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Ahh!,Ahh!,gamedata/localizationstring_eng.paloc
marnidragon_boss_0010_npc_00_00005,marnidragon,Marnidragon,Scene Dialogue,Marnidragon,Marnidragon,0010,Marnidragon 0010,marnidragon_boss_0010,boss_0010,marnidragon_boss_0010_npc_00,boss_0010_npc_00,boss_0010,boss,0010,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,What the hell is that?,What the hell is that?,gamedata/localizationstring_eng.paloc
marnidragon_boss_0010_npc_00_00006,marnidragon,Marnidragon,Scene Dialogue,Marnidragon,Marnidragon,0010,Marnidragon 0010,marnidragon_boss_0010,boss_0010,marnidragon_boss_0010_npc_00,boss_0010_npc_00,boss_0010,boss,0010,6,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Stench of brimstone and corpses... Can't stand it.,Stench of brimstone and corpses... Can't stand it.,gamedata/localizationstring_eng.paloc
marnidragon_boss_0010_npc_00_00007,marnidragon,Marnidragon,Scene Dialogue,Marnidragon,Marnidragon,0010,Marnidragon 0010,marnidragon_boss_0010,boss_0010,marnidragon_boss_0010_npc_00,boss_0010_npc_00,boss_0010,boss,0010,7,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Check over there.,Check over there.,gamedata/localizationstring_eng.paloc
marnidragon_boss_0010_npc_00_00008,marnidragon,Marnidragon,Scene Dialogue,Marnidragon,Marnidragon,0010,Marnidragon 0010,marnidragon_boss_0010,boss_0010,marnidragon_boss_0010_npc_00,boss_0010_npc_00,boss_0010,boss,0010,8,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
marnidragon_boss_0010_npc_00_00009,marnidragon,Marnidragon,Scene Dialogue,Marnidragon,Marnidragon,0010,Marnidragon 0010,marnidragon_boss_0010,boss_0010,marnidragon_boss_0010_npc_00,boss_0010_npc_00,boss_0010,boss,0010,9,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Let's dig up the loot and get out of here.,Let's dig up the loot and get out of here.,gamedata/localizationstring_eng.paloc
marnidragon_boss_0010_npc_00_00010,marnidragon,Marnidragon,Scene Dialogue,Marnidragon,Marnidragon,0010,Marnidragon 0010,marnidragon_boss_0010,boss_0010,marnidragon_boss_0010_npc_00,boss_0010_npc_00,boss_0010,boss,0010,10,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
marnidragon_boss_0010_npc_00_00011,marnidragon,Marnidragon,Scene Dialogue,Marnidragon,Marnidragon,0010,Marnidragon 0010,marnidragon_boss_0010,boss_0010,marnidragon_boss_0010_npc_00,boss_0010_npc_00,boss_0010,boss,0010,11,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Run...! Run!,Run...! Run!,gamedata/localizationstring_eng.paloc
marnidragon_boss_0130_npc_00_00006,marnidragon,Marnidragon,Scene Dialogue,Marnidragon,Marnidragon,0130,Marnidragon 0130,marnidragon_boss_0130,boss_0130,marnidragon_boss_0130_npc_00,boss_0130_npc_00,boss_0130,boss,0130,6,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,The floating fortress is a problem...,The floating fortress is a problem...,gamedata/localizationstring_eng.paloc
marnidragon_boss_0130_npc_00_00007,marnidragon,Marnidragon,Scene Dialogue,Marnidragon,Marnidragon,0130,Marnidragon 0130,marnidragon_boss_0130,boss_0130,marnidragon_boss_0130_npc_00,boss_0130_npc_00,boss_0130,boss,0130,7,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"I spent my whole life on the battlefield, but...","I spent my whole life on the battlefield, but...",gamedata/localizationstring_eng.paloc
