key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
marnitank_9000_boss_00_00001,marnitank,Marnitank,Scene Dialogue,Marnitank,Marnitank,9000,Marnitank 9000,marnitank_9000,9000,marnitank_9000_boss_00,9000_boss_00,9000,9000,,1,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Annihilate them.,Annihilate them.,gamedata/localizationstring_eng.paloc
marnitank_9000_boss_00_00002,marnitank,Marnitank,Scene Dialogue,Marnitank,Marnitank,9000,Marnitank 9000,marnitank_9000,9000,marnitank_9000_boss_00,9000_boss_00,9000,9000,,2,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Annihilate... them... Annihilate... them...,Annihilate... them... Annihilate... them...,gamedata/localizationstring_eng.paloc
marnitank_9000_boss_00_00003,marnitank,Marnitank,Scene Dialogue,Marnitank,Marnitank,9000,Marnitank 9000,marnitank_9000,9000,marnitank_9000_boss_00,9000_boss_00,9000,9000,,3,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Annihilate...,Annihilate...,gamedata/localizationstring_eng.paloc
marnitank_9000_globalgametrack_00004,marnitank,Marnitank,Scene Dialogue,Marnitank,Marnitank,9000,Marnitank 9000,marnitank_9000,9000,marnitank_9000_globalgametrack,9000_globalgametrack,9000,9000,,4,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,Invader.,Invader.,gamedata/localizationstring_eng.paloc
marnitank_9000_globalgametrack_00005,marnitank,Marnitank,Scene Dialogue,Marnitank,Marnitank,9000,Marnitank 9000,marnitank_9000,9000,marnitank_9000_globalgametrack,9000_globalgametrack,9000,9000,,5,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,Eliminate them.,Eliminate them.,gamedata/localizationstring_eng.paloc
marnitank_9000_globalgametrack_00006,marnitank,Marnitank,Scene Dialogue,Marnitank,Marnitank,9000,Marnitank 9000,marnitank_9000,9000,marnitank_9000_globalgametrack,9000_globalgametrack,9000,9000,,6,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,Annihilate them.,Annihilate them.,gamedata/localizationstring_eng.paloc
marnitank_9000_globalgametrack_00007,marnitank,Marnitank,Scene Dialogue,Marnitank,Marnitank,9000,Marnitank 9000,marnitank_9000,9000,marnitank_9000_globalgametrack,9000_globalgametrack,9000,9000,,7,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,Prompt action.,Prompt action.,gamedata/localizationstring_eng.paloc
marnitank_9000_globalgametrack_00008,marnitank,Marnitank,Scene Dialogue,Marnitank,Marnitank,9000,Marnitank 9000,marnitank_9000,9000,marnitank_9000_globalgametrack,9000_globalgametrack,9000,9000,,8,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,Eliminate. Eliminate. Eliminate!,Eliminate. Eliminate. Eliminate!,gamedata/localizationstring_eng.paloc
marnitank_9000_globalgametrack_00009,marnitank,Marnitank,Scene Dialogue,Marnitank,Marnitank,9000,Marnitank 9000,marnitank_9000,9000,marnitank_9000_globalgametrack,9000_globalgametrack,9000,9000,,9,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,Annihilate. Annihilate. Annihilate.,Annihilate. Annihilate. Annihilate.,gamedata/localizationstring_eng.paloc
marnitank_9000_narration_00000,marnitank,Marnitank,Scene Dialogue,Marnitank,Marnitank,9000,Marnitank 9000,marnitank_9000,9000,marnitank_9000_narration,9000_narration,9000,9000,,0,narration,,narration,Narration,Narration,Narration,,role,,Ha. Ha. Ha. Ha.,Ha. Ha. Ha. Ha.,gamedata/localizationstring_eng.paloc
