key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
maze_forest_kusunsla_2110_npc_00_00001,maze,Maze,Scene Dialogue,Maze,Maze,2110,Maze 2110,maze_forest_kusunsla_2110,forest_kusunsla_2110,maze_forest_kusunsla_2110_npc_00,forest_kusunsla_2110_npc_00,forest_kusunsla_2110,forest,kusunsla_2110,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"So, you've finally encountered all five witches.","So, you've finally encountered all five witches.",gamedata/localizationstring_eng.paloc
maze_forest_kusunsla_2110_npc_00_00002,maze,Maze,Scene Dialogue,Maze,Maze,2110,Maze 2110,maze_forest_kusunsla_2110,forest_kusunsla_2110,maze_forest_kusunsla_2110_npc_00,forest_kusunsla_2110_npc_00,forest_kusunsla_2110,forest,kusunsla_2110,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"May the journey you've taken in seeking us out,","May the journey you've taken in seeking us out,",gamedata/localizationstring_eng.paloc
maze_forest_kusunsla_2110_npc_00_00003,maze,Maze,Scene Dialogue,Maze,Maze,2110,Maze 2110,maze_forest_kusunsla_2110,forest_kusunsla_2110,maze_forest_kusunsla_2110_npc_00,forest_kusunsla_2110_npc_00,forest_kusunsla_2110,forest,kusunsla_2110,3,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,stay with you for the rest of your days.,stay with you for the rest of your days.,gamedata/localizationstring_eng.paloc
maze_forest_kusunsla_2110_npc_00_00004,maze,Maze,Scene Dialogue,Maze,Maze,2110,Maze 2110,maze_forest_kusunsla_2110,forest_kusunsla_2110,maze_forest_kusunsla_2110_npc_00,forest_kusunsla_2110_npc_00,forest_kusunsla_2110,forest,kusunsla_2110,4,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,We've prepared something special for you.,We've prepared something special for you.,gamedata/localizationstring_eng.paloc
maze_forest_kusunsla_2110_npc_00_00005,maze,Maze,Scene Dialogue,Maze,Maze,2110,Maze 2110,maze_forest_kusunsla_2110,forest_kusunsla_2110,maze_forest_kusunsla_2110_npc_00,forest_kusunsla_2110_npc_00,forest_kusunsla_2110,forest,kusunsla_2110,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"It's nothing too flashy, but...","It's nothing too flashy, but...",gamedata/localizationstring_eng.paloc
maze_forest_kusunsla_2110_npc_00_00006,maze,Maze,Scene Dialogue,Maze,Maze,2110,Maze 2110,maze_forest_kusunsla_2110,forest_kusunsla_2110,maze_forest_kusunsla_2110_npc_00,forest_kusunsla_2110_npc_00,forest_kusunsla_2110,forest,kusunsla_2110,6,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,I'm sure it may mean something to you.,I'm sure it may mean something to you.,gamedata/localizationstring_eng.paloc
maze_forest_kusunsla_2110_npc_00_00007,maze,Maze,Scene Dialogue,Maze,Maze,2110,Maze 2110,maze_forest_kusunsla_2110,forest_kusunsla_2110,maze_forest_kusunsla_2110_npc_00,forest_kusunsla_2110_npc_00,forest_kusunsla_2110,forest,kusunsla_2110,7,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Be sure to treasure it.,Be sure to treasure it.,gamedata/localizationstring_eng.paloc
maze_forest_kusunsla_5400_globalgametrack_00001,maze,Maze,Scene Dialogue,Maze,Maze,5400,Maze 5400,maze_forest_kusunsla_5400,forest_kusunsla_5400,maze_forest_kusunsla_5400_globalgametrack,forest_kusunsla_5400_globalgametrack,forest_kusunsla_5400,forest,kusunsla_5400,1,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,The swamp will consume us all...,The swamp will consume us all...,gamedata/localizationstring_eng.paloc
maze_forest_kusunsla_5400_globalgametrack_00002,maze,Maze,Scene Dialogue,Maze,Maze,5400,Maze 5400,maze_forest_kusunsla_5400,forest_kusunsla_5400,maze_forest_kusunsla_5400_globalgametrack,forest_kusunsla_5400_globalgametrack,forest_kusunsla_5400,forest,kusunsla_5400,2,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,An equal death awaits...,An equal death awaits...,gamedata/localizationstring_eng.paloc
maze_forest_kusunsla_5400_globalgametrack_00003,maze,Maze,Scene Dialogue,Maze,Maze,5400,Maze 5400,maze_forest_kusunsla_5400,forest_kusunsla_5400,maze_forest_kusunsla_5400_globalgametrack,forest_kusunsla_5400_globalgametrack,forest_kusunsla_5400,forest,kusunsla_5400,3,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,Despair...,Despair...,gamedata/localizationstring_eng.paloc
maze_forest_kusunsla_5400_globalgametrack_00004,maze,Maze,Scene Dialogue,Maze,Maze,5400,Maze 5400,maze_forest_kusunsla_5400,forest_kusunsla_5400,maze_forest_kusunsla_5400_globalgametrack,forest_kusunsla_5400_globalgametrack,forest_kusunsla_5400,forest,kusunsla_5400,4,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,You cannot escape.,You cannot escape.,gamedata/localizationstring_eng.paloc
maze_forest_kusunsla_5400_globalgametrack_00005,maze,Maze,Scene Dialogue,Maze,Maze,5400,Maze 5400,maze_forest_kusunsla_5400,forest_kusunsla_5400,maze_forest_kusunsla_5400_globalgametrack,forest_kusunsla_5400_globalgametrack,forest_kusunsla_5400,forest,kusunsla_5400,5,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,Deeper and deeper...,Deeper and deeper...,gamedata/localizationstring_eng.paloc
