key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
meetalustain_0100_npc_00_00006,meetalustain,Meetalustain,Scene Dialogue,Meetalustain,Meetalustain,0100,Meetalustain 0100,meetalustain_0100,0100,meetalustain_0100_npc_00,0100_npc_00,0100,0100,,6,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Is it too much to ask for a helping hand...,Is it too much to ask for a helping hand...,gamedata/localizationstring_eng.paloc
meetalustain_0100_npc_00_00007,meetalustain,Meetalustain,Scene Dialogue,Meetalustain,Meetalustain,0100,Meetalustain 0100,meetalustain_0100,0100,meetalustain_0100_npc_00,0100_npc_00,0100,0100,,7,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Is there... Is there no one who cares about my suffering?,Is there... Is there no one who cares about my suffering?,gamedata/localizationstring_eng.paloc
meetalustain_0100_npc_00_00008,meetalustain,Meetalustain,Scene Dialogue,Meetalustain,Meetalustain,0100,Meetalustain 0100,meetalustain_0100,0100,meetalustain_0100_npc_00,0100_npc_00,0100,0100,,8,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,The world is filled with pain.,The world is filled with pain.,gamedata/localizationstring_eng.paloc
meetalustain_0100_npc_00_00009,meetalustain,Meetalustain,Scene Dialogue,Meetalustain,Meetalustain,0100,Meetalustain 0100,meetalustain_0100,0100,meetalustain_0100_npc_00,0100_npc_00,0100,0100,,9,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,My stomach is as empty as my heart...,My stomach is as empty as my heart...,gamedata/localizationstring_eng.paloc
meetalustain_0100_npc_00_00010,meetalustain,Meetalustain,Scene Dialogue,Meetalustain,Meetalustain,0100,Meetalustain 0100,meetalustain_0100,0100,meetalustain_0100_npc_00,0100_npc_00,0100,0100,,10,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Why is the world such a lonely place...,Why is the world such a lonely place...,gamedata/localizationstring_eng.paloc
meetalustain_0100_npc_00_00011,meetalustain,Meetalustain,Scene Dialogue,Meetalustain,Meetalustain,0100,Meetalustain 0100,meetalustain_0100,0100,meetalustain_0100_npc_00,0100_npc_00,0100,0100,,11,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,How cold the world has become.,How cold the world has become.,gamedata/localizationstring_eng.paloc
meetalustain_0100_npc_00_00015,meetalustain,Meetalustain,Scene Dialogue,Meetalustain,Meetalustain,0100,Meetalustain 0100,meetalustain_0100,0100,meetalustain_0100_npc_00,0100_npc_00,0100,0100,,15,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Nobody cares what I go through...,Nobody cares what I go through...,gamedata/localizationstring_eng.paloc
meetalustain_0100_npc_00_00017,meetalustain,Meetalustain,Scene Dialogue,Meetalustain,Meetalustain,0100,Meetalustain 0100,meetalustain_0100,0100,meetalustain_0100_npc_00,0100_npc_00,0100,0100,,17,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,I've got used to the indifference.,I've got used to the indifference.,gamedata/localizationstring_eng.paloc
meetalustain_0100_npc_00_00018,meetalustain,Meetalustain,Scene Dialogue,Meetalustain,Meetalustain,0100,Meetalustain 0100,meetalustain_0100,0100,meetalustain_0100_npc_00,0100_npc_00,0100,0100,,18,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
meetalustain_0100_npc_00_00019,meetalustain,Meetalustain,Scene Dialogue,Meetalustain,Meetalustain,0100,Meetalustain 0100,meetalustain_0100,0100,meetalustain_0100_npc_00,0100_npc_00,0100,0100,,19,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,How kind of you.,How kind of you.,gamedata/localizationstring_eng.paloc
meetalustain_0100_npc_00_00020,meetalustain,Meetalustain,Scene Dialogue,Meetalustain,Meetalustain,0100,Meetalustain 0100,meetalustain_0100,0100,meetalustain_0100_npc_00,0100_npc_00,0100,0100,,20,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,A benevolent hand has finally reached me.,A benevolent hand has finally reached me.,gamedata/localizationstring_eng.paloc
meetalustain_0100_npc_00_00021,meetalustain,Meetalustain,Scene Dialogue,Meetalustain,Meetalustain,0100,Meetalustain 0100,meetalustain_0100,0100,meetalustain_0100_npc_00,0100_npc_00,0100,0100,,21,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Please, take this.","Please, take this.",gamedata/localizationstring_eng.paloc
meetalustain_0100_npc_00_00022,meetalustain,Meetalustain,Scene Dialogue,Meetalustain,Meetalustain,0100,Meetalustain 0100,meetalustain_0100,0100,meetalustain_0100_npc_00,0100_npc_00,0100,0100,,22,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,I'm sure you will find a use for it.,I'm sure you will find a use for it.,gamedata/localizationstring_eng.paloc
meetalustain_0100_npc_00_00023,meetalustain,Meetalustain,Scene Dialogue,Meetalustain,Meetalustain,0100,Meetalustain 0100,meetalustain_0100,0100,meetalustain_0100_npc_00,0100_npc_00,0100,0100,,23,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Virtue paves the path to wisdom, which shall bring us together once more.","Virtue paves the path to wisdom, which shall bring us together once more.",gamedata/localizationstring_eng.paloc
