key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
memory_abandonedhouse_0001_npc_00_00001,memory,Memory,Memory Scene,Memory,Memory,0001,Memory 0001,memory_abandonedhouse_0001,abandonedhouse_0001,memory_abandonedhouse_0001_npc_00,abandonedhouse_0001_npc_00,abandonedhouse_0001,abandonedhouse,0001,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Spiders can't live with us, why don't you take them back to their home?","Spiders can't live with us, why don't you take them back to their home?",gamedata/localizationstring_eng.paloc
memory_abandonedhouse_0001_npc_00_00002,memory,Memory,Memory Scene,Memory,Memory,0001,Memory 0001,memory_abandonedhouse_0001,abandonedhouse_0001,memory_abandonedhouse_0001_npc_00,abandonedhouse_0001_npc_00,abandonedhouse_0001,abandonedhouse,0001,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Papa, they followed me out of the forest!","Papa, they followed me out of the forest!",gamedata/localizationstring_eng.paloc
memory_abandonedhouse_0001_npc_00_00003,memory,Memory,Memory Scene,Memory,Memory,0001,Memory 0001,memory_abandonedhouse_0001,abandonedhouse_0001,memory_abandonedhouse_0001_npc_00,abandonedhouse_0001_npc_00,abandonedhouse_0001,abandonedhouse,0001,3,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,I don't want to! They're my friends!,I don't want to! They're my friends!,gamedata/localizationstring_eng.paloc
memory_abandonedhouse_0001_npc_00_00004,memory,Memory,Memory Scene,Memory,Memory,0001,Memory 0001,memory_abandonedhouse_0001,abandonedhouse_0001,memory_abandonedhouse_0001_npc_00,abandonedhouse_0001_npc_00,abandonedhouse_0001,abandonedhouse,0001,4,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"That means they like me, doesn't it?","That means they like me, doesn't it?",gamedata/localizationstring_eng.paloc
memory_abandonedhouse_0001_npc_00_00005,memory,Memory,Memory Scene,Memory,Memory,0001,Memory 0001,memory_abandonedhouse_0001,abandonedhouse_0001,memory_abandonedhouse_0001_npc_00,abandonedhouse_0001_npc_00,abandonedhouse_0001,abandonedhouse,0001,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,I couldn't just leave them there.,I couldn't just leave them there.,gamedata/localizationstring_eng.paloc
memory_abandonedminevillage_0001_npc_00_00001,memory,Memory,Memory Scene,Memory,Memory,0001,Memory 0001,memory_abandonedminevillage_0001,abandonedminevillage_0001,memory_abandonedminevillage_0001_npc_00,abandonedminevillage_0001_npc_00,abandonedminevillage_0001,abandonedminevillage,0001,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Sure, lie there...","Sure, lie there...",gamedata/localizationstring_eng.paloc
memory_abandonedminevillage_0001_npc_00_00002,memory,Memory,Memory Scene,Memory,Memory,0001,Memory 0001,memory_abandonedminevillage_0001,abandonedminevillage_0001,memory_abandonedminevillage_0001_npc_00,abandonedminevillage_0001_npc_00,abandonedminevillage_0001,abandonedminevillage,0001,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,till you rot!,till you rot!,gamedata/localizationstring_eng.paloc
memory_abandonedminevillage_0001_npc_00_00003,memory,Memory,Memory Scene,Memory,Memory,0001,Memory 0001,memory_abandonedminevillage_0001,abandonedminevillage_0001,memory_abandonedminevillage_0001_npc_00,abandonedminevillage_0001_npc_00,abandonedminevillage_0001,abandonedminevillage,0001,3,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,That just means the others will have to dig up your share.,That just means the others will have to dig up your share.,gamedata/localizationstring_eng.paloc
memory_abandonedminevillage_0001_npc_00_00004,memory,Memory,Memory Scene,Memory,Memory,0001,Memory 0001,memory_abandonedminevillage_0001,abandonedminevillage_0001,memory_abandonedminevillage_0001_npc_00,abandonedminevillage_0001_npc_00,abandonedminevillage_0001,abandonedminevillage,0001,4,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Want to see Pailune again? Then get moving!,Want to see Pailune again? Then get moving!,gamedata/localizationstring_eng.paloc
memory_abandonedminevillage_0001_npc_00_00005,memory,Memory,Memory Scene,Memory,Memory,0001,Memory 0001,memory_abandonedminevillage_0001,abandonedminevillage_0001,memory_abandonedminevillage_0001_npc_00,abandonedminevillage_0001_npc_00,abandonedminevillage_0001,abandonedminevillage,0001,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Please... J-just a moment's rest. M-my hands and feet are frozen...,Please... J-just a moment's rest. M-my hands and feet are frozen...,gamedata/localizationstring_eng.paloc
