key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
mjordin_boss_3000_npc_00_00009,mjordin,Mjordin,Scene Dialogue,Mjordin,Mjordin,3000,Mjordin 3000,mjordin_boss_3000,boss_3000,mjordin_boss_3000_npc_00,boss_3000_npc_00,boss_3000,boss,3000,9,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
mjordin_boss_3000_npc_00_00010,mjordin,Mjordin,Scene Dialogue,Mjordin,Mjordin,3000,Mjordin 3000,mjordin_boss_3000,boss_3000,mjordin_boss_3000_npc_00,boss_3000_npc_00,boss_3000,boss,3000,10,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
mjordin_boss_3000_npc_00_00011,mjordin,Mjordin,Scene Dialogue,Mjordin,Mjordin,3000,Mjordin 3000,mjordin_boss_3000,boss_3000,mjordin_boss_3000_npc_00,boss_3000_npc_00,boss_3000,boss,3000,11,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,...The battle?,...The battle?,gamedata/localizationstring_eng.paloc
mjordin_boss_3000_npc_00_00012,mjordin,Mjordin,Scene Dialogue,Mjordin,Mjordin,3000,Mjordin 3000,mjordin_boss_3000,boss_3000,mjordin_boss_3000_npc_00,boss_3000_npc_00,boss_3000,boss,3000,12,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
mjordin_boss_3000_npc_00_00013,mjordin,Mjordin,Scene Dialogue,Mjordin,Mjordin,3000,Mjordin 3000,mjordin_boss_3000,boss_3000,mjordin_boss_3000_npc_00,boss_3000_npc_00,boss_3000,boss,3000,13,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,What happened to Myurdin?,What happened to Myurdin?,gamedata/localizationstring_eng.paloc
mjordin_boss_3000_npc_00_00014,mjordin,Mjordin,Scene Dialogue,Mjordin,Mjordin,3000,Mjordin 3000,mjordin_boss_3000,boss_3000,mjordin_boss_3000_npc_00,boss_3000_npc_00,boss_3000,boss,3000,14,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
mjordin_boss_3000_npc_00_00015,mjordin,Mjordin,Scene Dialogue,Mjordin,Mjordin,3000,Mjordin 3000,mjordin_boss_3000,boss_3000,mjordin_boss_3000_npc_00,boss_3000_npc_00,boss_3000,boss,3000,15,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
mjordin_boss_3000_player_00000,mjordin,Mjordin,Scene Dialogue,Mjordin,Mjordin,3000,Mjordin 3000,mjordin_boss_3000,boss_3000,mjordin_boss_3000_player,boss_3000_player,boss_3000,boss,3000,0,player,,player,Player,Player,Player,,role,,Kliff.,Kliff.,gamedata/localizationstring_eng.paloc
mjordin_boss_3000_player_00001,mjordin,Mjordin,Scene Dialogue,Mjordin,Mjordin,3000,Mjordin 3000,mjordin_boss_3000,boss_3000,mjordin_boss_3000_player,boss_3000_player,boss_3000,boss,3000,1,player,,player,Player,Player,Player,,role,,A victory.,A victory.,gamedata/localizationstring_eng.paloc
mjordin_boss_3000_player_00002,mjordin,Mjordin,Scene Dialogue,Mjordin,Mjordin,3000,Mjordin 3000,mjordin_boss_3000,boss_3000,mjordin_boss_3000_player,boss_3000_player,boss_3000,boss,3000,2,player,,player,Player,Player,Player,,role,,You need more rest.,You need more rest.,gamedata/localizationstring_eng.paloc
mjordin_boss_3000_player_00003,mjordin,Mjordin,Scene Dialogue,Mjordin,Mjordin,3000,Mjordin 3000,mjordin_boss_3000,boss_3000,mjordin_boss_3000_player,boss_3000_player,boss_3000,boss,3000,3,player,,player,Player,Player,Player,,role,,Your wounds are severe.,Your wounds are severe.,gamedata/localizationstring_eng.paloc
mjordin_boss_3000_player_00004,mjordin,Mjordin,Scene Dialogue,Mjordin,Mjordin,3000,Mjordin 3000,mjordin_boss_3000,boss_3000,mjordin_boss_3000_player,boss_3000_player,boss_3000,boss,3000,4,player,,player,Player,Player,Player,,role,,He fled. East.,He fled. East.,gamedata/localizationstring_eng.paloc
mjordin_boss_3000_player_00005,mjordin,Mjordin,Scene Dialogue,Mjordin,Mjordin,3000,Mjordin 3000,mjordin_boss_3000,boss_3000,mjordin_boss_3000_player,boss_3000_player,boss_3000,boss,3000,5,player,,player,Player,Player,Player,,role,,We'll deal with the rest.,We'll deal with the rest.,gamedata/localizationstring_eng.paloc
mjordin_boss_3000_player_00006,mjordin,Mjordin,Scene Dialogue,Mjordin,Mjordin,3000,Mjordin 3000,mjordin_boss_3000,boss_3000,mjordin_boss_3000_player,boss_3000_player,boss_3000,boss,3000,6,player,,player,Player,Player,Player,,role,,Rest up.,Rest up.,gamedata/localizationstring_eng.paloc
mjordin_boss_3000_player_00007,mjordin,Mjordin,Scene Dialogue,Mjordin,Mjordin,3000,Mjordin 3000,mjordin_boss_3000,boss_3000,mjordin_boss_3000_player,boss_3000_player,boss_3000,boss,3000,7,player,,player,Player,Player,Player,,role,,"Oh, and...","Oh, and...",gamedata/localizationstring_eng.paloc
mjordin_boss_3000_player_00008,mjordin,Mjordin,Scene Dialogue,Mjordin,Mjordin,3000,Mjordin 3000,mjordin_boss_3000,boss_3000,mjordin_boss_3000_player,boss_3000_player,boss_3000,boss,3000,8,player,,player,Player,Player,Player,,role,Knowledge:Knowledge_Ludvig:Ludvig,Leave {StaticInfo:Knowledge:Knowledge_Ludvig#Ludvig} to me.,Leave {StaticInfo:Knowledge:Knowledge_Ludvig#Ludvig} to me.,gamedata/localizationstring_eng.paloc
mjordin_boss_3400_npc_00_00001,mjordin,Mjordin,Scene Dialogue,Mjordin,Mjordin,3400,Mjordin 3400,mjordin_boss_3400,boss_3400,mjordin_boss_3400_npc_00,boss_3400_npc_00,boss_3400,boss,3400,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Torstein and your comrades are waiting.,Torstein and your comrades are waiting.,gamedata/localizationstring_eng.paloc
mjordin_boss_3400_npc_00_00002,mjordin,Mjordin,Scene Dialogue,Mjordin,Mjordin,3400,Mjordin 3400,mjordin_boss_3400,boss_3400,mjordin_boss_3400_npc_00,boss_3400_npc_00,boss_3400,boss,3400,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,You should set off together.,You should set off together.,gamedata/localizationstring_eng.paloc
mjordin_boss_5000_enemy_00_00013,mjordin,Mjordin,Scene Dialogue,Mjordin,Mjordin,5000,Mjordin 5000,mjordin_boss_5000,boss_5000,mjordin_boss_5000_enemy_00,boss_5000_enemy_00,boss_5000,boss,5000,13,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,Listen well!,Listen well!,gamedata/localizationstring_eng.paloc
mjordin_boss_5000_enemy_00_00014,mjordin,Mjordin,Scene Dialogue,Mjordin,Mjordin,5000,Mjordin 5000,mjordin_boss_5000,boss_5000,mjordin_boss_5000_enemy_00,boss_5000_enemy_00,boss_5000,boss,5000,14,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,Seems like you fuckwits have somehow forgot why you shouldn't mess with the Black Bears!,Seems like you fuckwits have somehow forgot why you shouldn't mess with the Black Bears!,gamedata/localizationstring_eng.paloc
mjordin_boss_5000_enemy_00_00015,mjordin,Mjordin,Scene Dialogue,Mjordin,Mjordin,5000,Mjordin 5000,mjordin_boss_5000,boss_5000,mjordin_boss_5000_enemy_00,boss_5000_enemy_00,boss_5000,boss,5000,15,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,So Myurdin sent us to help rouse your memories.,So Myurdin sent us to help rouse your memories.,gamedata/localizationstring_eng.paloc
mjordin_boss_5000_enemy_00_00016,mjordin,Mjordin,Scene Dialogue,Mjordin,Mjordin,5000,Mjordin 5000,mjordin_boss_5000,boss_5000,mjordin_boss_5000_enemy_00,boss_5000_enemy_00,boss_5000,boss,5000,16,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,,,gamedata/localizationstring_eng.paloc
mjordin_boss_5000_enemy_00_00017,mjordin,Mjordin,Scene Dialogue,Mjordin,Mjordin,5000,Mjordin 5000,mjordin_boss_5000,boss_5000,mjordin_boss_5000_enemy_00,boss_5000_enemy_00,boss_5000,boss,5000,17,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,,,gamedata/localizationstring_eng.paloc
mjordin_boss_5000_enemy_00_00018,mjordin,Mjordin,Scene Dialogue,Mjordin,Mjordin,5000,Mjordin 5000,mjordin_boss_5000,boss_5000,mjordin_boss_5000_enemy_00,boss_5000_enemy_00,boss_5000,boss,5000,18,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,Remember?,Remember?,gamedata/localizationstring_eng.paloc
mjordin_boss_5000_enemy_00_00019,mjordin,Mjordin,Scene Dialogue,Mjordin,Mjordin,5000,Mjordin 5000,mjordin_boss_5000,boss_5000,mjordin_boss_5000_enemy_00,boss_5000_enemy_00,boss_5000,boss,5000,19,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,"That night, kneeling in the dirt, guts spilling out.","That night, kneeling in the dirt, guts spilling out.",gamedata/localizationstring_eng.paloc
mjordin_boss_5000_enemy_00_00020,mjordin,Mjordin,Scene Dialogue,Mjordin,Mjordin,5000,Mjordin 5000,mjordin_boss_5000,boss_5000,mjordin_boss_5000_enemy_00,boss_5000_enemy_00,boss_5000,boss,5000,20,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,You squealed like hogs at the slaughter!,You squealed like hogs at the slaughter!,gamedata/localizationstring_eng.paloc
