key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
northernwarrior_bossencounter_ambush_boss_00_00025,northernwarrior,Northernwarrior,Scene Dialogue,Northernwarrior,Northernwarrior,,Northernwarrior,northernwarrior_bossencounter_ambush,bossencounter_ambush,northernwarrior_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,25,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Your life will be mine.,Your life will be mine.,gamedata/localizationstring_eng.paloc
northernwarrior_bossencounter_ambush_boss_00_00026,northernwarrior,Northernwarrior,Scene Dialogue,Northernwarrior,Northernwarrior,,Northernwarrior,northernwarrior_bossencounter_ambush,bossencounter_ambush,northernwarrior_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,26,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Run all you like―it won't save you!,Run all you like―it won't save you!,gamedata/localizationstring_eng.paloc
northernwarrior_bossencounter_ambush_boss_00_00027,northernwarrior,Northernwarrior,Scene Dialogue,Northernwarrior,Northernwarrior,,Northernwarrior,northernwarrior_bossencounter_ambush,bossencounter_ambush,northernwarrior_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,27,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,I'll shatter every bone in your body!,I'll shatter every bone in your body!,gamedata/localizationstring_eng.paloc
northernwarrior_bossencounter_ambush_boss_00_00028,northernwarrior,Northernwarrior,Scene Dialogue,Northernwarrior,Northernwarrior,,Northernwarrior,northernwarrior_bossencounter_ambush,bossencounter_ambush,northernwarrior_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,28,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Revenge? Don't make me laugh!,Revenge? Don't make me laugh!,gamedata/localizationstring_eng.paloc
northernwarrior_bossencounter_ambush_boss_00_00029,northernwarrior,Northernwarrior,Scene Dialogue,Northernwarrior,Northernwarrior,,Northernwarrior,northernwarrior_bossencounter_ambush,bossencounter_ambush,northernwarrior_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,29,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,You're just a piss stain!,You're just a piss stain!,gamedata/localizationstring_eng.paloc
northernwarrior_bossencounter_ambush_boss_00_00030,northernwarrior,Northernwarrior,Scene Dialogue,Northernwarrior,Northernwarrior,,Northernwarrior,northernwarrior_bossencounter_ambush,bossencounter_ambush,northernwarrior_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,30,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Come to take Pailune?,Come to take Pailune?,gamedata/localizationstring_eng.paloc
northernwarrior_bossencounter_ambush_boss_00_00031,northernwarrior,Northernwarrior,Scene Dialogue,Northernwarrior,Northernwarrior,,Northernwarrior,northernwarrior_bossencounter_ambush,bossencounter_ambush,northernwarrior_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,31,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,You think pretty highly of yourself!,You think pretty highly of yourself!,gamedata/localizationstring_eng.paloc
northernwarrior_bossencounter_ambush_boss_00_00032,northernwarrior,Northernwarrior,Scene Dialogue,Northernwarrior,Northernwarrior,,Northernwarrior,northernwarrior_bossencounter_ambush,bossencounter_ambush,northernwarrior_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,32,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,Try all you like. You'll never win!,Try all you like. You'll never win!,gamedata/localizationstring_eng.paloc
northernwarrior_bossencounter_ambush_globalgametrack_00033,northernwarrior,Northernwarrior,Scene Dialogue,Northernwarrior,Northernwarrior,,Northernwarrior,northernwarrior_bossencounter_ambush,bossencounter_ambush,northernwarrior_bossencounter_ambush_globalgametrack,bossencounter_ambush_globalgametrack,bossencounter_ambush,bossencounter,ambush,33,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,A Greymane is no match for the Black Bears!,A Greymane is no match for the Black Bears!,gamedata/localizationstring_eng.paloc
northernwarrior_bossencounter_ambush_globalgametrack_00034,northernwarrior,Northernwarrior,Scene Dialogue,Northernwarrior,Northernwarrior,,Northernwarrior,northernwarrior_bossencounter_ambush,bossencounter_ambush,northernwarrior_bossencounter_ambush_globalgametrack,bossencounter_ambush_globalgametrack,bossencounter_ambush,bossencounter,ambush,34,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,No wolf can hope to match a bear's might!,No wolf can hope to match a bear's might!,gamedata/localizationstring_eng.paloc
