key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
odeck_witch_0150_npc_00_00012,odeck,Odeck,Scene Dialogue,Odeck,Odeck,0150,Odeck 0150,odeck_witch_0150,witch_0150,odeck_witch_0150_npc_00,witch_0150_npc_00,witch_0150,witch,0150,12,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,This won't be easy...,This won't be easy...,gamedata/localizationstring_eng.paloc
odeck_witch_0150_npc_00_00013,odeck,Odeck,Scene Dialogue,Odeck,Odeck,0150,Odeck 0150,odeck_witch_0150,witch_0150,odeck_witch_0150_npc_00,witch_0150_npc_00,witch_0150,witch,0150,13,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Hmm...,Hmm...,gamedata/localizationstring_eng.paloc
odeck_witch_0150_npc_00_00014,odeck,Odeck,Scene Dialogue,Odeck,Odeck,0150,Odeck 0150,odeck_witch_0150,witch_0150,odeck_witch_0150_npc_00,witch_0150_npc_00,witch_0150,witch,0150,14,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,Knowledge:Knowledge_Ludvig:Ludvig,{Staticinfo:Knowledge:Knowledge_Ludvig#Ludvig}...,{Staticinfo:Knowledge:Knowledge_Ludvig#Ludvig}...,gamedata/localizationstring_eng.paloc
odeck_witch_0150_npc_00_00015,odeck,Odeck,Scene Dialogue,Odeck,Odeck,0150,Odeck 0150,odeck_witch_0150,witch_0150,odeck_witch_0150_npc_00,witch_0150_npc_00,witch_0150,witch,0150,15,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Sent men after him.,Sent men after him.,gamedata/localizationstring_eng.paloc
odeck_witch_0150_npc_00_00016,odeck,Odeck,Scene Dialogue,Odeck,Odeck,0150,Odeck 0150,odeck_witch_0150,witch_0150,odeck_witch_0150_npc_00,witch_0150_npc_00,witch_0150,witch,0150,16,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,He couldn't have gone far...,He couldn't have gone far...,gamedata/localizationstring_eng.paloc
odeck_witch_0150_npc_00_00017,odeck,Odeck,Scene Dialogue,Odeck,Odeck,0150,Odeck 0150,odeck_witch_0150,witch_0150,odeck_witch_0150_npc_00,witch_0150_npc_00,witch_0150,witch,0150,17,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,with one arm.,with one arm.,gamedata/localizationstring_eng.paloc
odeck_witch_0150_npc_00_00018,odeck,Odeck,Scene Dialogue,Odeck,Odeck,0150,Odeck 0150,odeck_witch_0150,witch_0150,odeck_witch_0150_npc_00,witch_0150_npc_00,witch_0150,witch,0150,18,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,They'll find him.,They'll find him.,gamedata/localizationstring_eng.paloc
odeck_witch_0150_npc_00_00019,odeck,Odeck,Scene Dialogue,Odeck,Odeck,0150,Odeck 0150,odeck_witch_0150,witch_0150,odeck_witch_0150_npc_00,witch_0150_npc_00,witch_0150,witch,0150,19,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Let's walk.,Let's walk.,gamedata/localizationstring_eng.paloc
odeck_witch_0150_npc_00_00020,odeck,Odeck,Scene Dialogue,Odeck,Odeck,0150,Odeck 0150,odeck_witch_0150,witch_0150,odeck_witch_0150_npc_00,witch_0150_npc_00,witch_0150,witch,0150,20,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,Knowledge:Knowledge_Pailunese_RegionName:Pailune,The witch of {Staticinfo:Knowledge:Knowledge_Pailunese_RegionName#Pailune} came looking for me.,The witch of {Staticinfo:Knowledge:Knowledge_Pailunese_RegionName#Pailune} came looking for me.,gamedata/localizationstring_eng.paloc
odeck_witch_0150_npc_00_00021,odeck,Odeck,Scene Dialogue,Odeck,Odeck,0150,Odeck 0150,odeck_witch_0150,witch_0150,odeck_witch_0150_npc_00,witch_0150_npc_00,witch_0150,witch,0150,21,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,She wanted to meet you.,She wanted to meet you.,gamedata/localizationstring_eng.paloc
