key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
okuro_boss_00_boss_00_00005,okuro,Okuro,Scene Dialogue,Okuro,Okuro,00,Okuro 00,okuro_boss_00,boss_00,okuro_boss_00_boss_00,boss_00_boss_00,boss_00,boss,00,5,boss_00,the forgotten general,boss_00,the forgotten general,the forgotten general,Boss,0,scene_character,,Such refined swordsmanship!,Such refined swordsmanship!,gamedata/localizationstring_eng.paloc
okuro_boss_00_boss_00_00006,okuro,Okuro,Scene Dialogue,Okuro,Okuro,00,Okuro 00,okuro_boss_00,boss_00,okuro_boss_00_boss_00,boss_00_boss_00,boss_00,boss,00,6,boss_00,the forgotten general,boss_00,the forgotten general,the forgotten general,Boss,0,scene_character,,It has at last soothed my heart's discord.,It has at last soothed my heart's discord.,gamedata/localizationstring_eng.paloc
okuro_boss_00_narration_00000,okuro,Okuro,Scene Dialogue,Okuro,Okuro,00,Okuro 00,okuro_boss_00,boss_00,okuro_boss_00_narration,boss_00_narration,boss_00,boss,00,0,narration,,narration,Narration,Narration,Narration,,role,,,,gamedata/localizationstring_eng.paloc
okuro_boss_00_narration_00001,okuro,Okuro,Scene Dialogue,Okuro,Okuro,00,Okuro 00,okuro_boss_00,boss_00,okuro_boss_00_narration,boss_00_narration,boss_00,boss,00,1,narration,,narration,Narration,Narration,Narration,,role,,I leave my companion in your care.,I leave my companion in your care.,gamedata/localizationstring_eng.paloc
okuro_boss_00_player_00002,okuro,Okuro,Scene Dialogue,Okuro,Okuro,00,Okuro 00,okuro_boss_00,boss_00,okuro_boss_00_player,boss_00_player,boss_00,boss,00,2,player,,player,Player,Player,Player,,role,Character:Boss_Forgotten_General_55066:the forgotten general,The tomb of {StaticInfo:Character:Boss_Forgotten_General_55066#the forgotten general}...,The tomb of {StaticInfo:Character:Boss_Forgotten_General_55066#the forgotten general}...,gamedata/localizationstring_eng.paloc
okuro_boss_00_player_00003,okuro,Okuro,Scene Dialogue,Okuro,Okuro,00,Okuro 00,okuro_boss_00,boss_00,okuro_boss_00_player,boss_00_player,boss_00,boss,00,3,player,,player,Player,Player,Player,,role,,,,gamedata/localizationstring_eng.paloc
okuro_boss_00_player_00004,okuro,Okuro,Scene Dialogue,Okuro,Okuro,00,Okuro 00,okuro_boss_00,boss_00,okuro_boss_00_player,boss_00_player,boss_00,boss,00,4,player,,player,Player,Player,Player,,role,,,,gamedata/localizationstring_eng.paloc
okuro_boss_00_player_00007,okuro,Okuro,Scene Dialogue,Okuro,Okuro,00,Okuro 00,okuro_boss_00,boss_00,okuro_boss_00_player,boss_00_player,boss_00,boss,00,7,player,,player,Player,Player,Player,,role,,,,gamedata/localizationstring_eng.paloc
okuro_boss_00_player_00008,okuro,Okuro,Scene Dialogue,Okuro,Okuro,00,Okuro 00,okuro_boss_00,boss_00,okuro_boss_00_player,boss_00_player,boss_00,boss,00,8,player,,player,Player,Player,Player,,role,,,,gamedata/localizationstring_eng.paloc
okuro_boss_00_player_00009,okuro,Okuro,Scene Dialogue,Okuro,Okuro,00,Okuro 00,okuro_boss_00,boss_00,okuro_boss_00_player,boss_00_player,boss_00,boss,00,9,player,,player,Player,Player,Player,,role,,,,gamedata/localizationstring_eng.paloc
okuro_boss_00_player_00011,okuro,Okuro,Scene Dialogue,Okuro,Okuro,00,Okuro 00,okuro_boss_00,boss_00,okuro_boss_00_player,boss_00_player,boss_00,boss,00,11,player,,player,Player,Player,Player,,role,,,,gamedata/localizationstring_eng.paloc
