key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
onetimequest_witch_forest_0700_05_enemytarget0_00010,onetimequest,Onetimequest,Quest Scene,One-Time Quest,One-Time Quest,0700,One-Time Quest 0700,onetimequest_witch_forest_0700_05,witch_forest_0700_05,onetimequest_witch_forest_0700_05_enemytarget0,witch_forest_0700_05_enemytarget0,witch_forest_0700_05,witch,forest_0700_05,10,enemytarget0,,enemytarget0,Enemy Target 0,Enemy Target 0,Enemy,0,role,,"Now I'm sure you're all feeling hard done by,","Now I'm sure you're all feeling hard done by,",gamedata/localizationstring_eng.paloc
onetimequest_witch_forest_0700_05_enemytarget0_00011,onetimequest,Onetimequest,Quest Scene,One-Time Quest,One-Time Quest,0700,One-Time Quest 0700,onetimequest_witch_forest_0700_05,witch_forest_0700_05,onetimequest_witch_forest_0700_05_enemytarget0,witch_forest_0700_05_enemytarget0,witch_forest_0700_05,witch,forest_0700_05,11,enemytarget0,,enemytarget0,Enemy Target 0,Enemy Target 0,Enemy,0,role,,maybe you ain't even sure why this is happening to you.,maybe you ain't even sure why this is happening to you.,gamedata/localizationstring_eng.paloc
onetimequest_witch_forest_0700_05_enemytarget0_00012,onetimequest,Onetimequest,Quest Scene,One-Time Quest,One-Time Quest,0700,One-Time Quest 0700,onetimequest_witch_forest_0700_05,witch_forest_0700_05,onetimequest_witch_forest_0700_05_enemytarget0,witch_forest_0700_05_enemytarget0,witch_forest_0700_05,witch,forest_0700_05,12,enemytarget0,,enemytarget0,Enemy Target 0,Enemy Target 0,Enemy,0,role,,"It's dead simple, you're human. That's it.","It's dead simple, you're human. That's it.",gamedata/localizationstring_eng.paloc
onetimequest_witch_forest_0700_05_enemytarget0_00013,onetimequest,Onetimequest,Quest Scene,One-Time Quest,One-Time Quest,0700,One-Time Quest 0700,onetimequest_witch_forest_0700_05,witch_forest_0700_05,onetimequest_witch_forest_0700_05_enemytarget0,witch_forest_0700_05_enemytarget0,witch_forest_0700_05,witch,forest_0700_05,13,enemytarget0,,enemytarget0,Enemy Target 0,Enemy Target 0,Enemy,0,role,,Shouldn't a community share responsibilities?,Shouldn't a community share responsibilities?,gamedata/localizationstring_eng.paloc
onetimequest_witch_forest_0700_05_enemytarget0_00014,onetimequest,Onetimequest,Quest Scene,One-Time Quest,One-Time Quest,0700,One-Time Quest 0700,onetimequest_witch_forest_0700_05,witch_forest_0700_05,onetimequest_witch_forest_0700_05_enemytarget0,witch_forest_0700_05_enemytarget0,witch_forest_0700_05,witch,forest_0700_05,14,enemytarget0,,enemytarget0,Enemy Target 0,Enemy Target 0,Enemy,0,role,,Make sure they're all dead.,Make sure they're all dead.,gamedata/localizationstring_eng.paloc
onetimequest_witch_forest_0700_05_enemytarget0_00015,onetimequest,Onetimequest,Quest Scene,One-Time Quest,One-Time Quest,0700,One-Time Quest 0700,onetimequest_witch_forest_0700_05,witch_forest_0700_05,onetimequest_witch_forest_0700_05_enemytarget0,witch_forest_0700_05_enemytarget0,witch_forest_0700_05,witch,forest_0700_05,15,enemytarget0,,enemytarget0,Enemy Target 0,Enemy Target 0,Enemy,0,role,,Not a single one walks away.,Not a single one walks away.,gamedata/localizationstring_eng.paloc
onetimequest_witch_forest_0700_05_npc_00_00008,onetimequest,Onetimequest,Quest Scene,One-Time Quest,One-Time Quest,0700,One-Time Quest 0700,onetimequest_witch_forest_0700_05,witch_forest_0700_05,onetimequest_witch_forest_0700_05_npc_00,witch_forest_0700_05_npc_00,witch_forest_0700_05,witch,forest_0700_05,8,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
onetimequest_witch_forest_0700_05_npc_00_00009,onetimequest,Onetimequest,Quest Scene,One-Time Quest,One-Time Quest,0700,One-Time Quest 0700,onetimequest_witch_forest_0700_05,witch_forest_0700_05,onetimequest_witch_forest_0700_05_npc_00,witch_forest_0700_05_npc_00,witch_forest_0700_05,witch,forest_0700_05,9,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Thank you, thank you so much.","Thank you, thank you so much.",gamedata/localizationstring_eng.paloc
onetimequest_witch_forest_0700_05_npc_01_00016,onetimequest,Onetimequest,Quest Scene,One-Time Quest,One-Time Quest,0700,One-Time Quest 0700,onetimequest_witch_forest_0700_05,witch_forest_0700_05,onetimequest_witch_forest_0700_05_npc_01,witch_forest_0700_05_npc_01,witch_forest_0700_05,witch,forest_0700_05,16,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,"Spare me, I beg you, please!","Spare me, I beg you, please!",gamedata/localizationstring_eng.paloc
onetimequest_witch_forest_0700_06_enemytarget0_00012,onetimequest,Onetimequest,Quest Scene,One-Time Quest,One-Time Quest,0700,One-Time Quest 0700,onetimequest_witch_forest_0700_06,witch_forest_0700_06,onetimequest_witch_forest_0700_06_enemytarget0,witch_forest_0700_06_enemytarget0,witch_forest_0700_06,witch,forest_0700_06,12,enemytarget0,,enemytarget0,Enemy Target 0,Enemy Target 0,Enemy,0,role,,That pair's been staring too long.,That pair's been staring too long.,gamedata/localizationstring_eng.paloc
