key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
orcumer_boss_1100_npc_00_00003,orcumer,Orcumer,Scene Dialogue,Orcumer,Orcumer,1100,Orcumer 1100,orcumer_boss_1100,boss_1100,orcumer_boss_1100_npc_00,boss_1100_npc_00,boss_1100,boss,1100,3,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,What should I do...,What should I do...,gamedata/localizationstring_eng.paloc
orcumer_boss_1100_npc_00_00004,orcumer,Orcumer,Scene Dialogue,Orcumer,Orcumer,1100,Orcumer 1100,orcumer_boss_1100,boss_1100,orcumer_boss_1100_npc_00,boss_1100_npc_00,boss_1100,boss,1100,4,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,I know all things must pass...,I know all things must pass...,gamedata/localizationstring_eng.paloc
orcumer_boss_1100_npc_00_00005,orcumer,Orcumer,Scene Dialogue,Orcumer,Orcumer,1100,Orcumer 1100,orcumer_boss_1100,boss_1100,orcumer_boss_1100_npc_00,boss_1100_npc_00,boss_1100,boss,1100,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
orcumer_boss_1100_npc_00_00006,orcumer,Orcumer,Scene Dialogue,Orcumer,Orcumer,1100,Orcumer 1100,orcumer_boss_1100,boss_1100,orcumer_boss_1100_npc_00,boss_1100_npc_00,boss_1100,boss,1100,6,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,I cannot simply do nothing...,I cannot simply do nothing...,gamedata/localizationstring_eng.paloc
orcumer_boss_1100_npc_00_00007,orcumer,Orcumer,Scene Dialogue,Orcumer,Orcumer,1100,Orcumer 1100,orcumer_boss_1100,boss_1100,orcumer_boss_1100_npc_00,boss_1100_npc_00,boss_1100,boss,1100,7,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Have you come seeking wisdom?,Have you come seeking wisdom?,gamedata/localizationstring_eng.paloc
orcumer_boss_1100_npc_00_00008,orcumer,Orcumer,Scene Dialogue,Orcumer,Orcumer,1100,Orcumer 1100,orcumer_boss_1100,boss_1100,orcumer_boss_1100_npc_00,boss_1100_npc_00,boss_1100,boss,1100,8,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Forgive my lack of a welcome...,Forgive my lack of a welcome...,gamedata/localizationstring_eng.paloc
orcumer_boss_1100_npc_00_00009,orcumer,Orcumer,Scene Dialogue,Orcumer,Orcumer,1100,Orcumer 1100,orcumer_boss_1100,boss_1100,orcumer_boss_1100_npc_00,boss_1100_npc_00,boss_1100,boss,1100,9,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,An unfortunate affair has left the temple in ruins.,An unfortunate affair has left the temple in ruins.,gamedata/localizationstring_eng.paloc
orcumer_boss_1100_npc_00_00010,orcumer,Orcumer,Scene Dialogue,Orcumer,Orcumer,1100,Orcumer 1100,orcumer_boss_1100,boss_1100,orcumer_boss_1100_npc_00,boss_1100_npc_00,boss_1100,boss,1100,10,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,I hope you understand.,I hope you understand.,gamedata/localizationstring_eng.paloc
orcumer_boss_1100_npc_00_00011,orcumer,Orcumer,Scene Dialogue,Orcumer,Orcumer,1100,Orcumer 1100,orcumer_boss_1100,boss_1100,orcumer_boss_1100_npc_00,boss_1100_npc_00,boss_1100,boss,1100,11,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Oh, the list is endless.","Oh, the list is endless.",gamedata/localizationstring_eng.paloc
orcumer_boss_1100_npc_00_00012,orcumer,Orcumer,Scene Dialogue,Orcumer,Orcumer,1100,Orcumer 1100,orcumer_boss_1100,boss_1100,orcumer_boss_1100_npc_00,boss_1100_npc_00,boss_1100,boss,1100,12,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,But I'm concerned about the pensive statues.,But I'm concerned about the pensive statues.,gamedata/localizationstring_eng.paloc
